app_id,app_name,rank,country_code,date
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,1,TR,2017-02-22
com.nightlightinteractive.ww,ウィスパリングウィローズ,2,TR,2017-02-22
com.lightricks.facetune,Facetune,3,TR,2017-02-22
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,4,TR,2017-02-22
com.squareenixmontreal.hitmansniperandroid,HitmanSniper,5,TR,2017-02-22
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,6,TR,2017-02-22
com.rac7.DarkEcho,DarkEcho,7,TR,2017-02-22
com.teamspeak.ts3client,TeamSpeak3,8,TR,2017-02-22
com.mtvn.blazegoogleHD,BlazeandtheMonsterMachines,9,TR,2017-02-22
com.astragon.cs2014,コンストラクションシミュレーター2014,10,TR,2017-02-22
com.flightradar24pro,Flightradar24Pro,11,TR,2017-02-22
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,12,TR,2017-02-22
com.notdoppler.earntodie,EarntoDie,13,TR,2017-02-22
com.nll.acr.license,ACRライセンス,14,TR,2017-02-22
com.senspark.darkland,Darkland,15,TR,2017-02-22
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,16,TR,2017-02-22
as.wps.wpatester,WpsWpaTesterPremium,17,TR,2017-02-22
com.jumpgames.RealSteel,RealSteel,18,TR,2017-02-22
me.dreamsky.stickman,LeagueofStickman2017,19,TR,2017-02-22
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,20,TR,2017-02-22
com.giantssoftware.fs16,FarmingSimulator16,21,TR,2017-02-22
com.sigames.fmm2017,『FootballManagerMobile2017』,22,TR,2017-02-22
com.noodlecake.chameleonrun,ChameleonRun,23,TR,2017-02-22
com.admosstudio.KaFa,KaFa,24,TR,2017-02-22
com.t2ksports.nba2k17android,NBA2K17,25,TR,2017-02-22
com.realdrift.sipon,RealDriftCarRacing,26,TR,2017-02-22
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,27,TR,2017-02-22
com.cenker.com.yardimciga.app,CEYD-ATamSürümMobilAsistan,28,TR,2017-02-22
