app_id,app_name,rank,country_code,date
com.gravity.ro.and,RO仙境傳說：守護永恆的愛,1,TW,2017-10-21
com.netmarble.revolutionthm,Lineage2Revolution,2,TW,2017-10-21
game.xin.hd.g,星城Online,3,TW,2017-10-21
com.garena.game.kgtw,Garena傳說對決-橫屏開團是我戰友,4,TW,2017-10-21
com.xiaomeng.fategrandorder,Fate/GrandOrder,5,TW,2017-10-21
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,6,TW,2017-10-21
com.more.laozi,老子有錢-麻將、德州撲克、老虎機、百家樂,7,TW,2017-10-21
com.szn.jz,九州天空城3D,8,TW,2017-10-21
com.a.one.ss,紫青雙劍,9,TW,2017-10-21
com.a.one.pll,崑崙墟,10,TW,2017-10-21
com.madhead.tos.zh,神魔之塔,11,TW,2017-10-21
com.userjoy.LetsVegasSlots,Let'sVegasSlots,12,TW,2017-10-21
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,13,TW,2017-10-21
com.fingerfun.xwy.tw,俠物語—自由才是真武俠,14,TW,2017-10-21
com.king.candycrushsaga,キャンディークラッシュ,15,TW,2017-10-21
com.icantw.wings,狂暴之翼-狂世代3D魔幻飛行戰鬥手遊,16,TW,2017-10-21
com.nianticlabs.pokemongo,PokémonGO,17,TW,2017-10-21
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),18,TW,2017-10-21
com.game.beans.sog,封神召喚師-超神氣卡牌手遊,19,TW,2017-10-21
air.tw.com.bonuswinner.bwmj16tw,"宅神爺麻將、拉霸、撲克(德撲,13支,大老2,接龍)、黃金馬",20,TW,2017-10-21
com.empress,熹妃傳-第一部可以玩的宮鬥小說,21,TW,2017-10-21
com.linecorp.LGBB2,LINEバブル2,22,TW,2017-10-21
com.godgame.mj.android,麻將神來也16張麻將,23,TW,2017-10-21
jp.co.mixi.monsterstrikeTW,怪物彈珠-RPG手機遊戲,24,TW,2017-10-21
com.garena.game.ddttw,Garena彈彈堂-以彈會友齊聚一堂,25,TW,2017-10-21
com.kimi.ggplay.xwtw,希望：新世界,26,TW,2017-10-21
com.gm99.dod,鎮魔曲,27,TW,2017-10-21
com.gm99.mjtw,創世破曉,28,TW,2017-10-21
com.digipixie.piggy.gplay,豬來了-萌寵總動員,29,TW,2017-10-21
com.ltgame.rxjh.tw,熱血江湖-熱血伏魔，狂戰江湖,30,TW,2017-10-21
com.playrix.homescapes,ホームスケイプ(Homescapes),31,TW,2017-10-21
com.gravity.poring.and,RO:IdlePoring,32,TW,2017-10-21
com.overseas.daqing1,我在大清當皇帝,33,TW,2017-10-21
com.dkgame.gplay.crisisactiontw,全民槍戰：海島生存,34,TW,2017-10-21
com.igs.TMD,"滿貫大亨-老虎機,捕魚,賽馬,麻將,撲克",35,TW,2017-10-21
com.jedigames.p20.googleplay,我が天下【世界配信一周年】,36,TW,2017-10-21
com.szckhd.jwgly.azfanti,叫我官老爺-原創當官手游,37,TW,2017-10-21
com.game168.gameofmafia,黑道風雲,38,TW,2017-10-21
tw.com.iwplay.ff,FINALFANTASY最終幻想：覺醒,39,TW,2017-10-21
com.gamedreamer.sgbpgtw,三國BLADE,40,TW,2017-10-21
jp.co.atm.vcon.ww,VALKYRIECONNECT,41,TW,2017-10-21
com.gamedreamer.sdtw,射鵰英雄傳2017-金庸正版授權，60週年紀念手遊,42,TW,2017-10-21
com.igs.mjstar31,明星3缺1－麻將、撲克牌、拉霸機,43,TW,2017-10-21
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),44,TW,2017-10-21
com.linecorp.LGGRTW,LINE旅遊大亨,45,TW,2017-10-21
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,46,TW,2017-10-21
com.onmyoji.hmt2,陰陽師Onmyoji-和風幻想RPG,47,TW,2017-10-21
com.playhit.sh.tw,神話永恆：林明禎微笑代言超越奇蹟之作,48,TW,2017-10-21
com.nexon.dynastywarriors,DynastyWarriors:Unleashed,49,TW,2017-10-21
com.sayyo.huga,HUGASlots野蠻世界老虎機-正宗水滸傳、潘金蓮拉霸機,50,TW,2017-10-21
com.netmarble.sknightsgb,SevenKnights,51,TW,2017-10-21
com.godgame.texasholdem.android,德州撲克神來也德州撲克(TexasPoker),52,TW,2017-10-21
com.linecorp.LGFARM,LINEブラウンファーム,53,TW,2017-10-21
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),54,TW,2017-10-21
com.goodluck777.panther,金好運娛樂城-遊藝場實體機台正版授權,55,TW,2017-10-21
com.droidhang.ad,IdleHeroes-無料放置育成RPG,56,TW,2017-10-21
com.eyougame.wsjs,無雙劍士超擊敗MMORPG巔峰之作,57,TW,2017-10-21
com.jiannianggame.tw,請命令！提督SAMA,58,TW,2017-10-21
com.idplay.shxw.lingyu,妳與江湖,59,TW,2017-10-21
com.miHoYo.bh3tw,崩壊3rd,60,TW,2017-10-21
com.igg.castleclash_tw,城堡爭霸,61,TW,2017-10-21
com.playhit.our.kof,拳皇98終極之戰OL,62,TW,2017-10-21
com.igs.fafafa,GoldenHoYeahSlots-RealCasinoSlots,63,TW,2017-10-21
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,64,TW,2017-10-21
com.linecorp.LGRGS,LINEレンジャー,65,TW,2017-10-21
tw.wonderplanet.CrashFever,CrashFever,66,TW,2017-10-21
tw.com.iwplay.sd,射鵰英雄傳3D,67,TW,2017-10-21
net.gamon.bdTW,BanGDream!少女樂團派對,68,TW,2017-10-21
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,69,TW,2017-10-21
com.bigbull.tdsgtw,塔防三國志：群英齊聚重溫經典,70,TW,2017-10-21
com.enjoygame.jwstw,極無雙-靈寵降誕洛神無雙,71,TW,2017-10-21
