app_id,app_name,rank,country_code,date
com.soulgit.age2048l,2048：都市建設パズル,1,TW,2017-08-25
com.gm99.dod,鎮魔曲,2,TW,2017-08-25
com.xlegend.ar.tw,星界-王冠,3,TW,2017-08-25
com.herogame.gplay.fcpd,飛車派對-燃擎競速，狂飆一夏,4,TW,2017-08-25
air.jp.ne.hap.purin,冷蔵庫のプリン食べられた-脱出ゲーム,5,TW,2017-08-25
com.game.beans.sog,封神召喚師-超神氣卡牌手遊,6,TW,2017-08-25
com.tgyx.ssjj,特攻英雄-FPS+MOBA全民競技槍戰手遊,7,TW,2017-08-25
com.happyelements.clover.global,SummerPop,8,TW,2017-08-25
com.tuo3.hjdt.gl.xa.tc,MetalSlugOnline-越南大戰,9,TW,2017-08-25
com.BeresnevGames.Knife,FlippyKnife,10,TW,2017-08-25
com.ltgame.rxjh.tw,熱血江湖-青春熱血，再戰江湖,11,TW,2017-08-25
detective.conan.gumptech,名侦探柯南,12,TW,2017-08-25
tw.com.iwplay.ff,FINALFANTASY最終幻想：覺醒,13,TW,2017-08-25
com.irongames.crazyracingmoto,CrazyRacingMoto,14,TW,2017-08-25
com.lemonjamstudio.themightyhero,TheMightyHero,15,TW,2017-08-25
se.foglo.svt,SnipersvsThieves,16,TW,2017-08-25
com.tencent.warwings2,ウォー・ウィングス(WarWings),17,TW,2017-08-25
com.percent.yosul,YOSUL,18,TW,2017-08-25
com.heat.candy.happy,HeatCandy,19,TW,2017-08-25
com.Glaciwaker.SmithStory,SmithStory,20,TW,2017-08-25
com.gamecaff.yhzj,永恆戰記-無盡戰記Ⅱ,21,TW,2017-08-25
wonderland.bubble,BubbleWonderland,22,TW,2017-08-25
com.catool.vegas.ganstercity,ベガスギャングスターシティ,23,TW,2017-08-25
com.awesomepiece.zh.line,LINE殭屍學園,24,TW,2017-08-25
com.sega.sonicboomandroid,SonicDash2:SonicBoom,25,TW,2017-08-25
com.square_enix.android_googleplay.MeshiQuestw,MeshiQuest:Five-starKitchen,26,TW,2017-08-25
com.userjoy.lvt,"寶島娛樂城-柏青斯洛,水果盤,5PK,小瑪莉,糖果,忍者,麻將機檯",27,TW,2017-08-25
com.lk.myz2.twgp,羋月傳－全球首款3D宮廷手遊,28,TW,2017-08-25
com.gamedreamer.txpgtw,三國IN起來：兄弟們，開戰啦,29,TW,2017-08-25
com.sweet.fruit.farmtrip,SweetFruit:FarmTrip,30,TW,2017-08-25
com.DoomsdayStudio.LabEscape,LABEscape!,31,TW,2017-08-25
com.starpy.qmah.tw,破戰關頭,32,TW,2017-08-25
com.mokuni.foodconga,フード・コンガ,33,TW,2017-08-25
com.aicombo.pandathree,太極熊貓3-獵龍,34,TW,2017-08-25
com.nukeboxstudios.foodtruckchef,フードトラック・シェフ:料理ゲーム,35,TW,2017-08-25
com.plarium.zoo,FamilyZoo:TheStory,36,TW,2017-08-25
com.hagame.c2play,名劍,37,TW,2017-08-25
com.mobirix.archerybigm,アーチェリー大きな試合,38,TW,2017-08-25
com.drpanda.cafe.fun,Dr.Pandaカフェフリーミアム,39,TW,2017-08-25
com.crazy.candy.kougo,CrazyCandy,40,TW,2017-08-25
com.flazm.bobtherobber4,BobTheRobber4,41,TW,2017-08-25
com.ncsoft.aramipuzzventure,AramiPuzzventure,42,TW,2017-08-25
com.bitmango.go.brainsudokupuzzle,BrainSudoku:Puzzle,43,TW,2017-08-25
com.zhenghuagame.sstt,神聖天堂Mobile-再現奇跡天堂，唯有奇跡超越奇跡！,44,TW,2017-08-25
com.icantw.dp,獵龍計劃,45,TW,2017-08-25
com.candymagiccrush.dragongame,CandyMagic-TaptoBlast,46,TW,2017-08-25
com.sponge.stayalive,無人島で生き残れ！,47,TW,2017-08-25
com.ketchapp.spacefrontier,SpaceFrontier,48,TW,2017-08-25
com.bencraft.vam,BenCraft:探検とサバイバル,49,TW,2017-08-25
com.bingo.games.online.offline.free.slots.lotto.keno.casino.adventure,BingoWin：友達とビンゴをプレイ！,50,TW,2017-08-25
com.weyou.antempire,蟲蟲帝國,51,TW,2017-08-25
com.cookies.smash.match,CookiesSmash:CandyMatch3,52,TW,2017-08-25
jp.uuum.blueman1,青鬼,53,TW,2017-08-25
com.tinydragonadventuregames.crafting.building.exploration.blocky.cube.lite.boy.girl.love.date.game.chat.minecraft.boyfriend,UltimateCraft:キューブワールドでのビルドとデザイン,54,TW,2017-08-25
com.efun.twtx,天下3D,55,TW,2017-08-25
com.ivx.bus.parking.dangrous.driving.simulation,ニューヨークリアル地下鉄バスパーキングドライブ,56,TW,2017-08-25
com.honeydew.stealer,ソードナイツ,57,TW,2017-08-25
com.stickmanindie.stickmanarcher2,スティックマンアーチャー2,58,TW,2017-08-25
com.doodlesh.knife,ナイフフリップ-KnifeFlip,59,TW,2017-08-25
com.candy.mission.sweet,Candy'sMission,60,TW,2017-08-25
com.ketchapp.loop,Loop,61,TW,2017-08-25
com.mp.superherowaterslideuphillrush,スーパーヒーローウォータースライド上り坂руш,62,TW,2017-08-25
com.Aria63.Kuizu,日語漢字猜一猜-吉原花巷-,63,TW,2017-08-25
com.cloudcade.shopheroes,ShopHeroes,64,TW,2017-08-25
com.crater.crackup,JetCrash,65,TW,2017-08-25
com.jiangshi.afk.qianxun,末世衝突—新遊報道，特色城堡攻堅戰！,66,TW,2017-08-25
