app_id,app_name,rank,country_code,date
com.cig.homebehind,HomeBehind,1,TW,2017-09-29
com.czechgames.tta,ThroughtheAges,2,TW,2017-09-29
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,3,TW,2017-09-29
jp.co.capcom.gyakusai6en,SpiritofJustice,4,TW,2017-09-29
com.stereo7games.syndicate2.pro,SteampunkSyndicate2Pro:タワーディフェンスゲーム,5,TW,2017-09-29
com.peppapig.pollyparrot,PeppaPig:PollyParrot,6,TW,2017-09-29
com.artifexmundi.themythseekers.gp.full,神話を求める者:バルカンの遺産(Full),7,TW,2017-09-29
com.runesoft.cultureswonders,Cultures:8thWonderoftheWorld,8,TW,2017-09-29
com.zplay.catquest,喵咪鬥惡龍,9,TW,2017-09-29
com.SunnyFunniesEP2.kids.game,SunnyFunnies:Umbrellas–funeducationalgame,10,TW,2017-09-29
com.cmge.uriglobal,Uri:TheSproutofLotusCreek,11,TW,2017-09-29
com.fivebn.daf2.full,ダークネス・アンド・フレイム2(full),12,TW,2017-09-29
com.ChrisKugler.DungeoneerFull,Dungeoneer,13,TW,2017-09-29
