app_id,app_name,rank,country_code,date
jp.naver.line.android,LINE（ライン）-無料通話・メールアプリ,1,TW,2016-07-12
com.linecorp.LGFARM,LINEブラウンファーム,2,TW,2016-07-12
tw.com.iwplay.yitian,倚天屠龍記,3,TW,2016-07-12
com.digipixie.piggy.gplay,豬來了,4,TW,2016-07-12
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,5,TW,2016-07-12
tw.com.iwplay.sd,射鵰英雄傳3D,6,TW,2016-07-12
com.madhead.tos.zh,神魔之塔,7,TW,2016-07-12
com.netmarble.sknightsgb,SevenKnights,8,TW,2016-07-12
com.more.laozi,老子有錢,9,TW,2016-07-12
game.xin.hd.free,星城Online-HD,10,TW,2016-07-12
com.linecorp.LGGRTW,LINE旅遊大亨,11,TW,2016-07-12
com.linecorp.LGRGS,LINEレンジャー,12,TW,2016-07-12
com.userjoy.LetsVegasSlots,Let'sVegasSlots,13,TW,2016-07-12
com.empress,熹妃傳-第一部可以玩的宮鬥小說,14,TW,2016-07-12
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,15,TW,2016-07-12
com.playhit.our.kof,拳皇98終極之戰OL,16,TW,2016-07-12
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),17,TW,2016-07-12
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,18,TW,2016-07-12
com.madhead.chronosgate,ChronosGate,19,TW,2016-07-12
com.efun.llyt.tw.tw,六龍御天,20,TW,2016-07-12
tw.wonderplanet.CrashFever,CrashFever,21,TW,2016-07-12
com.kimi.ggplay.qjmutw,奇蹟MU-王者歸來狼魂要塞,22,TW,2016-07-12
com.nexon.hit.global,HIT,23,TW,2016-07-12
com.ftt.sevenguardians.gl.global,セブンガーディアンズ　終わりなき戦争,24,TW,2016-07-12
com.dkgame.gplay.crisisactiontw,全民槍戰,25,TW,2016-07-12
com.tw.gm.one.android,新大主宰（天蠶土豆正版授權）,26,TW,2016-07-12
com.netmarble.mherosgb,MARVELFutureFight,27,TW,2016-07-12
com.king.candycrushsaga,キャンディークラッシュ,28,TW,2016-07-12
com.linecorp.LGBB2,LINEバブル2,29,TW,2016-07-12
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),30,TW,2016-07-12
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,31,TW,2016-07-12
com.garena.game.ak47tw,雷霆突擊-超越槍戰新時代,32,TW,2016-07-12
com.garena.game.lfstw,Garena劍與魔法王國-無體力限制RPG,33,TW,2016-07-12
com.eyougame.zllq,最強獵人-首創多階轉職,34,TW,2016-07-12
com.enjoygame.ttwyft,天堂戰記-2016全球同服日系3DARPG強勢來襲,35,TW,2016-07-12
com.longtech.lastwars.gp,LastEmpire-WarZ,36,TW,2016-07-12
com.idplay.legu.gongzhuol,魔王與公主,37,TW,2016-07-12
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,38,TW,2016-07-12
jp.co.mixi.monsterstrikeTW,怪物彈珠,39,TW,2016-07-12
com.pokercity.bydrqp.googleplay,捕魚達人-大型機台打魚完美移植,40,TW,2016-07-12
