app_id,app_name,rank,country_code,date
com.softstargames.mswd,軒轅劍龍舞雲山,1,TW,2019-03-14
com.mover.twxkfy,俠客風雲傳Online,2,TW,2019-03-14
io.voodoo.crowdcity,CrowdCity,3,TW,2019-03-14
com.tencent.tmgp.ssktw,聖鬥士星矢：覺醒,4,TW,2019-03-14
com.ekiplay.mortal,凡人修仙錄,5,TW,2019-03-14
doomcity.zombiesniper.zombiekilling,OverkilltheDead:Survival,6,TW,2019-03-14
com.cardriver.cityacademy,クリティカルスナイパーシューティング,7,TW,2019-03-14
com.gm99.tgsw,星魂M,8,TW,2019-03-14
com.nexon.axe.global,AxE:AlliancevsEmpire,9,TW,2019-03-14
com.mjwl.jlqy.android,精靈契約-魔幻RPG遊戲,10,TW,2019-03-14
com.icantw.cds,料理次元,11,TW,2019-03-14
com.zombiesurvival.fpssnipergame,ZHuntingDay:ToLiveorDie,12,TW,2019-03-14
com.fqj.twgp,焚情訣,13,TW,2019-03-14
com.speeddrifting.cityracing,DriftCity-HottestRacingGame,14,TW,2019-03-14
com.airwar.shooting.survivialgame,GunshipWar：TotalBattle,15,TW,2019-03-14
com.casino.baifan1,百番娱乐城超好玩的百家乐、slot、水果机电玩城游戏,16,TW,2019-03-14
com.razyikeattackacingewmotorcycleracingnbastore,スタントモト,17,TW,2019-03-14
com.wemadesvc.icarusm.zh_TW,伊卡洛斯M-IcarusM,18,TW,2019-03-14
com.thisandroid.hjbox,韩剧超级盒子,19,TW,2019-03-14
com.plarium.raidlegends,レイドShadowLegends,20,TW,2019-03-14
com.ceishingreefishinggameatchbigfishshooter,夏の釣り,21,TW,2019-03-14
com.extremeracing.mafiacar.road,トンネルデッドハンター,22,TW,2019-03-14
com.metajoy.puzzlegame.dragnmerge,DragnMerge:BlockPuzzle,23,TW,2019-03-14
com.blumelo.jellaandroid,Jella!,24,TW,2019-03-14
com.heombieundeadarcade,刑務所を破る,25,TW,2019-03-14
com.racoondigi.jqdj,街球對決：Hoops,26,TW,2019-03-14
com.dotnbeat.dancing.music.rhythm.handspeed,點點リズム(DotnBeat)　君の手の速さをテストする,27,TW,2019-03-14
com.snow.drift,SnowDrift,28,TW,2019-03-14
com.eskyfun.wddggp,將星物語-超佛系の三國育成手遊,29,TW,2019-03-14
