app_id,app_name,rank,country_code,date
com.leomaz.ux.experience,UXExperienceS8-IconPack,1,TW,2017-04-19
com.gauravmantri.oreo,DreamUI-IconPack,2,TW,2017-04-19
com.aneeshpradeep.amoledwallpaperspro,SuperAMOLEDWallpapersPRO,3,TW,2017-04-19
com.xorrisont.wallerta,Wallerta,4,TW,2017-04-19
com.kewitschka.todoreminderpro,TodoReminderPro+Widget,5,TW,2017-04-19
com.skalski.lukasz.smartmzdplayer.global,SmartMZDPlayerFULLX,6,TW,2017-04-19
com.beamdog.pstee,Planescape:TormentEE,7,TW,2017-04-19
air.com.noodlecake.luminocity,LuminoCity,8,TW,2017-04-19
com.innovativetheme.gifwallpaper3,LiveWallpaper-SkyrimFullHD,9,TW,2017-04-19
com.sharpenplay.motapaid,魔塔新篇:龍族覺醒(黃金版),10,TW,2017-04-19
com.asmodeedigital.onirim,Onirim-SolitaireCardGame,11,TW,2017-04-19
vpsoftware.bluetooth.mono,BluetoothMonoMedia,12,TW,2017-04-19
com.tocaboca.tocahospital,TocaLife:Hospital,13,TW,2017-04-19
com.bodunov.GalileoPro,GalileoOfflineMapsPro,14,TW,2017-04-19
com.sonymobile.themes.broidery,XPERIA™BroideryTheme,15,TW,2017-04-19
com.ootpdevelopments.mlbm2017,MLBManager2017,16,TW,2017-04-19
com.sagosago.Town.googleplay,サゴミニタウン,17,TW,2017-04-19
pixbit.prime,PixBit-IconPack,18,TW,2017-04-19
com.ssp.themes.goldenfeathers,XPERIA™のための黄金の羽,19,TW,2017-04-19
com.mlb.RBIBaseball2017,R.B.I.Baseball17,20,TW,2017-04-19
com.aag.biomeonlinewarpro,BiomeSurvivalOnlineWarPRO,21,TW,2017-04-19
com.otek.relatedword2000tch,關聯式單字2000速記，正體中文版,22,TW,2017-04-19
com.astragon.cs2016,ConstructionSimulator2,23,TW,2017-04-19
minio.gauravmantri.s8zooper,S8ZooperWidgets,24,TW,2017-04-19
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,25,TW,2017-04-19
thefaction.wmwatch.maelstrom_alpha,MaelstromAlphawatchface,26,TW,2017-04-19
com.cootek.smartinputv5.skin.keyboard_theme_wedding,WeddingKeyboardTheme,27,TW,2017-04-19
com.bigfishgames.avopgoogfull,アマランスの杖：真実のオーブ(Full),28,TW,2017-04-19
mpaso.wmwatch.mpasolumix7crt,lumix7crt,29,TW,2017-04-19
org.jesus.boxes,JESUSBOXMEDIAPRO,30,TW,2017-04-19
com.selvas.frvip,FatalRaidVIP-FPSゲーム,31,TW,2017-04-19
net.kairosoft.android.ski_en,ShinySkiResort,32,TW,2017-04-19
com.sikebo.amoled.funkong.icons,FUNKONGICONPACK,33,TW,2017-04-19
com.yourcompanyname.goldbrown,GoldBrownTheme,34,TW,2017-04-19
com.shenyaocn.android.usbcamerapro,USBCameraPro,35,TW,2017-04-19
com.notadao.goodnight,GoodNightXperiaTheme,36,TW,2017-04-19
com.ffree.FreeBloodPressurePro,血圧測定Pro,37,TW,2017-04-19
com.notadao.cloudylighthouse,CloudyLighthouseXperiaTheme,38,TW,2017-04-19
tw.com.mebook.voc4719180218124,新多益核心字彙：商務實戰篇,39,TW,2017-04-19
com.notadao.aprilfoolsday,AprilFool'sDayXperiaTheme,40,TW,2017-04-19
com.shich.customizecatalog,客製化型錄CustomizeCatalog,41,TW,2017-04-19
tw.com.mebook.voc4719180218131,新多益核心字彙：職場應用篇,42,TW,2017-04-19
com.themezilla.android_o_icon,OIconPack,43,TW,2017-04-19
nerowhite.materialmountainwhitetheme,MaterialMountainWhiteTheme,44,TW,2017-04-19
com.lge.wsdeveloper.miosblur,MIOSBlurThemeLGG6V20&G5,45,TW,2017-04-19
shuvro.materialpremiumearth,MaterialPremiumEarth,46,TW,2017-04-19
com.InusGames.Wartrain_googleplay,무장열차wartrain:자색보관함의비밀,47,TW,2017-04-19
com.stickyricegames.deliciouspgms,DeliciousMahjongSolitaire,48,TW,2017-04-19
com.peppapig.happymrschicken,PeppaPig:HappyMrsChicken,49,TW,2017-04-19
temasxperia.treexpminimalred,TREEXPERIA-MINIMALRED,50,TW,2017-04-19
com.intelligentchange.fiveminutejournal,FiveMinuteJournal,51,TW,2017-04-19
com.hubaira.scifi,XPERIA™Theme-SCI-FI,52,TW,2017-04-19
com.sonymobile.themes.digital,XPERIA™DigitalTheme,53,TW,2017-04-19
