app_id,app_name,rank,country_code,date
com.fotoable.palette.paris,PaletteParis-パレットパリ,1,TW,2017-08-20
com.fotoable.palette.nara,PaletteNara-パレット奈良,2,TW,2017-08-20
com.fotoable.palette.navy,PaletteNavy(パレットネービー),3,TW,2017-08-20
com.sonymobile.themes.yellowretro,XPERIA™YellowRetroTheme,4,TW,2017-08-20
com.sigmateam.alienshootermobile,AlienShooter,5,TW,2017-08-20
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,6,TW,2017-08-20
net.dinglisch.android.taskerm,Tasker,7,TW,2017-08-20
com.gryffindor.gryffindor.feelm.natura,FeelmNatura-AnalogFilters,8,TW,2017-08-20
com.lakoo.teon,Teon-無商城ARPG手遊,9,TW,2017-08-20
com.mobisystems.editor.office_registered,OfficeSuitePro+PDF,10,TW,2017-08-20
com.soundapps.equalizer,EQイコライザープロ,11,TW,2017-08-20
com.daregon.daregon,Daregon:IsometricPuzzles,12,TW,2017-08-20
com.noodlecake.framed2,FRAMED2,13,TW,2017-08-20
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,14,TW,2017-08-20
com.fotoable.tiffany.palette,PaletteTiffany-パレットティファニー,15,TW,2017-08-20
com.kingwaytek.naviking3d,樂客導航王全3DPro正式版（可離線）,16,TW,2017-08-20
com.fotoable.palette.summer,PaletteSummer（パレットサマー）,17,TW,2017-08-20
com.blackrobotgames.linia,Linia,18,TW,2017-08-20
com.jpbrothers.android.pictail.sub6,PICTAIL-LimitedEdition,19,TW,2017-08-20
crocus.apps.cambi.pro,CambiPhotoCamera,20,TW,2017-08-20
jp.ne.hardyinfinity.bluelightfilter.paid,ブルーライト軽減フィルター有料版ライセンスキー,21,TW,2017-08-20
com.folus.sevenprince,鎮海宮七王爺線上求籤,22,TW,2017-08-20
com.noodlecake.framed,FRAMED,23,TW,2017-08-20
us.mathlab.android.frac.edu,Mathlabで分数電卓PRO,24,TW,2017-08-20
com.daviidh.magme,Magme-IconPack,25,TW,2017-08-20
me.moreapps.iconpack.retro.purple,RetroVintagePurple-IconPack,26,TW,2017-08-20
air.de.einheit_b.cavernaut,Cavernaut,27,TW,2017-08-20
com.gameline.survivalonline,サバイバルオンラインプロGO,28,TW,2017-08-20
com.hg.townsmen7,TownsmenPremium,29,TW,2017-08-20
com.lib.cwmoneyex,CWMoneyEXExpenseTrack,30,TW,2017-08-20
com.palette.twinkle,パレットきらきら-PaletteTwinkle,31,TW,2017-08-20
com.devolver.reigns,Reigns,32,TW,2017-08-20
