app_id,app_name,rank,country_code,date
com.motionvolt.flipbounce,FlipMaster,1,UA,2017-09-06
com.BeresnevGames.Knife,FlippyKnife,2,UA,2017-09-06
zombie.survival.craft.z,LastDayonEarth:Survival,3,UA,2017-09-06
com.secondarm.taptapdash,TapTapDash,4,UA,2017-09-06
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),5,UA,2017-09-06
com.fungames.blockcraft,BlockCraft3D:無料建設ゲーム,6,UA,2017-09-06
com.kiloo.subwaysurf,SubwaySurfers,7,UA,2017-09-06
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,8,UA,2017-09-06
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),9,UA,2017-09-06
air.com.hypah.io.slither,slither.io,10,UA,2017-09-06
com.miniclip.bowmasters,Bowmasters,11,UA,2017-09-06
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,12,UA,2017-09-06
com.empire.grow.rome,GrowEmpire:Rome,13,UA,2017-09-06
com.rovio.abmatch3,AngryBirdsMatch,14,UA,2017-09-06
com.cocoplay.roller.girl,ローラーガールズ-ローラースケートでダンス,15,UA,2017-09-06
com.ketchapp.spacefrontier,SpaceFrontier,16,UA,2017-09-06
com.nekki.shadowfight,シャドウファイト2,17,UA,2017-09-06
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,18,UA,2017-09-06
air.com.supermechs.superapp,SuperMechs,19,UA,2017-09-06
com.tfgco.games.strategy.free.castlecrush,キャッスルクラッシュ(CastleCrush)-オンライン戦略ゲーム,20,UA,2017-09-06
com.avelog.mouse,MouseSimulator,21,UA,2017-09-06
com.flazm.bobtherobber4,BobTheRobber4,22,UA,2017-09-06
com.gsgames.pixel.combat,PixelCombat:ZombiesStrike,23,UA,2017-09-06
fi.twomenandadog.zombiecatchers,ゾンビキャッチャー(ZombieCatchers),24,UA,2017-09-06
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,25,UA,2017-09-06
com.notdoppler.crashofcars,クラッシュオブカーズ(CrashofCars),26,UA,2017-09-06
com.fgol.HungrySharkEvolution,HungrySharkEvolution,27,UA,2017-09-06
com.tocaboca.tocakitchen2,トッカ・キッチン2(TocaKitchen2),28,UA,2017-09-06
com.gameloft.android.ANMP.GloftDMHM,怪盗グルーのミニオンラッシュ,29,UA,2017-09-06
com.skgames.trafficrider,TrafficRider,30,UA,2017-09-06
com.bentostudio.ballsvsblocks,SnakeVSBlock,31,UA,2017-09-06
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,32,UA,2017-09-06
com.vam.freshcraft,FreshCraft:アドベンチャー＆サバイバル,33,UA,2017-09-06
com.gtarcade.lod,LegacyofDiscord-FuriousWings,34,UA,2017-09-06
com.fingersoft.hcr2,HillClimbRacing2,35,UA,2017-09-06
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),36,UA,2017-09-06
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,37,UA,2017-09-06
com.FDGEntertainment.redball4.gp,RedBall4,38,UA,2017-09-06
com.bitmango.rolltheballunrollme,ロールボール：スライドパズル,39,UA,2017-09-06
com.bubadu.bubbu,仮想ペット「Bubbu,40,UA,2017-09-06
com.outfit7.mytalkinghank,マイ・トーキング・ハンク,41,UA,2017-09-06
com.cmplay.dancingline,ダンシングライン（DancingLine）,42,UA,2017-09-06
com.cmplay.tiles2,ピアノタイル2™,43,UA,2017-09-06
com.rovio.baba,アングリーバード2(AngryBirds2),44,UA,2017-09-06
me.pou.app,プーチッチPou,45,UA,2017-09-06
com.dodreams.driveahead,DriveAhead!,46,UA,2017-09-06
com.motionvolt.flipdiving,FlipDiving,47,UA,2017-09-06
com.dimcoms.checkers,チェッカーズ,48,UA,2017-09-06
com.youmusic.magictiles,MagicTiles3,49,UA,2017-09-06
com.orangeapps.piratetreasure,PirateTreasures,50,UA,2017-09-06
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,51,UA,2017-09-06
leagueofmonkeys.torqueburnout,TorqueBurnout,52,UA,2017-09-06
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,53,UA,2017-09-06
com.balysv.loop,∞InfinityLoop,54,UA,2017-09-06
com.outfit7.movingeye.swampattack,スワンプアタック(SwampAttack),55,UA,2017-09-06
com.rovio.tnt,AngryBirdsEvolution,56,UA,2017-09-06
com.roblox.client,ROBLOX,57,UA,2017-09-06
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),58,UA,2017-09-06
com.cigames.sgwm,Sniper:GhostWarrior,59,UA,2017-09-06
com.zeptolab.cats.google,CATS:CrashArenaTurboStars,60,UA,2017-09-06
com.gameloft.android.ANMP.GloftW2HM,ウォープラネットオンライン：GlobalConquest,61,UA,2017-09-06
com.ea.gp.fifamobile,FIFAMobileサッカー,62,UA,2017-09-06
com.feelingtouch.zf3d,ZombieFrontier3,63,UA,2017-09-06
com.turborocketgames.catsim,猫シムオンライン,64,UA,2017-09-06
com.ea.game.pvz2_row,Plantsvs.Zombies2,65,UA,2017-09-06
