app_id,app_name,rank,country_code,date
com.questmonkey.basketball,SwipeShootout:StreetBasketball,1,UA,2017-10-17
com.easytech.wc4.android,世界の覇者4,2,UA,2017-10-17
com.dingogames.tastyplanet2,TastyPlanet:BackforSeconds,3,UA,2017-10-17
com.mageeks.android.trainsimulator,TrainSimulatorPRO2018,4,UA,2017-10-17
com.terribletoybox.thimbleweedparkandroid,ThimbleweedPark,5,UA,2017-10-17
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,6,UA,2017-10-17
mytown.farm,MyTown:農場,7,UA,2017-10-17
com.dt.sprintcars,DirtTrackinSprintCars,8,UA,2017-10-17
mindware.minesweeperpro,MinesweeperPro,9,UA,2017-10-17
com.usm.ddfschattenhelden,Diedrei???-GeheimnisderSchattenhelden,10,UA,2017-10-17
com.devblackroom.noir.ggg,나와그녀와그녀와그녀의건전하지못한관계,11,UA,2017-10-17
com.digidiced.cxgrelease,CottageGarden,12,UA,2017-10-17
com.istellostudiopgs.lastsurviveislandevolve,LastSurvive:IslandEvolve,13,UA,2017-10-17
com.kingsmancircle2.projectblackjack,blackjack,14,UA,2017-10-17
air.de.appsfuerkids.secondgradeaddition020,SecondgradeMath-Addition,15,UA,2017-10-17
jp.co.dwango.satsuriku,殺戮の天使,16,UA,2017-10-17
air.de.appsfuerkids.fourthgrademultiplication028,FourthgradeMath-Multiplication,17,UA,2017-10-17
se.hellothere.skilltwinsfootballgame2,SkillTwinsFootballGame2,18,UA,2017-10-17
com.kingsmancircle2.wordsearchgame,wordsearchgame,19,UA,2017-10-17
jp.co.capcom.gyakusai6en,SpiritofJustice,20,UA,2017-10-17
com.accidentalqueens.anotherlostphone,AnotherLostPhone:Laura'sStory,21,UA,2017-10-17
com.kingsmancircle2.memorygame,memorygame,22,UA,2017-10-17
com.artifexmundi.thesecretorder6.gp.full,シークレット・オーダー6：血統(Full),23,UA,2017-10-17
com.kingsmancircle2.tictactoe,tictactoe,24,UA,2017-10-17
com.BitPlanet.Ultrawings.Google,Ultrawings,25,UA,2017-10-17
com.blank.basketManagerPro,BasketManager2018Pro,26,UA,2017-10-17
com.asmodeedigital.harald,Harald:AGameofInfluence,27,UA,2017-10-17
com.iplay.flower,꽃들판에피어나는덧없음,28,UA,2017-10-17
com.FantasyFlightGames.DiceEngine,LegendoftheFiveRingsDice,29,UA,2017-10-17
stonesoup.jack.google,잭의추리:호텔의미스터리,30,UA,2017-10-17
com.bullbitz.haldrop3,HalloweenDrops3-Matchthreepuzzle,31,UA,2017-10-17
com.animationarts.secretfiles2,SecretFiles2:PuritasCordis,32,UA,2017-10-17
com.EtherGaming.PocketRoguesUltimate,PocketRogues:Ultimate,33,UA,2017-10-17
com.asmodeedigital.tickettoride1journey,TickettoRide:FirstJourney ,34,UA,2017-10-17
com.projects.matchfinder,IQZIGGIMemoryGame,35,UA,2017-10-17
hu.redshift.thequestexp5,TheQuest-HeroofLukomoryeII,36,UA,2017-10-17
com.anarchyent.kickasscomandos,KickAssCommandos,37,UA,2017-10-17
com.UPEntertainment.RimaTSB,Rima:TheStoryBegins,38,UA,2017-10-17
com.JDM4iKGames.MuscleDriftSimPro,MuscleDriftSimulator2018Pro,39,UA,2017-10-17
com.shadesofviolet2,SOV2-betheHeroinamovie,40,UA,2017-10-17
com.Synersteel.Brotherhood,MCLars2:Brotherhood,41,UA,2017-10-17
com.BlackValleyGames.MadFactory,MadFactory,42,UA,2017-10-17
com.inus_jssg01_gp.kr,비주얼노벨장씨세가호위무사시즌1석가장편,43,UA,2017-10-17
air.de.appsfuerkids.firstgradeaddition018,FirstgradeMath-Addition,44,UA,2017-10-17
pw.SparkOfLight.Daydream,SparkofLight,45,UA,2017-10-17
com.thechineseroom.soletusmelt,SoLetUsMelt,46,UA,2017-10-17
com.unimob.stickman.ghost2.pay,StickmanGhost2:GunSword,47,UA,2017-10-17
org.pbskids.splashandbubblesoceanadventure,SplashandBubblesOceanAdventure,48,UA,2017-10-17
com.kingsmancircle1.wordsearchgame,wordsearchgame,49,UA,2017-10-17
com.shivergames.lucius2D,LuciusDemake,50,UA,2017-10-17
com.kingsmancircle1.tictactoe,tictactoe,51,UA,2017-10-17
de.dodings.banddings,BandDings:音楽アドベンチャー,52,UA,2017-10-17
com.NVS.diamoxl,DiamoXL,53,UA,2017-10-17
com.timbermint.dungeontails,DungeonTails,54,UA,2017-10-17
com.playway.farmexpert2018premium,FarmExpert2018Premium,55,UA,2017-10-17
com.majescoentertainment.boyandblob,ABoyandHisBlob,56,UA,2017-10-17
com.stereo7games.syndicate2.pro,SteampunkSyndicate2Pro:タワーディフェンスゲーム,57,UA,2017-10-17
air.de.appsfuerkids.thirdgradesubtraction024,ThirdgradeMath-Subtraction,58,UA,2017-10-17
com.HyeokWEight.GoldenKid,"ゴールデンキッズ-""GGOKAYA""大作戦-",59,UA,2017-10-17
com.teamhc.project12ep1,칸타빌레레시피,60,UA,2017-10-17
com.Komikermedia.WildTankPro,WildTank|ProEdition,61,UA,2017-10-17
com.TinyDevbox.DeadRain,DeadRain:Newzombievirus,62,UA,2017-10-17
com.MichaelSciortino.OrbitaLuiPremium,OrbitaLui,63,UA,2017-10-17
com.digitalpuzzle,Digitalpuzzle,64,UA,2017-10-17
com.internetreshenia.JumpyHorseRacing,JumpyHorseRacing,65,UA,2017-10-17
com.binsys.gameofmath,GameofMath,66,UA,2017-10-17
com.turbomonad.galaxdefender,GalaxDefender,67,UA,2017-10-17
com.scaryrobot.pokerwithbobandroid,PokerWithBob,68,UA,2017-10-17
com.deeper.FinnIn1989,Finnin1989,69,UA,2017-10-17
finchbird.games.froggy,フロッグ,70,UA,2017-10-17
com.kingsmancircle.wordsearchgame,wordsearchgame,71,UA,2017-10-17
com.hocrox.bonzospeaks,BonzoSpeaksLanguageApp,72,UA,2017-10-17
goj.riccardo.it.myapplication,RPGTheGuardianofJesi,73,UA,2017-10-17
com.kanawati.TheBallReach,TheBallReach,74,UA,2017-10-17
com.Maklex.vr_operation_game,Vroperation,75,UA,2017-10-17
com.kingsmancircle.tictactoe,tictactoe,76,UA,2017-10-17
com.BiAStudios.ThatBallGame,ThatBallGame,77,UA,2017-10-17
com.Cosmos.HezarfenWS,HezarfenWingsuitFlying,78,UA,2017-10-17
com.SunnyFunniesEP2.kids.game,🌞SunnyFunnies:Umbrellas–learningmadefun,79,UA,2017-10-17
com.genetix.winterbreak_deluxe,CollegeDays-WinterBreakDeluxeEdition,80,UA,2017-10-17
ideamk.com.surpriseeggs2,SurpriseEggs,81,UA,2017-10-17
com.ProfiSoft.DriftFanaticsPro,DriftFanaticsCarDriftingPRO,82,UA,2017-10-17
com.MaxAndreassen.SBMTD,StopBuggin'MeTD,83,UA,2017-10-17
com.greensaucegames.secretsofmagic2full,SecretsofMagic2:WitchesandWizards(Full),84,UA,2017-10-17
com.kingsmancircle3.wordsearchgame,wordsearchgame,85,UA,2017-10-17
com.aleamath.mathdice,MathDice,86,UA,2017-10-17
com.kingsmancircle3.brainsum,brainsum,87,UA,2017-10-17
com.intropy.games.mojikara.trainer,Mojikara:JapaneseTrainer-LearnKanji&Kana,88,UA,2017-10-17
com.TurtleCream.themoon6180,6180themoon,89,UA,2017-10-17
ptcgodeckbuilder.droid,PokeDeck,90,UA,2017-10-17
com.kingsmancircle3.tictactoe,tictactoe,91,UA,2017-10-17
