app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,UA,2019-04-14
com.agaming.thesun.origin,TheSun:Origin,2,UA,2019-04-14
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,3,UA,2019-04-14
games.paveldogreat.fluidsim,FluidSimulation,4,UA,2019-04-14
cc.peacedeath.peacedeath,"Peace,Death!",5,UA,2019-04-14
com.astragon.cs3,ConstructionSimulator3,6,UA,2019-04-14
com.kozgames.motordepot,MotorDepot,7,UA,2019-04-14
com.AngryNeighbor,AngryNeighbor,8,UA,2019-04-14
com.gm_shaber.dayrpremium,DayRPremium,9,UA,2019-04-14
gosoft.ukraineprosimulatorsecond,UkraineSimulatorPRO2,10,UA,2019-04-14
air.com.amanitadesign.chuchel.gp,CHUCHEL（チュチェル）,11,UA,2019-04-14
com.notdoppler.earntodie,EarntoDie,12,UA,2019-04-14
com.giantssoftware.fs18.google,FarmingSimulator18,13,UA,2019-04-14
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),14,UA,2019-04-14
cam.uaz,RussianSUV,15,UA,2019-04-14
ch.feinheit.games.firststrike,FirstStrike:FinalHour,16,UA,2019-04-14
com.robtopx.geometryjump,GeometryDash,17,UA,2019-04-14
com.agaming.zonashadowoflemansk,Z.O.N.AShadowofLemansk,18,UA,2019-04-14
com.Zonmob.Stickman.FightingGames.ShadowOfDeath,ShadowofDeath:暗黒の騎士-スティックマン・ファイティング,19,UA,2019-04-14
com.and.games505.TerrariaPaid,Terraria.,20,UA,2019-04-14
com.giantssoftware.fs16,FarmingSimulator16,21,UA,2019-04-14
com.chucklefish.stardewvalley,StardewValley,22,UA,2019-04-14
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,23,UA,2019-04-14
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,24,UA,2019-04-14
com.realdrift.sipon,RealDriftCarRacing,25,UA,2019-04-14
air.com.exicon.dp01,Денежныйпоток101,26,UA,2019-04-14
com.zitga.empire.warriors.td.tower.defense,EmpireWarriorsTDPremium:プレミアムタワーディフェンスゲームRPG,27,UA,2019-04-14
com.ProjectTheGalaxy,THEGALAXY:SURVIVOR,28,UA,2019-04-14
com.astragon.cs2016,ConstructionSimulator2,29,UA,2019-04-14
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,30,UA,2019-04-14
com.agaming.reporterii,Reporter2,31,UA,2019-04-14
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,32,UA,2019-04-14
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,33,UA,2019-04-14
com.nerdyyetis.spacefuss,SpaceFuss,34,UA,2019-04-14
com.epsxe.ePSXe,ePSXeforAndroid,35,UA,2019-04-14
age.of.civilizations.jakowski,エイジ・オブ・シヴィライゼーション,36,UA,2019-04-14
com.EtherGaming.PocketRoguesUltimate,PocketRogues:Ultimate,37,UA,2019-04-14
com.agaming.zonaprojectx,Z.O.N.AProjectX,38,UA,2019-04-14
com.trueaxis.trueskate,TrueSkate,39,UA,2019-04-14
com.dotemu.titanquest,TitanQuest,40,UA,2019-04-14
com.nekki.shadowfight2.paid,シャドウファイト2スペシャルエディション,41,UA,2019-04-14
com.FireproofStudios.TheRoom,TheRoom,42,UA,2019-04-14
com.leosfortune,レオズ・フォーチュン,43,UA,2019-04-14
com.zeptolab.ctr.paid,CuttheRopeGOLD,44,UA,2019-04-14
com.agaming.mentalhospitaliv,MentalHospitalIV,45,UA,2019-04-14
com.tortugateam.bravelandpirate,BravelandPirate,46,UA,2019-04-14
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,47,UA,2019-04-14
com.hg.townsmen7,TownsmenPremium,48,UA,2019-04-14
com.Taxi.Game,TaxiCity1988V1,49,UA,2019-04-14
com.squareenixmontreal.lcgo,LaraCroftGO,50,UA,2019-04-14
com.astragon.cs2014,コンストラクションシミュレーター2014,51,UA,2019-04-14
me.dreamsky.stickman,LeagueofStickman2019-NinjaArenaPVP(Dreamsky),52,UA,2019-04-14
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,53,UA,2019-04-14
com.jumpgames.RealSteel,RealSteel,54,UA,2019-04-14
com.oddworld.Stranger,Oddworld:Stranger'sWrath,55,UA,2019-04-14
com.coffeestainstudios.goatsimulator.payday,GoatSimulatorPayday,56,UA,2019-04-14
com.rockstar.gta3,GrandTheftAutoIII,57,UA,2019-04-14
com.aspyr.swkotor,StarWars™:KOTOR,58,UA,2019-04-14
com.zigzagame.evertale,エバーテイル,59,UA,2019-04-14
com.tt2kgames.xcomew,XCOM®:EnemyWithin,60,UA,2019-04-14
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,61,UA,2019-04-14
com.elevenbitstudios.twomstoriesmobile,ThisWarofMine:Stories-Father'sPromise,62,UA,2019-04-14
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,63,UA,2019-04-14
amanita_design.samorost3.GP,Samorost3(サモロスト3),64,UA,2019-04-14
com.agaming.mentalhospitaliii,MentalHospitalIII,65,UA,2019-04-14
com.greenheartgames.gdt,GameDevTycoon,66,UA,2019-04-14
mytown.grandparents,MyTown:Grandparents,67,UA,2019-04-14
com.astragon.trucksim,TruckSimulation16,68,UA,2019-04-14
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,69,UA,2019-04-14
com.agaming.reporter,Reporter,70,UA,2019-04-14
com.hamsteroncoke.zenge,Zenge,71,UA,2019-04-14
me.dreamsky.lostjourney2,時空の旅(Dreamsky),72,UA,2019-04-14
nz.co.codepoint.minimetro,ミニメトロ,73,UA,2019-04-14
ru.buka.dville01,DarkestvilleCastle,74,UA,2019-04-14
com.jds.batim,BendyandtheInkMachine,75,UA,2019-04-14
com.dpasahangamestudio.ghb,GETHERBACK:Adventure&ShooterAtIt'sBest,76,UA,2019-04-14
com.candyrufusgames.survivalcraft2,Survivalcraft2,77,UA,2019-04-14
com.alawar.treasuresofmontezuma3full,モンテズマの宝3(Montezuma3).TrueMatch-3Game.,78,UA,2019-04-14
com.gosoft.ukrainepremium,SimulatorofUkrainePremium,79,UA,2019-04-14
synthesis.game.fishing2.full,FishingPRO2(full)-fishingsimulatorwithchat,80,UA,2019-04-14
com.Drool.ThumperPocketEdition,Thumper:PocketEdition,81,UA,2019-04-14
com.agaming.mentalhospitalV,MentalHospitalV,82,UA,2019-04-14
mytown.hospital,MyTown:Hospitalホスピタル,83,UA,2019-04-14
air.com.amanitadesign.botanicula,Botanicula(ボタニキュラ),84,UA,2019-04-14
com.okidokico.okgolf,OKGolf-OKゴルフ,85,UA,2019-04-14
com.hpg.wakethecat,WaketheCat,86,UA,2019-04-14
com.bowengames.farmingusa2,FarmingUSA2,87,UA,2019-04-14
brownmonster.app.game.rushrally2,RushRally2,88,UA,2019-04-14
com.hg.aporkalypse,Aporkalypse-運命の豚,89,UA,2019-04-14
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,90,UA,2019-04-14
com.rockstar.maxpayne,マックス・ペインモバイル,91,UA,2019-04-14
com.GB.TRAILCLIMB,TRAILCLIMB,92,UA,2019-04-14
com.FireproofStudios.TheRoom4,TheRoom:OldSins,93,UA,2019-04-14
com.dingogames.tastyplanet2,TastyPlanet:BackforSeconds,94,UA,2019-04-14
com.playdigious.cultist,CultistSimulator,95,UA,2019-04-14
net.cleverbit.DinoPuzzlesFull,面白い恐竜パズル、フルゲーム。,96,UA,2019-04-14
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,97,UA,2019-04-14
football.manager.games.fm19.mobile,FootballManager2019Mobile,98,UA,2019-04-14
com.twodboy.worldofgoofull,ワールド･オブ･グー,99,UA,2019-04-14
com.LoopyMood.AntVentor,AntVentor:PuzzleAdventure,100,UA,2019-04-14
com.mageeks.android.farmingpro2016,FarmingPRO2016,101,UA,2019-04-14
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,102,UA,2019-04-14
air.com.shirogames.evoland12,Evoland,103,UA,2019-04-14
com.rt.hook,Hook,104,UA,2019-04-14
com.herocraft.game.tinybangstory,TheTinyBangStoryPremium,105,UA,2019-04-14
com.feralinteractive.rometw,ROME:TotalWar,106,UA,2019-04-14
com.masonmacbeth.farmsimulator2019,FarmSimulator2019,107,UA,2019-04-14
net.cleverbit.SafariPuzzlesFull,"KidsPuzzles,FunnyAnimals#2(fullgame)",108,UA,2019-04-14
com.smgstudio.deathsquared,ロロロロ(DeathSquared),109,UA,2019-04-14
com.team17.escapists,TheEscapists:PrisonEscape,110,UA,2019-04-14
com.egproject.thehousehd,TheHouseHD,111,UA,2019-04-14
com.palmheroes.royalbounty_hd,RoyalBountyHD,112,UA,2019-04-14
ru.buka.syberia1,Сибирь,113,UA,2019-04-14
se.filimundus.littlepolice,リトルポリス,114,UA,2019-04-14
ru.buka.syberia2,Сибирь2,115,UA,2019-04-14
com.entwell.rk_org,レヴェナント・ナイト,116,UA,2019-04-14
com.younghorses.octodad,Octodad:DadliestCatch,117,UA,2019-04-14
com.glutenfreegames.wolfsimulatortwo,UltimateWolfSimulator,118,UA,2019-04-14
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,119,UA,2019-04-14
com.gameloft.android.ANMP.GloftICHM,SonicRunnersAdventure-FastActionPlatformer,120,UA,2019-04-14
com.unimob.legend.guardians.premium,LegendGuardians:EpicHeroesFightingActionRPG,121,UA,2019-04-14
com.wb.goog.legohp2,LEGOHarryPotter:Years5-7,122,UA,2019-04-14
com.hitcents.drawastickmanepic2,DrawaStickman:EPIC2,123,UA,2019-04-14
com.mtvn.SBminigame,SpongeBob'sGameFrenzy,124,UA,2019-04-14
com.mediocre.grannysmith,GrannySmith,125,UA,2019-04-14
gosoft.allcountriesprosimulatorsecond,PresidentSimulator,126,UA,2019-04-14
com.rockstargames.gtalcs,GTA:LibertyCityStories,127,UA,2019-04-14
net.cleverbit.HumanWorld,TheHumanWorldforKids,128,UA,2019-04-14
com.hammerfall.regicide,"Warhammer40,000:Regicide",129,UA,2019-04-14
com.tsumanga.butterflix,Winx:ButterflixAdventures,130,UA,2019-04-14
com.khg.doorkickers,ドアキッカー,131,UA,2019-04-14
uk.co.aifactory.chess,Chess-チェス,132,UA,2019-04-14
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,133,UA,2019-04-14
com.devolver.reignsGot,Reigns:GameofThrones,134,UA,2019-04-14
com.codemasters.f12016,F12016,135,UA,2019-04-14
com.malkar.mathSimpleGame,MathSignGame,136,UA,2019-04-14
com.svv.kh2,KingsHero2:TurnBasedRPG,137,UA,2019-04-14
com.MarsusProject,Marsus:SurvivalonMars,138,UA,2019-04-14
com.hforsyth.galaxytrader,GalaxyTrader,139,UA,2019-04-14
com.shmup.galaxywarrior.paid,GalaxyWarriorClassic,140,UA,2019-04-14
mytown.street,MyTown:ストリートで遊ぶ,141,UA,2019-04-14
com.dingogames.tastyplanet1,TastyPlanet,142,UA,2019-04-14
com.armorgames.thebigjourney.android,TheBigJourney,143,UA,2019-04-14
com.dbSoftware.siepro,SurvivalIsland:EVOPRO–Survivorbuildinghome,144,UA,2019-04-14
com.peppapig.sportsday,PeppaPig:SportsDay,145,UA,2019-04-14
mytown.spa,MyTown:BeautySpaSaloonスパ,146,UA,2019-04-14
com.noodlecake.chameleonrun,ChameleonRun,147,UA,2019-04-14
com.fivebn.nym2.full,ニューヨーク・ミステリーズ2：ハイ・ボルテー,148,UA,2019-04-14
com.agaming.mentalhospital3,MentalHospitalIIIHD,149,UA,2019-04-14
com.quantized.volt,Volt,150,UA,2019-04-14
com.bowengames.farmingusa,FarmingUSA,151,UA,2019-04-14
com.fantasyflightgames.ESAndroid,ElderSign:Omens,152,UA,2019-04-14
com.rawfury.longhathouse.Dandara,Dandara,153,UA,2019-04-14
com.drycactus.polybridge,PolyBridge,154,UA,2019-04-14
mycity.newbornbaby,MyCity:Newbornbaby,155,UA,2019-04-14
com.AB.RCDZILPE,RussianCarDriverZIL130Premium,156,UA,2019-04-14
com.ninetailgames.roguehearts.paid,ローグハーツ,157,UA,2019-04-14
com.e1cog.spacerangersquest,SpaceRangers:Quest,158,UA,2019-04-14
nl.noio.kingdom,Kingdom:NewLands,159,UA,2019-04-14
com.worms4.app,Worms4,160,UA,2019-04-14
com.mageeks.android.trucksim18,TruckSimulatorPROEurope,161,UA,2019-04-14
com.mvasiliy.dragracing3d,DragRacing3D,162,UA,2019-04-14
com.pastagames.ro1mobile,レイマンジャングルラン,163,UA,2019-04-14
com.roasterygames.smartphonetycoonnew,SmartphoneTycoon,164,UA,2019-04-14
com.nomadgames.everybodyrpgpay,みんなのアルピジ,165,UA,2019-04-14
com.squareenixmontreal.deusexgo,DeusExGO,166,UA,2019-04-14
ru.buka.petka,RedComrades,167,UA,2019-04-14
com.candyrufusgames.survivalcraft,Survivalcraft,168,UA,2019-04-14
joybits.doodlegod,DoodleGod™,169,UA,2019-04-14
com.codebrewgames.pocketcitygame,PocketCity,170,UA,2019-04-14
com.Makhmutov.Timeflow,Timeflow:Время-Деньги,171,UA,2019-04-14
com.atypicalgames.radiationisland,RadiationIsland,172,UA,2019-04-14
com.AlphaGroup.AGSubSim,AGSubwaySimulatorMobile,173,UA,2019-04-14
com.imult.bebebears,Be-be-bears,174,UA,2019-04-14
ru.buka.petka2jd,RedComrades2,175,UA,2019-04-14
com.lonewolfgames.blackthorncastle,ブラックソーン城の謎,176,UA,2019-04-14
com.wb.lego.tcs,LEGO®StarWars™:TCS,177,UA,2019-04-14
com.FireproofStudios.TheRoom2,TheRoomTwo,178,UA,2019-04-14
com.daysofwonder.smallworld2,SmallWorld2,179,UA,2019-04-14
com.squareenixmontreal.hitmango,HitmanGO,180,UA,2019-04-14
com.jdroid.gtavccheater,JCheater:ViceCityEdition,181,UA,2019-04-14
pl.idreams.pottery,Let'sCreate!Pottery,182,UA,2019-04-14
brownmonster.app.game.rushrally3,RushRally3,183,UA,2019-04-14
com.nekki.vector.paid,VectorFull,184,UA,2019-04-14
com.TheLonelyDeveloper.TheLonelyHacker,孤独なハッカー,185,UA,2019-04-14
com.asmodeedigital.carcassonne,Carcassonne:OfficialBoardGame-Tiles&Tactics,186,UA,2019-04-14
com.AranGames.BadNeighbor,BadNeighbor,187,UA,2019-04-14
mytown.school,MyTown:School-スクール,188,UA,2019-04-14
com.alawar.FF3AmericanPie,FarmFrenzy3アメリカンドリーム.Funnyfarminggame,189,UA,2019-04-14
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,190,UA,2019-04-14
com.rayark.cytus2,CytusII(サイタスⅡ),191,UA,2019-04-14
com.inocoplus.victory,CodexofVictory,192,UA,2019-04-14
mytown.cinema,MyTown:Cinemaシネマ,193,UA,2019-04-14
net.cleverbit.SaveAnimalsFull,УчисьЧитать(полнаяверсия),194,UA,2019-04-14
com.rockstargames.gtactw,GTA:ChinatownWars,195,UA,2019-04-14
age.of.civilizations.europe.jakowski,エイジ・オブ・シヴィライゼーション-Europe,196,UA,2019-04-14
com.headupgames.bridgeconstructormedieval,BridgeConstructorMedieval,197,UA,2019-04-14
com.square_enix.android_googleplay.finalfantasy,FINALFANTASY,198,UA,2019-04-14
air.com.sarahnorthway.rebuild2,Rebuild,199,UA,2019-04-14
com.pixelstar.PixelFBladeVIP,PIXELBLADEVip(ピクセルブレード),200,UA,2019-04-14
com.darkarrow.stickfighter.saiyan.vip,StickShadow:WarFight,201,UA,2019-04-14
com.glutenfreegames.ultimateoceansimulator,UltimateOceanSimulator,202,UA,2019-04-14
com.coffeestainstudios.goatsimulator.goatz,GoatSimulatorGoatZ,203,UA,2019-04-14
com.worms3.app,Worms3,204,UA,2019-04-14
com.AlexeyRoenko.DE,DungeonEscape,205,UA,2019-04-14
com.playsportgames.mmm3,MotorsportManagerMobile3,206,UA,2019-04-14
mytown.airport,MyTown:空港,207,UA,2019-04-14
com.birdshel.Uciana,Uciana,208,UA,2019-04-14
yio.tro.achikaps_pro,AchikapsPro,209,UA,2019-04-14
com.foxandsheep.animaldoctor,LittleFoxAnimalDoctor,210,UA,2019-04-14
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:(Dreamsky)StickmanWarZ-ゾンビ,211,UA,2019-04-14
com.KillmondayGames.FranBowCh3,FranBowChapter3,212,UA,2019-04-14
com.elevenbitstudios.twommobile,ThisWarofMine,213,UA,2019-04-14
ilmfinity.evocreo.main.android,EvoCreo,214,UA,2019-04-14
com.rac7.DarkEcho,DarkEcho,215,UA,2019-04-14
com.SoftGamesInc.DaysSurvivalForest,7DaysSurvival:Forest,216,UA,2019-04-14
com.agaming.hospital,MentalHospital:EasternBloc,217,UA,2019-04-14
com.flukedude.impossiblegamelevelpack,インポッシブルゲームレベルパック,218,UA,2019-04-14
com.hg.titp,ThisIsthePolice,219,UA,2019-04-14
net.cleverbit.PuzzlesForKidsFull,"FunnyAnimalPuzzlesforKids,fullgame",220,UA,2019-04-14
com.glutenfreegames.ultimatebirdsimulator,UltimateBirdSimulator,221,UA,2019-04-14
com.tellurionmobile.aliencraftpro,AlienCraftPro,222,UA,2019-04-14
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,223,UA,2019-04-14
ua.com.tlftgames.waymc,"WhoAreYou,Mr.Cooper?",224,UA,2019-04-14
com.mtvn.shimmerandshineios,PlaytimewithShimmer&Shine,225,UA,2019-04-14
