app_id,app_name,rank,country_code,date
com.igg.android.lordsmobile,ロードモバイル,1,UA,2018-07-19
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,2,UA,2018-07-19
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,3,UA,2018-07-19
com.google.android.apps.docs,Googleドライブ,4,UA,2018-07-19
com.igg.castleclash_ru,CastleClash:ПутьХрабрых,5,UA,2018-07-19
com.ea.gp.fifamobile,FIFAサッカー:FIFAワールドカップ,6,UA,2018-07-19
us.kick9.k3000000013.c3101000001,SoulHunters,7,UA,2018-07-19
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,8,UA,2018-07-19
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),9,UA,2018-07-19
ru.ok.android,Одноклассники–социальнаясеть,10,UA,2018-07-19
com.hcg.cok.gp,クラッシュオブキングス:TheKingOfFightersスペシャルバージョン,11,UA,2018-07-19
com.netmarble.lin2ws,Lineage2:Revolution,12,UA,2018-07-19
com.roblox.client,ROBLOX,13,UA,2018-07-19
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,14,UA,2018-07-19
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),15,UA,2018-07-19
com.pixonic.wwr,WarRobots,16,UA,2018-07-19
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),17,UA,2018-07-19
com.stgl.global,ウォー・アンド・マジック「WarandMagic」,18,UA,2018-07-19
com.foxnextgames.m3,MARVELストライクフォース,19,UA,2018-07-19
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,20,UA,2018-07-19
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),21,UA,2018-07-19
com.gta.nslm2,LeagueofAngels-ParadiseLand,22,UA,2018-07-19
com.gtarcade.lod,LegacyofDiscord-FuriousWings,23,UA,2018-07-19
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),24,UA,2018-07-19
com.socialquantum.pokerjet,PokerJet:テキサス・ホールデム＆オマハ,25,UA,2018-07-19
com.heroesofchaos.ggplay.koramgame.ru,Goddess:PrimalChaos-enFree3DActionMMORPG,26,UA,2018-07-19
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,27,UA,2018-07-19
com.fridaysgames.godsandglory,ゴッドアンドグローリー:王座をかけた戦い,28,UA,2018-07-19
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),29,UA,2018-07-19
com.melesta.coffeeshop,マイカフェ：レシピ＆ストーリー。レストラン経営ゲーム,30,UA,2018-07-19
com.selfawaregames.acecasino,BigFishCasino：本場ラスベガスのカジノ＆スロットマシンをプレイ,31,UA,2018-07-19
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),32,UA,2018-07-19
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),33,UA,2018-07-19
com.tinder,Tinder,34,UA,2018-07-19
