app_id,app_name,rank,country_code,date
com.robtopx.geometrydashsubzero,GeometryDashSubZero,1,UA,2017-12-30
com.dts.freefireth,FreeFire-Battlegrounds,2,UA,2017-12-30
com.BeatenPixel.stickman_backflip_killer_4,StickmanBackflipKiller4,3,UA,2017-12-30
com.StartCraft.NewExploration,StartCraft:Exploration2,4,UA,2017-12-30
com.inapp.instar.number.coloring.sandbox.game,"inStar-NumberColoring2018,ColorbyNumber",5,UA,2017-12-30
com.picfun.voxelcoloring,Voxel-3Dピクセル塗り絵,6,UA,2017-12-30
com.crazylabs.sausage.run,走れ、ソーセージ、走れ！,7,UA,2017-12-30
io.voodoo.firedup,FireUp!,8,UA,2017-12-30
com.mobgames3d.trolleybussim2018gp,TrolleybusSimulator2018,9,UA,2017-12-30
com.craftingLike.Bevzy,LikeCraftHDAdventures,10,UA,2017-12-30
com.noweek.chepuha,Чепуха,11,UA,2017-12-30
com.stickman.destruction.annihilation3,StickmanDestruction3Annihilation,12,UA,2017-12-30
com.DollLolSurpriseSimulator,DollLolSurpriseSimulator,13,UA,2017-12-30
com.superMonkeyApps.hammerMan,HammerMan:getoverthis,14,UA,2017-12-30
com.warz.law.of.survival,WarZ:LawofSurvival,15,UA,2017-12-30
com.taptics.marmokIdle,Marmok'sTeamMonsterCrush,16,UA,2017-12-30
air.ssem,Stickmanjailbreak7,17,UA,2017-12-30
com.diamondgames.caraccidentengine,AccidentCarCrashEngine-BeamNext,18,UA,2017-12-30
com.FamilyCraft.Creativity.Eplore,FamilyCraft:Creativity,19,UA,2017-12-30
com.tiramisu.driftmax2,DriftMaxPro-CarDriftingGame,20,UA,2017-12-30
com.squad.critical.snipercounter,CriticalSniperCounter,21,UA,2017-12-30
com.shadowbattle.fight.fightinggames,ShadowWarrior:HeroKingdomFight,22,UA,2017-12-30
com.play0.subwaysur,GuideforSubwaySurf,23,UA,2017-12-30
air.FleeingtheComplex,FleeingtheComplex,24,UA,2017-12-30
games.fatlion.minecraft.barbie.makeup.games.girls.dress.up.crafting.building.sery.runway.covet.fashion.mcpe.sandbox.dollhouse,ドレスアップクラフト：ファッションデザインゲーム女の子向け,25,UA,2017-12-30
com.FixCraft.MineExploration,TurboFixCraftAdventure,26,UA,2017-12-30
com.call.sniper.finalal.war.doing,CallOfSniperFinalWar,27,UA,2017-12-30
com.ns.dome.of.doom,DomeofDoom,28,UA,2017-12-30
com.weplaystudio.superheroes.buggy.carstunts3d,SuperheroesBuggyCarStunts3d,29,UA,2017-12-30
com.thetagames.stickfight,StickGame:TheFight,30,UA,2017-12-30
com.Love.Story.Games.Romance.Choice,ラブストーリーゲーム-タイムトラベルのロマンス,31,UA,2017-12-30
com.Wizard.Love.Story,恋愛ゲームアプリ-ウィザード,32,UA,2017-12-30
com.playside.dwtd3,DumbWaysToDie3:WorldTour,33,UA,2017-12-30
com.vital.town,バイタルタウン,34,UA,2017-12-30
