app_id,app_name,rank,country_code,date
com.aspireux.iconpack,AspireUxS8-IconPack,1,UA,2017-04-27
com.eatos.uxux,DeluxUX-S8IconPack,2,UA,2017-04-27
com.ultralabapps.uwpro,UltraWeatherPro:Forecast&Map,3,UA,2017-04-27
com.tocaboca.tocahospital,TocaLife:Hospital,4,UA,2017-04-27
com.leomaz.ux.experience,UXExperienceS8-IconPack,5,UA,2017-04-27
com.turfu.matchd,Matchd,6,UA,2017-04-27
com.digidiced.txmrelease,TerraMystica,7,UA,2017-04-27
com.biemore.android.FantasyJungle,ファンタジージャングル,8,UA,2017-04-27
air.com.noodlecake.luminocity,LuminoCity,9,UA,2017-04-27
com.drageniix_m.raspberrypop,RaspberryPOP!NFC/QRStreaming,10,UA,2017-04-27
com.telltalegames.guardians100,GuardiansoftheGalaxyTTG,11,UA,2017-04-27
com.herocraft.game.tempest,Tempest:PirateActionRPG,12,UA,2017-04-27
net.kairosoft.android.ski_en,ShinySkiResort,13,UA,2017-04-27
com.andigames.dot2pro,DirtOnTires2:Village,14,UA,2017-04-27
com.kassanity.dashysquare,DashySquare,15,UA,2017-04-27
com.aneeshpradeep.amoledwallpaperspro,SuperAMOLEDWallpapersPRO,16,UA,2017-04-27
com.noodlecake.invert,Invert-AMinimalPuzzleGame,17,UA,2017-04-27
com.beamdog.pstee,Planescape:TormentEE,18,UA,2017-04-27
com.WhiteElkLLC.EclipseEdgeOfLight,Eclipse:EdgeofLight,19,UA,2017-04-27
com.sikebo.amoled.funkong.icons,FUNKONGICONPACK,20,UA,2017-04-27
com.sagosago.Town.googleplay,サゴミニタウン,21,UA,2017-04-27
smartwatchstudios.app.gears3navigation,GearS2/S3Navigation,22,UA,2017-04-27
uk.co.citb.imagitech.gt100.android.vy17.plus,CITBop/specHS&Etest2017,23,UA,2017-04-27
com.thegosa.blackwhitefree,White&Black|Xperia™Theme,24,UA,2017-04-27
com.phonestories,PhoneStories:L'infiltré,25,UA,2017-04-27
com.bigfishgames.cspgoogfull,Chimeras:Prophecy(Full),26,UA,2017-04-27
com.gameguides.persona5guidepro,GuideforPersona5Pro,27,UA,2017-04-27
