app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,UA,2018-04-11
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,2,UA,2018-04-11
com.fbreader,FBReaderPremium–BookReader,3,UA,2018-04-11
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),4,UA,2018-04-11
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,5,UA,2018-04-11
com.gm_shaber.dayrpremium,DayRPremium,6,UA,2018-04-11
com.andromeda.truefishing.full,РеальнаяРыбалка(ключ),7,UA,2018-04-11
com.lightricks.facetune,Facetune,8,UA,2018-04-11
org.prowl.torque,TorquePro(OBD2/Car),9,UA,2018-04-11
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,10,UA,2018-04-11
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,11,UA,2018-04-11
com.tasmanic.camtoplan,CamToPlan,12,UA,2018-04-11
com.axidep.polyglotfull,Полиглот.Английскийязык,13,UA,2018-04-11
com.agaming.thesun.origin,TheSun:Origin,14,UA,2018-04-11
amanita_design.samorost3.GP,Samorost3(サモロスト3),15,UA,2018-04-11
com.khg.doorkickers,DoorKickers,16,UA,2018-04-11
com.teamspeak.ts3client,TeamSpeak3,17,UA,2018-04-11
com.giantssoftware.fs18.google,FarmingSimulator18,18,UA,2018-04-11
com.utorrent.client.pro,µTorrent®Pro-TorrentApp,19,UA,2018-04-11
com.notdoppler.earntodie,EarntoDie,20,UA,2018-04-11
com.mxtech.videoplayer.pro,MXPlayerPro,21,UA,2018-04-11
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,22,UA,2018-04-11
com.robtopx.geometryjump,GeometryDash,23,UA,2018-04-11
com.vinwap.parallaxwallpaper,3DParallaxBackground,24,UA,2018-04-11
com.FireproofStudios.TheRoom,TheRoom,25,UA,2018-04-11
com.binibambini.Mini,子供のための絵画練習”線をなぞりましょう！,26,UA,2018-04-11
com.and.games505.TerrariaPaid,Terraria.,27,UA,2018-04-11
com.tocaboca.tocaafterschool,TocaLife:AfterSchool,28,UA,2018-04-11
com.teslacoilsw.launcher.prime,NovaLauncherPrime,29,UA,2018-04-11
me.dreamsky.lostjourney2,時空の旅(Dreamsky),30,UA,2018-04-11
ru.iptvremote.android.iptv.pro,IPTVPro,31,UA,2018-04-11
com.nll.acr.license,ACRライセンス,32,UA,2018-04-11
com.ninetailgames.roguehearts.paid,RogueHearts,33,UA,2018-04-11
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,34,UA,2018-04-11
com.pnn.obdcardoctor_full,OBDCarDoctorPRO|ELM327OBD2,35,UA,2018-04-11
ch.threema.app,Threema,36,UA,2018-04-11
com.limbic.ac130,ZombieGunship,37,UA,2018-04-11
pro.sitebuy.courtmeeting.plus,Судовізасіданнятареєстр,38,UA,2018-04-11
com.realdrift.sipon,RealDriftCarRacing,39,UA,2018-04-11
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,40,UA,2018-04-11
com.pixelcurves.tlauncher,TLBeta,41,UA,2018-04-11
com.kodarkooperativet.blackplayerex,BlackPlayerEX,42,UA,2018-04-11
yo.app,YoWindow天候,43,UA,2018-04-11
me.dreamsky.stickman,LeagueofStickman2018-NinjaArenaPVP(Dreamsky),44,UA,2018-04-11
com.hg.townsmen7,TownsmenPremium,45,UA,2018-04-11
eu.thedarken.sdm.unlocker,SDメイドPro-ライセンスキー,46,UA,2018-04-11
air.com.exicon.dp01,Денежныйпоток101,47,UA,2018-04-11
cc.peacedeath.peacedeath,"Peace,Death!",48,UA,2018-04-11
com.oasisfeng.greenify.pro,Greenify(DonationPackage),49,UA,2018-04-11
com.vinwap.glitterwallpaper,Glitzy-RealGlitterLiveWallpaper,50,UA,2018-04-11
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,51,UA,2018-04-11
com.estrongs.android.pop.pro,ESFileExplorer/ManagerPRO,52,UA,2018-04-11
com.ablex.patrulplus,Патруль+,53,UA,2018-04-11
com.hammerfall.regicide,"Warhammer40,000:Regicide",54,UA,2018-04-11
