app_id,app_name,rank,country_code,date
com.tencent.ig,PUBGMobile,1,UK,2018-03-23
com.contextlogic.wish,Wish-楽しいショッピング,2,UK,2018-03-23
com.sportsdirect.sdapp,SportsDirect,3,UK,2018-03-23
com.h8games.helixjump,HelixJump,4,UK,2018-03-23
com.ea.gp.simsmobile,TheSims™Mobile,5,UK,2018-03-23
com.fillword.cross.wordmind.en,WordCrossy-Acrosswordgame,6,UK,2018-03-23
com.facebook.orca,Messenger,7,UK,2018-03-23
com.spotify.music,Spotify-世界最大の音楽ストリーミングサービス,8,UK,2018-03-23
com.itchmedia.ta3,BaseballBoy!,9,UK,2018-03-23
com.groupon,Groupon（グルーポン)毎日見たくなる、お得なクーポンアプリ,10,UK,2018-03-23
com.bitstrips.imoji,Bitmoji-アバター絵文字,11,UK,2018-03-23
com.whatsapp,WhatsAppMessenger,12,UK,2018-03-23
com.nintendo.zara,SuperMarioRun,13,UK,2018-03-23
com.bdj.vortexDroid,RollyVortex,14,UK,2018-03-23
com.netflix.mediaclient,Netflix,15,UK,2018-03-23
com.microsoft.office.outlook,MicrosoftOutlook,16,UK,2018-03-23
com.instagram.android,Instagram,17,UK,2018-03-23
com.shpock.android,ShpockBootSale&ClassifiedsApp.Buy&Sell,18,UK,2018-03-23
com.alibaba.aliexpresshd,AliExpressShoppingApp-CouponsForNewUser,19,UK,2018-03-23
com.amazon.mShop.android.shopping,Amazonショッピングアプリ,20,UK,2018-03-23
com.ss.android.article.topbuzzvideo.en,"BuzzVideo-ViralVideos,FunnyGIFs&TVshows",21,UK,2018-03-23
com.snapchat.android,Snapchat,22,UK,2018-03-23
com.ebay.mobile,"eBay-Buy,Sell&SaveMoneywithDiscountDeals",23,UK,2018-03-23
com.amazon.avod.thirdpartyclient,Amazonプライム・ビデオ,24,UK,2018-03-23
com.brainbow.peak.app,PEAK（ピーク）-脳トレ,25,UK,2018-03-23
com.fingersoft.hcr2,HillClimbRacing2,26,UK,2018-03-23
com.europosit.pixelcoloring,PixelArt-数字で塗り絵スケッチブック,27,UK,2018-03-23
com.google.android.play.games,GooglePlayゲーム,28,UK,2018-03-23
com.dvloper.granny,Granny,29,UK,2018-03-23
com.booking,ホテル予約のブッキングドットコム,30,UK,2018-03-23
com.immobilegames.skidstorm,SkidStorm-スキッドストーム,31,UK,2018-03-23
com.zhiliaoapp.musically,musical.ly,32,UK,2018-03-23
com.ConstantPouliquen.Keeper,Keeper,33,UK,2018-03-23
com.hutchison3g.wuntu,Wuntu,34,UK,2018-03-23
com.firsttouchgames.smp,Score!Match,35,UK,2018-03-23
net.peakgames.toonblast,ToonBlast,36,UK,2018-03-23
com.teachers2parents.teachers2parents,Teachers2Parents,37,UK,2018-03-23
com.ketchapp.knifehit,KnifeHit,38,UK,2018-03-23
com.thetrainline,Trainline-UKTimes&Tickets,39,UK,2018-03-23
com.gramgames.toppletap,Six!,40,UK,2018-03-23
uk.co.theofficialnationallotteryapp.android.play,"TheNationalLottery-Lotto,EuroMillions&more",41,UK,2018-03-23
com.playdemic.golf.android,ゴルフクラッシュ,42,UK,2018-03-23
bbc.iplayer.android,BBCiPlayer,43,UK,2018-03-23
com.ubercab,Uber,44,UK,2018-03-23
com.hutchison3g.planet3,Three,45,UK,2018-03-23
com.twitter.android,Twitter,46,UK,2018-03-23
com.pinterest,Pinterest（ピンタレスト）,47,UK,2018-03-23
com.joom,Joom,48,UK,2018-03-23
com.voodoo.idleflipper,IdleFlipper,49,UK,2018-03-23
com.crazylabs.sausage.run,走れ、ソーセージ、走れ！,50,UK,2018-03-23
com.playrix.homescapes,ホームスケイプ(Homescapes),51,UK,2018-03-23
air.ITVMobilePlayer,ITVHub,52,UK,2018-03-23
sixpack.sixpackabs.absworkout,30日でシックスパック-腹筋ワークアウト,53,UK,2018-03-23
com.gumtree.android,Gumtree:Buy&SellLocaldeals.FindJobs&More,54,UK,2018-03-23
com.PupInteractive.TwistyRoad,曲がりくねった道！,55,UK,2018-03-23
com.roblox.client,ROBLOX,56,UK,2018-03-23
com.pnixgames.minigolfking,MiniGolfKing-マルチプレイヤーゲーム,57,UK,2018-03-23
com.facebook.katana,Facebook,58,UK,2018-03-23
com.kiloo.subwaysurf,SubwaySurfers,59,UK,2018-03-23
com.justeat.app.uk,JustEat-Takeawaydelivery,60,UK,2018-03-23
com.alegrium.cong2,"Cash,Inc.Fame&FortuneGame",61,UK,2018-03-23
com.dts.freefireth,FreeFire-Battlegrounds,62,UK,2018-03-23
com.planetart.fpuk,FreePrints-FreePhotosDelivered,63,UK,2018-03-23
com.king.candycrushsaga,キャンディークラッシュ,64,UK,2018-03-23
com.google.android.apps.translate,Google翻訳,65,UK,2018-03-23
com.channel4.ondemand,All4,66,UK,2018-03-23
