app_id,app_name,rank,country_code,date
com.wordgame.words.connect,WordConnect,1,UK,2017-08-16
com.bentostudio.ballsvsblocks,SnakeVSBlock,2,UK,2017-08-16
com.tencent.warwings2,WarWings,3,UK,2017-08-16
com.bitmango.go.wordcookies,WordCookies,4,UK,2017-08-16
com.kooapps.pictowordandroid,Pictoword:WordGuessingGames&FunWordTrivia!,5,UK,2017-08-16
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),6,UK,2017-08-16
com.roblox.client,ROBLOX,7,UK,2017-08-16
com.peoplefun.wordcross,Wordscapes,8,UK,2017-08-16
com.kiloo.subwaysurf,SubwaySurfers,9,UK,2017-08-16
com.nintendo.zara,SuperMarioRun,10,UK,2017-08-16
com.miniclip.eightballpool,8BallPool,11,UK,2017-08-16
com.wordgame.words.cross,WordBlocks,12,UK,2017-08-16
com.BeresnevGames.Knife,FlippyKnife,13,UK,2017-08-16
com.cmplay.tiles2,ピアノタイル2™,14,UK,2017-08-16
air.com.hypah.io.slither,slither.io,15,UK,2017-08-16
com.ketchapp.spacefrontier,SpaceFrontier,16,UK,2017-08-16
com.playdemic.golf.android,ゴルフクラッシュ,17,UK,2017-08-16
com.bigduckgames.flowwarps,FlowFree:Warps,18,UK,2017-08-16
com.yoc.dreamteam,DreamTeam-FantasyFootball,19,UK,2017-08-16
com.ketchapp.rider,Rider,20,UK,2017-08-16
com.pixelberrystudios.choices,Choices:StoriesYouPlay,21,UK,2017-08-16
com.nexonm.tfa,Titanfall:Assault,22,UK,2017-08-16
com.kongregate.mobile.adventurecapitalist.google,AdVentureCapitalist,23,UK,2017-08-16
com.sega.sonic1px,SonictheHedgehog™,24,UK,2017-08-16
fr.two4tea.fightlist,FightList,25,UK,2017-08-16
com.boombitgames.DrivingSchoolParking,CarDrivingSchoolSimulator,26,UK,2017-08-16
com.nianticlabs.pokemongo,PokémonGO,27,UK,2017-08-16
zombie.survival.craft.z,LastDayonEarth:Survival,28,UK,2017-08-16
com.youmusic.magictiles,MagicTiles3,29,UK,2017-08-16
com.perblue.portalquest,PortalQuest,30,UK,2017-08-16
com.king.candycrushsaga,キャンディークラッシュ,31,UK,2017-08-16
com.ketchapp.thefloorislava,TheFloorIsLava,32,UK,2017-08-16
com.pnixgames.bowlingking,BowlingKing,33,UK,2017-08-16
