app_id,app_name,rank,country_code,date
com.robtopx.geometrydashsubzero,GeometryDashSubZero,1,UK,2018-01-19
com.GabrielLimberger.StickmanParkourPlatform,StickmanParkourPlatform,2,UK,2018-01-19
io.voodoo.goplane1,GoPlane,3,UK,2018-01-19
com.ketchapp.fingerdriver,FingerDriver,4,UK,2018-01-19
io.voodoo.firedup,FireUp!,5,UK,2018-01-19
com.sportsgame.boxingfight.realfist,BoxingFight-RealFist,6,UK,2018-01-19
com.streetchasing.speedracing.freesportscargames,StreetChasingSpeedRacing,7,UK,2018-01-19
mobi.gameguru.racingfevermoto,RacingFever:Moto,8,UK,2018-01-19
com.byv.chopit,ChopIt,9,UK,2018-01-19
com.ketchapp.ballsrace,BallsRace,10,UK,2018-01-19
com.counterstrike.sniper.freeshootinggame,CounterStrikeTerroristShooting,11,UK,2018-01-19
com.sega.mobius,SEGASlots,12,UK,2018-01-19
com.nc.robot.shark,RobotShark,13,UK,2018-01-19
com.playside.dwtd3,DumbWaysToDie3:WorldTour,14,UK,2018-01-19
com.umi.fortunes,FamilyFortunes®,15,UK,2018-01-19
com.tutotoons.app.animalhairsalonaustralia.free,AnimalHairSalonAustralia-FunnyPetHaircuts,16,UK,2018-01-19
com.playwithgames.MultilevelParking7,MultiLevel7CarParkingSimulator,17,UK,2018-01-19
com.tutotoons.app.prettylittleprincess.free,"PrettyLittlePrincess-DressUp,Hair&Makeup",18,UK,2018-01-19
com.etap.twisty.road,TwistyRoad-Rushrollingball,19,UK,2018-01-19
com.ketchapp.fit,Fit,20,UK,2018-01-19
net.studioadept.sneakerclicker,靴の試合スニーカーを集める,21,UK,2018-01-19
com.gu.supermarket.robbery.crime.city.gangster.game,スーパーマーケット強盗犯罪怒っているシティロシアマフィア,22,UK,2018-01-19
com.pianogame.descendants2pianotiles,Descendants2PianoGame,23,UK,2018-01-19
com.LOLPetsandDollsSurprise,L.O.L.PetsandDollsSurprise,24,UK,2018-01-19
com.sgs.emhq.android,EMERGENCYHQ,25,UK,2018-01-19
com.ketchapp.dunkhoop,DunkHoop,26,UK,2018-01-19
bubble.shooter.pop,BubbleShooterPop,27,UK,2018-01-19
com.TwoNerds.ToysAndMe,ToysAndMe-BubblePop,28,UK,2018-01-19
com.ayopagames.logicdots2android,LogicDots2,29,UK,2018-01-19
com.PrimeCraft.BuildingWorld,PrimeCraftExplorationHD,30,UK,2018-01-19
com.amazingtour.masterrun,RunMonsterRun!,31,UK,2018-01-19
com.spilgames.SaraCookingParty,Sara'sCookingParty,32,UK,2018-01-19
com.battlecreek.offroadoutlaws,OffroadOutlaws,33,UK,2018-01-19
net.appmaga.pixelfarm,作ろう！ミニチュア牧場,34,UK,2018-01-19
com.billiardgame.poolnight,PoolNight,35,UK,2018-01-19
com.murka.ngws,NatGeoWILDSlots：新しいホットのスロットマシンで遊ぶ,36,UK,2018-01-19
com.miniworld.wordchef,MiniWorld-WordChef,37,UK,2018-01-19
com.oonezero.animal.battlesimulator,AnimalKingdomBattleSimulator3D,38,UK,2018-01-19
com.dts.bank.robbery.battle.royale,銀行強盗ギャングスター部隊：都市戦ロイヤル,39,UK,2018-01-19
com.neverstoprunning.gp.game.endlessrun,NeverStopRunning,40,UK,2018-01-19
com.mtsfreegames.impossiblemegaramp,ImpossibleMegaRamp3D,41,UK,2018-01-19
com.DNSstudio.TrenchesOfEurope2,TrenchesofEurope2,42,UK,2018-01-19
fnaf2.stickman.warriors,StickmanWarriorsZombieFnaf,43,UK,2018-01-19
com.mightykingdom.shopkinscutiecars,Shopkins:CutieCars,44,UK,2018-01-19
com.sausagerun.juicycrazylabs2,SausageRun2,45,UK,2018-01-19
com.sportsgame.worldcup.fifa.stickmansoccer,WorldCup-StickmanFootball,46,UK,2018-01-19
com.yuqian.hens,HappyMissChicken,47,UK,2018-01-19
com.PupInteractive.TwistyRoad,曲がりくねった道！,48,UK,2018-01-19
com.haikugamesco.escape15,AdventureEscape:MurderInn,49,UK,2018-01-19
com.toptap.virtual.happyfamily,VirtualHappyFamily2018,50,UK,2018-01-19
com.twotwentygames.security.wall.borderwall.construction.builder.simulator,SecurityWallConstructionGame,51,UK,2018-01-19
com.subwayspiderrun.adventureworld,SubwaySpider-RunAdventureWorld,52,UK,2018-01-19
com.sinyee.babybus.taxi,パンダの幼稚園バス-BabyBus子ども・幼児向け,53,UK,2018-01-19
com.camelgames.throne,TitanThrone,54,UK,2018-01-19
namotobi.comclud47m.vergina,HappyWheels,55,UK,2018-01-19
air.com.game.whiskeybarrelstudios.swordsandsandals5redux,SwordsandSandals5Redux,56,UK,2018-01-19
net.wargaming.wows.blitz,WorldofWarshipsBlitz,57,UK,2018-01-19
com.lolsurprise.eggelol,LOLopensurpriseDolls,58,UK,2018-01-19
com.psvnMaB.Goodnight,マシャとクマ：おやすみ！,59,UK,2018-01-19
com.swastikgreenit.mosaichexpuzzle2,MosaicHexPuzzle2,60,UK,2018-01-19
com.kick.police.eagle.robot.transform.game,米国の警察はロボット車の警官のイーグルゲームを変形する,61,UK,2018-01-19
com.mystylinglounge.android_mybreakupstory,MyBreakupStory-InteractiveStoryGame,62,UK,2018-01-19
com.reststudio.driftcity.trafficracing,DriftCarCityTrafficRacing,63,UK,2018-01-19
com.imayi.dinodigger3free,DinosaurDigger3Free,64,UK,2018-01-19
com.rps.bloodtest.injection,血液テスト注入シミュレータ医師,65,UK,2018-01-19
com.LOLPetsEggsSurpriseDolls,LOLPets:EggsSurpriseDolls,66,UK,2018-01-19
com.playwithgames.ExpoParking,ShoppingMallCar&TruckParking,67,UK,2018-01-19
com.samfsamf.actiongmsWorld,FortniteWorldBattls,68,UK,2018-01-19
com.gta.desert.battleground,DesertBattleground,69,UK,2018-01-19
com.yx.sniperkiller,エリートスナイパー3D-SniperShot,70,UK,2018-01-19
se.hellothere.skilltwinsfootballgame2,SkillTwinsFootballGame2,71,UK,2018-01-19
com.clip.gehmop,HelloEvilNeighbor3D,72,UK,2018-01-19
com.SwingCopter.Deam147,GD:FloatingBall2.2(Fan-Game),73,UK,2018-01-19
com.umoegame.pianotiles,音楽ピアノ タイル 2,74,UK,2018-01-19
com.rules.aliverules.firegames,AliveRules:FireOn,75,UK,2018-01-19
een.maxi_explore.craft.lite,ExplorationStart2017,76,UK,2018-01-19
com.tapclap.jam,RaspberryJam,77,UK,2018-01-19
com.nicedonegames.extremecarsimulator2018,ExtremeCarSimulator2018,78,UK,2018-01-19
com.ketchapp.rollercoaster,RollerCoaster,79,UK,2018-01-19
io.torcia.idletraveler,IdleTraveler,80,UK,2018-01-19
io.superjuegosgratisonline,FriiJuegosGratisOnline,81,UK,2018-01-19
ch.sunnysidegames.thefirm,TheFirm,82,UK,2018-01-19
com.gta.GrandMafiaCrime.San_Andreas,Gr‍andVegasMaf‍iaCri‍me:SanAndr‍eas2,83,UK,2018-01-19
com.ProcessGames.E63AMGSimulator,E63AMGDriftSimulator,84,UK,2018-01-19
com.gmod.dragonherobattle,DragonShadowBattle2Legend:SuperHeroWarriors,85,UK,2018-01-19
namotobi.comclud45m.vergina,HappyWheels,86,UK,2018-01-19
ludo.star.king.newgame,LudoStar2017,87,UK,2018-01-19
com.uiyu01.onatherone02,FreeGarry'sModGmod,88,UK,2018-01-19
com.ultimateAssassin.bloodlinesCreed,UltimateAssassin:BloodlinesCreed,89,UK,2018-01-19
pop.match.bubble,BubbleMatchPop,90,UK,2018-01-19
com.funtergames.stillalive,StillAlive:SurvivalPvP,91,UK,2018-01-19
com.techx.PjMasks,CallFromThePjMasks,92,UK,2018-01-19
com.spiel.manvsmissiles,ManVs.Missiles,93,UK,2018-01-19
com.jdigamestudio.brainlinesphysics,BrainonLinevsPhysicsPuzzle,94,UK,2018-01-19
com.playside.drifty,DriftIt!,95,UK,2018-01-19
com.noodlecake.typeshift,Typeshift,96,UK,2018-01-19
com.ga.ng.of.the.best,Gang-BeastsSimulator,97,UK,2018-01-19
com.wpl.familyhomemover.virtualdad,SuperDadHappyFamilyHomeMover,98,UK,2018-01-19
air.DescendantsDressUp,DressUpEvieMal,99,UK,2018-01-19
com.pfg.pregnant.operation,妊娠している操作トリプレット赤ちゃんママお手入れ病院,100,UK,2018-01-19
com.bigtimegames.wrestlingmania,WRESTLINGMANIA:WRESTLINGGAMES&FIGHTING,101,UK,2018-01-19
com.libii.puppystory,MyPuppyFriend-CutePetDogCareGames,102,UK,2018-01-19
com.jellybtn.godzillio,MonsterBlasters,103,UK,2018-01-19
com.trendygames.openworldsim,OpenWorldSIM,104,UK,2018-01-19
com.kidsdoodle.magic.glow.paint,KidsDoodle-ArtPaint&ColorDrawingBook,105,UK,2018-01-19
uk.co.mrspin.reelroyalty,ReelRoyaltybyMrSpin,106,UK,2018-01-19
com.tapot.marioescape,SuperTempleMARlOJungleSurfRun,107,UK,2018-01-19
com.janglrun.yoshirunjump,superYoshijungleworldrun,108,UK,2018-01-19
invaders.os.galaxy.space.shooter.attack.classic,スクアドロン-弾幕シューティング-スター・ウォーズ,109,UK,2018-01-19
com.idbsstudio.polisi,IDBSPolisi,110,UK,2018-01-19
uk.co.mfortune.cashcubed,CashCubedbymFortune,111,UK,2018-01-19
