app_id,app_name,rank,country_code,date
com.astragon.cs3,ConstructionSimulator3,1,UK,2019-04-18
com.playdigious.cultist,CultistSimulator,2,UK,2019-04-18
com.besthorrorgames.horror3dpro,HouseofFear:SurvivingPredatorPRO,3,UK,2019-04-18
com.zigzagame.evertale,エバーテイル,4,UK,2019-04-18
mycity.newbornbaby,MyCity:Newbornbaby,5,UK,2019-04-18
com.eightyeightgames.photographs,フォトグラフ·パズル·ストーリー,6,UK,2019-04-18
brownmonster.app.game.rushrally3,RushRally3,7,UK,2019-04-18
com.bullbitz.bunnydrop2,BunnyDrops2-Matchthreepuzzle,8,UK,2019-04-18
valsar.dungeonwarfare2,ダンジョン・ウォーフェア2,9,UK,2019-04-18
com.amazingfrog,AmazingFrogSimulatorCity,10,UK,2019-04-18
com.zeptolab.ctr2.paid.google,CuttheRope2GOLD(カット・ザ・ロープ2),11,UK,2019-04-18
com.Afterburn.GolfPeaks,ゴルフ・ピークス/GolfPeaks,12,UK,2019-04-18
com.elevenbitstudios.twomstoriesmobile,ThisWarofMine:Stories-Father'sPromise,13,UK,2019-04-18
com.quark.brain.puzzle.perplexed,Perplexed-MathPuzzleGame,14,UK,2019-04-18
com.royalapp.pixelmonpokecraft,PixelmonPokeCraftMCPEMods,15,UK,2019-04-18
com.mlb.RBIBaseball2019,R.B.I.Baseball19,16,UK,2019-04-18
com.eggsandbreadsapp.android,Eggs&BreadEasterEggHunt,17,UK,2019-04-18
com.radiangames.scorcher,Scorcher,18,UK,2019-04-18
com.comedybeasts,GangComedyBeastsSimulator,19,UK,2019-04-18
kemco.hitpoint.legerrior,RPGフォーレジェリア,20,UK,2019-04-18
com.donutgames.superstarchefs,SuperstarChefs,21,UK,2019-04-18
com.adstaboinc.sixshootersaloon,SixShooterSaloon,22,UK,2019-04-18
com.metahobby.hexcross,Hexcross,23,UK,2019-04-18
com.Cosmix.TheElementsGame,TheElementsGame,24,UK,2019-04-18
com.nordigames.nfh.premium,NeighboursfromHell:シーズン1,25,UK,2019-04-18
com.kaouch.spidersolitaire,SpiderSolitaireCardGame,26,UK,2019-04-18
com.braingoodgames.solar,SolarSettlers,27,UK,2019-04-18
com.FourFire.InfiniteSoul,INFINITYSOULS-无尽之魂-超硬核独立手游,28,UK,2019-04-18
com.Inidimman.KidsCrossFull,KidsCrosswords,29,UK,2019-04-18
com.ruffwood.snith,Ruffwood,30,UK,2019-04-18
uk.ace0.mandl.mrcpsychb,MRCPsychLearnB,31,UK,2019-04-18
com.epicwarehouse.runrobrun,RunRobRun!,32,UK,2019-04-18
com.eightfloor.daydthroughtime.premium.googleplay,DayD:Throughtime,33,UK,2019-04-18
com.eightfloor.gnomesgardenlostking.premium.googleplay,GnomesGarden:TheLostKing,34,UK,2019-04-18
com.nevil.mylittlestarvip,マイ·リトル·スターVIP:アイドルきせかえ,35,UK,2019-04-18
com.donutgames.goldminerjoe,GoldMinerJoe,36,UK,2019-04-18
com.ts19.gbpsa,GoldenBallsPaintSplashAdventure,37,UK,2019-04-18
by.golubov.color_ping_pong,ColorPongforWearOSbyGoogle™(AndroidWear™),38,UK,2019-04-18
com.artifexmundi.thesecretorder7.gp.full,シークレット・オーダー7:シャドウ・ブリーチ(Full),39,UK,2019-04-18
com.eightfloor.katyandbobcakecafe.premium.googleplay,Katy&Bob:CakeCafé,40,UK,2019-04-18
com.NewMeta.GambleDefence,도박디펜스,41,UK,2019-04-18
com.JaggedNail.Confinement.PAID,Confinement,42,UK,2019-04-18
com.rawfury.woam,WhispersofaMachine,43,UK,2019-04-18
uk.ace0.mandl.mrcpsycha,MRCPsychLearnA,44,UK,2019-04-18
com.dd.mk.vip,[VIP]ミサイルRPG:タップタップミサイル,45,UK,2019-04-18
ru.buka.dville01,DarkestvilleCastle,46,UK,2019-04-18
