app_id,app_name,rank,country_code,date
com.astragon.cs3,ConstructionSimulator3,1,UK,2019-04-16
com.playdigious.cultist,CultistSimulator,2,UK,2019-04-16
com.nataliepeall.lunchbox,LunchboxRecipes,3,UK,2019-04-16
com.zigzagame.evertale,エバーテイル,4,UK,2019-04-16
com.ofilms.wa2019,WordAlive2019,5,UK,2019-04-16
com.eightyeightgames.photographs,フォトグラフ·パズル·ストーリー,6,UK,2019-04-16
mycity.newbornbaby,MyCity:Newbornbaby,7,UK,2019-04-16
brownmonster.app.game.rushrally3,RushRally3,8,UK,2019-04-16
com.fabio.flat.squircle.iconpack,FlatSquircle-IconPack,9,UK,2019-04-16
com.elevenbitstudios.twomstoriesmobile,ThisWarofMine:Stories-Father'sPromise,10,UK,2019-04-16
valsar.dungeonwarfare2,ダンジョン・ウォーフェア2,11,UK,2019-04-16
com.amazingfrog,AmazingFrogSimulatorCity,12,UK,2019-04-16
com.health.openscale.pro,openScalepro,13,UK,2019-04-16
com.bhanuapps.batteryring,BatteryRing-EnergyRing-Batteryindicator,14,UK,2019-04-16
com.zeptolab.ctr2.paid.google,CuttheRope2GOLD(カット・ザ・ロープ2),15,UK,2019-04-16
com.rotounderworld.dynastydominator,DynastyDominator,16,UK,2019-04-16
com.Afterburn.GolfPeaks,ゴルフ・ピークス/GolfPeaks,17,UK,2019-04-16
com.eventsfuture.iceagekingdom,IceAgeKingdom,18,UK,2019-04-16
com.jndapp.limeline.linex.iconpack,LimeLineIconPack:LineX,19,UK,2019-04-16
com.domustechnica.tww.sleep,TheWonderWeeks:Sleep,20,UK,2019-04-16
movies.freemivies.movieboxpro,MovieboxPro,21,UK,2019-04-16
com.stepsintofuture.CNC,CNC,22,UK,2019-04-16
com.majavase,MajaVase,23,UK,2019-04-16
com.rumzcorp.arcadesidekick,ArcadeSidekick,24,UK,2019-04-16
com.comedybeasts,GangComedyBeastsSimulator,25,UK,2019-04-16
com.panda.gamebooster,PandaGameBooster-RAM&CPUboostandGFX,26,UK,2019-04-16
com.mlb.RBIBaseball2019,R.B.I.Baseball19,27,UK,2019-04-16
com.dazzle.groundtracker,GroundTracker,28,UK,2019-04-16
com.gaming.pandagamepadpremium,PandaaGamepadPremium,29,UK,2019-04-16
com.darxide.android.plantguide,IndoorPlantGuidePocketEdition,30,UK,2019-04-16
com.FourFire.InfiniteSoul,INFINITYSOULS-无尽之魂-超硬核独立手游,31,UK,2019-04-16
