app_id,app_name,rank,country_code,date
uk.co.focusmm.DTSCombo,TheoryTest4in1Kit2018–DrivingTestSuccess,1,UK,2018-03-10
uk.co.tso.ctt,OfficialDVSATheoryTestKit,2,UK,2018-03-10
com.mojang.minecraftpe,Minecraft,3,UK,2018-03-10
com.inkle.eightydays,80Days,4,UK,2018-03-10
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),5,UK,2018-03-10
com.rayark.cytus2,CytusII(サイタスⅡ),6,UK,2018-03-10
com.sigames.fmm2018,FootballManagerMobile2018,7,UK,2018-03-10
com.corecoders.skitracks,SkiTracks,8,UK,2018-03-10
com.barnstormgames.thechase2,TheChase:UltimateEdition,9,UK,2018-03-10
org.twisevictory.apps,TheWonderWeeks,10,UK,2018-03-10
uk.co.citb.imagitech.gt100.android.vy17.plus,CITBop/specHS&Etest2017,11,UK,2018-03-10
org.prowl.torque,TorquePro(OBD2/Car),12,UK,2018-03-10
com.barnstormgames.tippingpoint,TippingPoint,13,UK,2018-03-10
info.wobamedia.mytalkingpet.plus,私のお話ペット,14,UK,2018-03-10
com.FireproofStudios.TheRoom,TheRoom,15,UK,2018-03-10
com.robtopx.geometryjump,GeometryDash,16,UK,2018-03-10
com.teslacoilsw.launcher.prime,NovaLauncherPrime,17,UK,2018-03-10
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,18,UK,2018-03-10
au.com.shiftyjelly.pocketcasts,PocketCasts,19,UK,2018-03-10
com.marmalade.cluedogame,Cluedo,20,UK,2018-03-10
com.wb.goog.scribbleremix,ScribblenautsRemix,21,UK,2018-03-10
com.ninjakiwi.bloonstd5,BloonsTD5,22,UK,2018-03-10
com.marmalade.golmobile,TheGameofLife,23,UK,2018-03-10
com.greenheartgames.gdt,GameDevTycoon,24,UK,2018-03-10
com.beamdog.baldursgateenhancededition,Baldur'sGateEnhancedEdition,25,UK,2018-03-10
com.lightricks.facetune,Facetune,26,UK,2018-03-10
com.vinwap.parallaxwallpaper,3DParallaxBackground,27,UK,2018-03-10
com.undergroundcreative.footballchairmanpro,FootballChairmanPro,28,UK,2018-03-10
com.barnstormgames.countdown,Countdown-TheOfficialApp,29,UK,2018-03-10
