app_id,app_name,rank,country_code,date
com.NikSanTech.FireDots3D,FireBalls3D,1,US,2018-12-05
com.swingman.game,SwingStar,2,US,2018-12-05
com.mindy.grap1,StickmanHook,3,US,2018-12-05
io.voodoo.paper2,Paper.io2,4,US,2018-12-05
com.puzzles.game.halloweeen.one,FindTheDifferences-TheDetective,5,US,2018-12-05
com.escape.room.door.word.prison.puzzle.adventure,EscapeRoom:MysteryWord,6,US,2018-12-05
com.word.game.fun.puzzle.prison.escape.captain,WordsStory-AddictiveWordGame,7,US,2018-12-05
com.luckyday.app,LuckyDay-WinRealMoney,8,US,2018-12-05
com.outfit7.mytalkingtom2,マイ・トーキング・トム2,9,US,2018-12-05
com.h8games.helixjump,HelixJump,10,US,2018-12-05
com.game5mobile.lineandwater,HappyGlass,11,US,2018-12-05
com.miniclip.topskater,FlipSkater,12,US,2018-12-05
com.suji.spinner,Spinner.io,13,US,2018-12-05
com.revolverolver.fliptrickster,FlipTrickster-ParkourSimulator,14,US,2018-12-05
com.roblox.client,ROBLOX,15,US,2018-12-05
com.pixel.art.coloring.color.number,HappyColor–数字で塗り絵。数字で色ぬりえ,16,US,2018-12-05
bumper.car.bumper.io.cars.games,Carbumper.io-RoofBattle,17,US,2018-12-05
net.peakgames.toonblast,ToonBlast,18,US,2018-12-05
com.peoplefun.wordcross,Wordscapes,19,US,2018-12-05
com.scopely.startrek,StarTrek™FleetCommand,20,US,2018-12-05
com.rubygames.splashyjump,SlimeRoad,21,US,2018-12-05
com.peoplefun.wordstacks,WordStacks,22,US,2018-12-05
com.amanotes.beathopper,TilesHop:EDMRush!,23,US,2018-12-05
com.kiloo.subwaysurf,SubwaySurfers,24,US,2018-12-05
com.playgendary.kickthebuddy,KicktheBuddy,25,US,2018-12-05
com.tencent.ig,PUBGMOBILE,26,US,2018-12-05
com.ubisoft.accovenant,アサシン　クリード　リベリオンAssassin'sCreedRebellion,27,US,2018-12-05
com.playgendary.tom,TomboftheMask,28,US,2018-12-05
com.ohmgames.chambouletout,KnockBalls,29,US,2018-12-05
com.miniclip.eightballpool,8BallPool,30,US,2018-12-05
com.cmplay.bricksnballs,ブリックツムツム,31,US,2018-12-05
com.brokenreality.planemerger.android,MergePlane-Click&IdleTycoon,32,US,2018-12-05
com.riseup.game,RiseUp,33,US,2018-12-05
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,34,US,2018-12-05
word.search.puzzle,WordSearchPuzzle,35,US,2018-12-05
com.paulaugustel.bomber,PlanetBomber!,36,US,2018-12-05
io.voodoo.holeio,Hole.io,37,US,2018-12-05
com.kwalee.gofish1,GoFish!,38,US,2018-12-05
com.playgendary.tanks,TankStars,39,US,2018-12-05
com.wordgame.puzzle.board.en,WordCross,40,US,2018-12-05
air.com.hypah.io.slither,slither.io,41,US,2018-12-05
com.supertapx.lovedots,LoveBalls,42,US,2018-12-05
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,43,US,2018-12-05
com.yodo1.rodeo.safari,RodeoStampede:SkyZooSafariスカイ・ズー・サファリ,44,US,2018-12-05
com.eyu.piano,DreamPianoTiles2018-MusicGame,45,US,2018-12-05
com.etermax.preguntados.lite,トリビア・クラック,46,US,2018-12-05
com.crowdstar.covetHome,DesignHome,47,US,2018-12-05
com.tocaboca.tocalifeworld,TocaLife:World,48,US,2018-12-05
air.com.lunime.gachalife,GachaLife,49,US,2018-12-05
com.spacegame.homedesign,マイホーム　デザインドリーム,50,US,2018-12-05
com.randomlogicgames.wordsearch,InfiniteWordSearchPuzzles,51,US,2018-12-05
com.machsystem.gawii,AmazingFishing,52,US,2018-12-05
com.pixel.art.coloring.by.number,TapColor数字に従って色ぬり,53,US,2018-12-05
com.bitmango.go.onelinecurvedrawing,OneLine-CurveDrawing,54,US,2018-12-05
com.bigframes.color_road,ColorRoad!,55,US,2018-12-05
com.alien.shooter.galaxy.attack,ギャラクシーアタック：エイリアンシューター,56,US,2018-12-05
com.playgendary.sportmasters,Bouncemasters!,57,US,2018-12-05
com.nianticlabs.pokemongo,PokémonGO,58,US,2018-12-05
com.mnightt.slices,Slices,59,US,2018-12-05
com.cmplay.dancingline,ダンシングライン（DancingLine）,60,US,2018-12-05
com.cmplay.tiles2,ピアノタイル2™,61,US,2018-12-05
paint.by.number.pixel.art.coloring.drawing.puzzle,PaintByNumber-無料な塗り絵とパズルゲーム,62,US,2018-12-05
com.king.candycrush4,キャンディークラッシュフレンズ,63,US,2018-12-05
com.dvloper.granny,Granny,64,US,2018-12-05
com.crazylabs.sausage.run,走れ、ソーセージ、走れ！,65,US,2018-12-05
com.nomonkeys.ballblast,BallBlast,66,US,2018-12-05
com.colorswitch.switch2,ColorSwitch,67,US,2018-12-05
com.moonactive.coinmaster,CoinMaster,68,US,2018-12-05
com.miniclip.bowmasters,Bowmasters,69,US,2018-12-05
bumperbattle.io.game,Beetles.io,70,US,2018-12-05
com.pixelberrystudios.choices,Choices:StoriesYouPlay,71,US,2018-12-05
se.ace.fishinc,HookedInc:FisherTycoon,72,US,2018-12-05
com.supertapx.bigbigballer,BigBigBaller,73,US,2018-12-05
com.fungames.blockcraft,ブロック・クラフト　無料街づくりシミュレーションゲーム,74,US,2018-12-05
com.mobilewaronline.wwr,ワールドウォーライジング,75,US,2018-12-05
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,76,US,2018-12-05
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,77,US,2018-12-05
com.robtopx.geometryjumplite,ジオメトリーダッシュ(GeometryDashLite),78,US,2018-12-05
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,79,US,2018-12-05
com.king.candycrushsaga,キャンディークラッシュ,80,US,2018-12-05
com.rovio.baba,アングリーバード2(AngryBirds2),81,US,2018-12-05
games.onebutton.golfbattle,GolfBattle,82,US,2018-12-05
com.instcoffee.instlife,InstLife,83,US,2018-12-05
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,84,US,2018-12-05
com.jellybtn.boardkings,BoardKings™️,85,US,2018-12-05
com.itchmedia.ta3,BaseballBoy!,86,US,2018-12-05
com.bigduckgames.flow,FlowFree,87,US,2018-12-05
com.ea.game.maddenmobile15_row,MaddenNFLOverdriveFootball,88,US,2018-12-05
com.gameloft.android.ANMP.GloftDYHM,ディズニーマジックキングダムズ,89,US,2018-12-05
com.smilerlee.klondike,Solitaire,90,US,2018-12-05
com.hitrock.hideonline,HideOnline,91,US,2018-12-05
com.fluffyfairygames.idleminertycoon,IdleMinerTycoon『ざくざくキング：採掘王国』,92,US,2018-12-05
invaders.os.galaxy.space.shooter.attack.classic,ファルコンスカッドー銀河系の守護者-ギャラガ,93,US,2018-12-05
com.turbochilli.rollingsky,ローリング・スカイ,94,US,2018-12-05
com.Nobodyshot.kuboom,KUBOOM,95,US,2018-12-05
br.com.tapps.bidwars,BidWars-StorageAuctionsandPawnShopTycoon,96,US,2018-12-05
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),97,US,2018-12-05
com.abcgame.fallingball,FallingBall,98,US,2018-12-05
com.gpg.emojicraft,EmojiCraft,99,US,2018-12-05
com.ea.gp.simsmobile,TheSims シムズ ポケット,100,US,2018-12-05
com.gpower.pixelart,PixelArtBook-数字で色ぬり絵本,101,US,2018-12-05
com.titan.cd.gb,CreativeDestruction,102,US,2018-12-05
com.naturalmotion.customstreetracer2,CSRRacing2,103,US,2018-12-05
