app_id,app_name,rank,country_code,date
com.king.candycrushjellysaga,キャンディークラッシュゼリー,1,US,2016-01-31
com.skgames.trafficrider,TrafficRider,2,US,2016-01-31
es.parrotgames.restaurantcity,WorldChef,3,US,2016-01-31
com.sgn.geniesandgems.gp,Genies&Gems,4,US,2016-01-31
com.turner.pocketmorties,PocketMortys,5,US,2016-01-31
com.gamecircus.bbh,BrickBreakerHero,6,US,2016-01-31
com.rockyou.swnewworld,Shipwrecked:NewWorld,7,US,2016-01-31
com.teamlava.jewel52,JewelMania:Valentine'sDay,8,US,2016-01-31
com.turbochilli.rollingsky,ローリング・スカイ,9,US,2016-01-31
com.ubisoft.sandstormpiratewars,SandstormPirateWars,10,US,2016-01-31
fi.twomenandadog.zombiecatchers,ゾンビキャッチャー(ZombieCatchers),11,US,2016-01-31
com.yx.sniper,エリートキラー3D-EliteKiller,12,US,2016-01-31
com.klab.bleach,BLEACHBraveSouls,13,US,2016-01-31
com.ketchapp.swing,Swing,14,US,2016-01-31
com.cocoplay.cocosupermodel,スーパーモデルスター,15,US,2016-01-31
com.bandagames.epicquest,EpicQuest,16,US,2016-01-31
glo.denaseoul.g100p.mj.AOS,MillionairePOP,17,US,2016-01-31
com.herogames.gplay.crisisactionna,CrisisAction-FPSeSports,18,US,2016-01-31
com.appon.resorttycoon,ResortTycoon,19,US,2016-01-31
com.teamlava.fantasy52,ファンタジーの森ストーリー：バレンタイン,20,US,2016-01-31
com.gamevil.cartoonwars3.android.google.global.normal,カートゥーンウォーズ3,21,US,2016-01-31
com.tabtale.newbornbabydreamhouse,BabyFullHouse-Care&Play,22,US,2016-01-31
com.ketchapp.thepit,ThePit,23,US,2016-01-31
com.tapinator.offroad.driving.adventure2016,OffroadDrivingAdventure2016,24,US,2016-01-31
com.vg.citybussimulator2016,CityBusSimulator2016,25,US,2016-01-31
air.com.tutotoons.app.dollhousecleanupdecoration.free,DollHouseCleanup,26,US,2016-01-31
com.yodo1tier1.megajump2,MegaJump2,27,US,2016-01-31
com.bandainamcogames.google.digimonheroes,DigimonHeroes!,28,US,2016-01-31
com.nhnent.SGGSTONE,GuardianStone:SecondWar,29,US,2016-01-31
com.box10.dontwhackthethief,WhackTheThief,30,US,2016-01-31
com.mnightt.bouncypolygon,BouncyPolygon,31,US,2016-01-31
com.oasgames.android.mtcen,TankCommander-English,32,US,2016-01-31
com.tapinator.ambulance.rescue.driving2016,AmbulanceRescueDriving2016,33,US,2016-01-31
com.tabtale.messybabysitter,ベビーシッター・マッドネス,34,US,2016-01-31
com.themascoteers.circlify,Circlify,35,US,2016-01-31
com.libiitech.doutsMakerSalon,DonutsMakerSalon,36,US,2016-01-31
com.zynga.vegasdiamondslots,VegasDiamond:スロット|無料ゲーム,37,US,2016-01-31
com.animocabrands.google.eahTheFairest,EverAfterHigh™チャームドスタイル,38,US,2016-01-31
com.snailgameusa.aowd,AgeofWushuDynasty,39,US,2016-01-31
com.deadman.escape,DeadManEscape,40,US,2016-01-31
com.spartonix.spartania,Spartania:TheSpartanWar,41,US,2016-01-31
com.ktgames.jewelblast,JewelBlast,42,US,2016-01-31
com.tp.android.injectiondraw,注射&採血シミュレーター,43,US,2016-01-31
com.freerange.goosebumps,グースバンプス,44,US,2016-01-31
com.futureplay.boots,FarmAway!-ボーっとした農家,45,US,2016-01-31
com.zipzapgames.trafficjamrider,HighwayTrafficRider,46,US,2016-01-31
com.hitcents.drawastickmanepic2free,DrawaStickman:EPIC2Free,47,US,2016-01-31
com.ftt.blade_global_gl,Blade:SwordofElysion,48,US,2016-01-31
com.wordsmobile.gunship,ヘリコプター空襲-GunshipStrike3D,49,US,2016-01-31
com.disruptorbeam.StarTrekTimelines,StarTrekTimelines,50,US,2016-01-31
com.djinnworks.StickmanFootballTheBowl,StickmanFootball-TheBowl,51,US,2016-01-31
com.labexception.policedrivingincar,PoliceDrivingInCar,52,US,2016-01-31
com.gramgames.merged,Merged!,53,US,2016-01-31
jp.coloplni.dtsd,DowntownShowdown,54,US,2016-01-31
ru.smileappsandgames.simulatorhoverboard,シミュレータホバーボード,55,US,2016-01-31
com.tabtale.sleepingkingdom,おとぎ話の大失敗-眠りの魔法,56,US,2016-01-31
com.com2us.wondertactics.normal.freefull.google.global.android.common,ワンダータクティクス,57,US,2016-01-31
com.ftg.supermarket.cash.register,スーパーマーケットレジシム,58,US,2016-01-31
com.zombie.racing.two,ZombieHillRacing2,59,US,2016-01-31
com.slots.realvegas2,RealCasinoVegasSlots,60,US,2016-01-31
com.kontamapp.piratecraft2016,PirateCraftIdeas,61,US,2016-01-31
com.HomeNetGames.Pirates,ThePirate:CaribbeanHunt,62,US,2016-01-31
com.susiapps.enidecumplices,EnigmaCumplicesDeUmResgate,63,US,2016-01-31
com.tg.helicopterhill2016rescue,HelicopterHillRescue2016,64,US,2016-01-31
com.labexception.mototrafficrider,MotoTrafficRider,65,US,2016-01-31
com.ftt.blade_global_gl,Blade:SwordofElysion,66,US,2016-01-31
com.mozgame.bubbleblastmania.free,BubbleBlastMania,67,US,2016-01-31
com.turner.pocketmorties,PocketMortys,68,US,2016-01-31
com.zatun.puppiesoutspring,PuppiesOutSpring,69,US,2016-01-31
com.call.fake.free,偽電話-FakeCall,70,US,2016-01-31
com.lego.ninjago.skybound,LEGO®Ninjago:Skybound,71,US,2016-01-31
com.piano.tiles1.free,PianoTiles1,72,US,2016-01-31
jp.coloplni.dtsd,DowntownShowdown,73,US,2016-01-31
com.nicedonegames.extremecarsimulator,ExtremeCarSimulator2016,74,US,2016-01-31
com.kidsthree.babyfashiontailor,リトルテーラー,75,US,2016-01-31
com.themascoteers.circlify,Circlify,76,US,2016-01-31
gameeon.car.run,CashOrCrash:GetawayDrive,77,US,2016-01-31
com.teamlava.jewel52,JewelMania:Valentine'sDay,78,US,2016-01-31
com.superapple.shooter,SuperAppleShooter,79,US,2016-01-31
com.brokenscreen.prank.leogame2016,ブロークン画面の悪ふざけ,80,US,2016-01-31
com.ketchapp.spikerun,SpikeRun,81,US,2016-01-31
com.IndianoDev.PiveteRunner,PiveteRunner,82,US,2016-01-31
com.fphoenix.farthur,ブロッククラッシャ-BlocksCrusher,83,US,2016-01-31
com.hitcents.drawastickmanepic2free,DrawaStickman:EPIC2Free,84,US,2016-01-31
com.digpronouncehouse.voyage,おかしいキャンディジェム,85,US,2016-01-31
com.i6.extremecardrivingsim,ExtremeCarDrivingSimulator,86,US,2016-01-31
com.ULTRATEAM.ULTRAFLOW2,ULTRAFLOW2,87,US,2016-01-31
com.elex.coq.gp,ClashofQueens,88,US,2016-01-31
com.ifc.speed.racing,SpeedCarDriftRacing,89,US,2016-01-31
com.sheastudio.difcumpli,EncontrarCumplicesResgate,90,US,2016-01-31
com.lezhi.bridesmaidsalon,BridesmaidSalon-girlsgames,91,US,2016-01-31
com.gjj.cargotruckdriver3d,CargoTruckDriver3D,92,US,2016-01-31
com.prank.wifirecovertool,WifiHackerFREEprank,93,US,2016-01-31
com.bearhugmedia.android_magicdescendantssalon,MagicDescendantsGoodVs.Bad,94,US,2016-01-31
com.teamlava.fantasy52,ファンタジーの森ストーリー：バレンタイン,95,US,2016-01-31
com.miamicrimecity.whatthehell,WhatTheHell,96,US,2016-01-31
air.com.tutotoons.app.happycolors.free,HappyColors-ColoringBook,97,US,2016-01-31
