app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,US,2018-07-19
com.ninjakiwi.bloonstd6,BloonsTD6,2,US,2018-07-19
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),3,US,2018-07-19
com.robtopx.geometryjump,GeometryDash,4,US,2018-07-19
com.marmalade.golmobile,TheGameofLife,5,US,2018-07-19
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,6,US,2018-07-19
com.wb.goog.scribbleremix,ScribblenautsRemix,7,US,2018-07-19
air.com.shirogames.evoland12,Evoland,8,US,2018-07-19
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,9,US,2018-07-19
com.and.games505.TerrariaPaid,Terraria.,10,US,2018-07-19
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,11,US,2018-07-19
com.FireproofStudios.TheRoom4,TheRoom:OldSins,12,US,2018-07-19
com.marmalade.cluedogame,Cluedo,13,US,2018-07-19
com.ninjakiwi.bloonstd5,BloonsTD5,14,US,2018-07-19
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,15,US,2018-07-19
com.trueaxis.trueskate,TrueSkate,16,US,2018-07-19
com.giantssoftware.fs18.google,FarmingSimulator18,17,US,2018-07-19
com.team17.escapists,TheEscapists,18,US,2018-07-19
com.FireproofStudios.TheRoom,TheRoom,19,US,2018-07-19
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,20,US,2018-07-19
com.scottgames.fnaf2,FiveNightsatFreddy's2,21,US,2018-07-19
com.t2ksports.nba2k18and,NBA2K18,22,US,2018-07-19
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,23,US,2018-07-19
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,24,US,2018-07-19
com.nomadgames.everybodyrpgpay,みんなのアルピジ,25,US,2018-07-19
br.com.beholdstudios.knightspp,KnightsofPenandPaper+1,26,US,2018-07-19
com.aspyr.swkotor,StarWars™:KOTOR,27,US,2018-07-19
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,28,US,2018-07-19
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,29,US,2018-07-19
com.pockettrend.neomonsters,ネオモンスターズ,30,US,2018-07-19
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,31,US,2018-07-19
com.coffeestainstudios.goatsimulator,GoatSimulator,32,US,2018-07-19
com.ustwo.monumentvalley2,MonumentValley2,33,US,2018-07-19
com.activision.boz,CallofDutyBlackOpsZombies,34,US,2018-07-19
com.GameCoaster.DungeonMaker,ダンジョンメーカー,35,US,2018-07-19
com.fastemulator.gbc,MyOldBoy!-GBCEmulator,36,US,2018-07-19
com.baldisbasic.baldisbasiceducation.baldisescape.baldiseducation,BasicsInLearningAndEducation,37,US,2018-07-19
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,38,US,2018-07-19
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,39,US,2018-07-19
com.greenheartgames.gdt,GameDevTycoon,40,US,2018-07-19
com.epsxe.ePSXe,ePSXeforAndroid,41,US,2018-07-19
com.realdrift.sipon,RealDriftCarRacing,42,US,2018-07-19
com.ztgame.yyzy,NightoftheFullMoon,43,US,2018-07-19
com.halfbrick.fruitninja,FruitNinjaClassic,44,US,2018-07-19
com.corrodinggames.rts,RustedWarfare-RTSStrategy,45,US,2018-07-19
com.rayark.cytus2,CytusII(サイタスⅡ),46,US,2018-07-19
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,47,US,2018-07-19
com.mtvn.sbmigoogleplay,SpongeBobMovesIn,48,US,2018-07-19
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,49,US,2018-07-19
com.FireproofStudios.TheRoom2,TheRoomTwo,50,US,2018-07-19
ilmfinity.evocreo.main.android,EvoCreo,51,US,2018-07-19
pl.idreams.pottery,Let'sCreate!Pottery,52,US,2018-07-19
com.ngmoco.pocketgod,PocketGod™,53,US,2018-07-19
com.ustwo.monumentvalley,モニュメントバレー,54,US,2018-07-19
com.playsportgames.mmm3,MotorsportManagerMobile3,55,US,2018-07-19
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,56,US,2018-07-19
com.devolver.reigns,Reigns,57,US,2018-07-19
com.scottgames.fnaf4,FiveNightsatFreddy's4,58,US,2018-07-19
com.eamobile.nbajam_na_wf,NBAJAMbyEASPORTS™,59,US,2018-07-19
com.rockstargames.bully,Bully:AnniversaryEdition,60,US,2018-07-19
com.etermax.preguntados.pro,トリビア・クラック(広告なし),61,US,2018-07-19
com.zitga.empire.warriors.td.tower.defense,EmpireWarriorsTDPremium,62,US,2018-07-19
com.squareenixmontreal.hitmango,HitmanGO,63,US,2018-07-19
com.FireproofStudios.TheRoom3,TheRoomThree,64,US,2018-07-19
com.jumpgames.RealSteel,RealSteel,65,US,2018-07-19
com.rockstar.gta3,GrandTheftAutoIII,66,US,2018-07-19
moonbear.PocketBuild,PocketBuild,67,US,2018-07-19
com.ninjakiwi.supermonkey,BloonsSupermonkey2,68,US,2018-07-19
