app_id,app_name,rank,country_code,date
com.ninjakiwi.bloonstd6,BloonsTD6,1,US,2018-06-19
com.arsalanengr.i.am.millionaire,IamMillionaire-Richestguyinthetown,2,US,2018-06-19
com.tocaboca.tocamysteryhouse,TocaMysteryHouse,3,US,2018-06-19
com.madlab.randomquest,RandomQuest:FirstPersonRPG,4,US,2018-06-19
com.sonymobile.themes.dotteddog,XPERIA™DottedDogTheme,5,US,2018-06-19
com.richmoneyfather.bigrich,私は裕福です,6,US,2018-06-19
com.easytech.android.ew6,欧陸戦争6:1804,7,US,2018-06-19
projekt.andromeda,andromeda★substratumstockrootlessbackend8.0+,8,US,2018-06-19
com.rainystudio.auromiconpack,Aurom-IconPack,9,US,2018-06-19
com.polarstudio.parkourextreme,ParkourExtreme,10,US,2018-06-19
com.nocodesbarred.shoelaceguide,StepByStepShoeLacingGuidePro,11,US,2018-06-19
com.prpr.musedash,MuseDash,12,US,2018-06-19
com.footballguys.FBGDraft2018,FootballguysFantasyFootballDraftDominator2018,13,US,2018-06-19
com.leomaz.g7pack,LGG7Experience-IconPack,14,US,2018-06-19
com.daerisoft.infinity.plus,無限の塔VIP,15,US,2018-06-19
air.com.kongregate.mobile.fancypants.google,SuperFancyPantsAdventure,16,US,2018-06-19
com.square_enix.android_googleplay.ValkyrieProfilew,VALKYRIEPROFILE:LENNETH,17,US,2018-06-19
com.TNSOFT.EngineeringLibraryPro,EngineeringlibraryPro,18,US,2018-06-19
com.qdropsandroidllc.qdrops,QDrops,19,US,2018-06-19
com.conanexilesmap.cemap,CEMap-InteractiveConanExilesMap,20,US,2018-06-19
com.GamesFromGarage.PCArchitectAdvanced,PCArchitectAdvanced(PCbuildingsimulator),21,US,2018-06-19
com.mythicowl.hexologic,六方論理,22,US,2018-06-19
com.zitga.empire.warriors.td.tower.defense,EmpireWarriorsTDPremium,23,US,2018-06-19
com.chillseekers.Necrophonic,Necrophonic,24,US,2018-06-19
com.antonps.dungeonofsouls,DungeonofSouls,25,US,2018-06-19
pitchblack.samsung.substratum,PitchBlackS-SamsungSubstratumTheme“ForOreo”,26,US,2018-06-19
kraken.unleashed.icons.ddt,KrakenIconPack,27,US,2018-06-19
pl.patrykgoworowski.mintypro,MintyIconsPro,28,US,2018-06-19
com.subwayrun.looneytunes.looneyrabbit.looneyrushs,ルーニー・チューン・ダッシュ（フルバージョン）,29,US,2018-06-19
ru.goonswarm.pandarama,Pandarama:TheLostToys,30,US,2018-06-19
com.sdconvention.LetsDance2,67thNSDC,31,US,2018-06-19
com.bstech.reader.pdf.viewer.pro,PDFReader-unlimitedandproversion,32,US,2018-06-19
com.vistechprojects.pupildistancemeterpro,PupilDistanceMeterPro|AccuratePDmeasure,33,US,2018-06-19
com.virtual.powermg,CardboardAppsOnGearVR,34,US,2018-06-19
com.jndapp.lotus.iconpack,LotusIconPack,35,US,2018-06-19
com.matchgems.fantasy_mosaics_29,FantasyMosaics29:AlienPlanet,36,US,2018-06-19
net.sb_software.fullmirror,FullMirrorforMirrorLink,37,US,2018-06-19
com.orangepixel.questionnaire,SirQuestionnaire,38,US,2018-06-19
com.MCJams.WOE,WorldOfEnder,39,US,2018-06-19
com.starmaiden.egdeoftheskypremium,TotheEdgeoftheSky-Premium,40,US,2018-06-19
com.ioslauncher.prime,XLauncherPrime:WithIOSStyleTheme&NoAds,41,US,2018-06-19
mermaid.launcher.theme.ddt,MermaidIconPack,42,US,2018-06-19
com.makario.vigilos,TheVigilFiles:Case1,43,US,2018-06-19
com.anu.developers3k.rootcheckerpro,AdvancedRootCheckerPro,44,US,2018-06-19
com.reallyvision.realvisors7,"2018AndroidEndoscope,USBcameraProfessional",45,US,2018-06-19
com.bki.theworkapp,TheWorkApp3.0.1,46,US,2018-06-19
com.pixelatte.dslr.manual.camera.pro,ManualCameraPro:DSLRCameraHDProfessional,47,US,2018-06-19
com.handelabra.OneDeckDungeon,OneDeckDungeon,48,US,2018-06-19
com.samsoft.linear,[Substratum]Linear,49,US,2018-06-19
com.jcsystems.jccre.phonefinder,PhoneFinder,50,US,2018-06-19
kemco.execreate.alvastiapremium,[Premium]RPGアルバスティア戦記,51,US,2018-06-19
com.mp3.music.download.search.musicplayer.pro.unlimited,Musicplayer-unlimitedandproversion,52,US,2018-06-19
com.chesskingdom,MagnusKingdomofChess,53,US,2018-06-19
com.kathydavis.stickers,KathyDavisStickers,54,US,2018-06-19
