app_id,app_name,rank,country_code,date
com.riseup.game,RiseUp,1,VE,2018-09-17
me.pou.app,プーチッチPou,2,VE,2018-09-17
com.kiloo.subwaysurf,SubwaySurfers,3,VE,2018-09-17
com.playmini.miniworld,MiniWorldBlockArt,4,VE,2018-09-17
com.king.candycrushsaga,キャンディークラッシュ,5,VE,2018-09-17
com.fortune.sim.game.cash,HelloStars,6,VE,2018-09-17
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),7,VE,2018-09-17
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,8,VE,2018-09-17
com.eyu.piano,MagicPianoTiles2018-MusicGame,9,VE,2018-09-17
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,10,VE,2018-09-17
com.bitmango.go.stringart,LinePuzzle:StringArt,11,VE,2018-09-17
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),12,VE,2018-09-17
com.cmplay.bricksnballs,ブリックツムツム,13,VE,2018-09-17
com.minicades.stockcars,StockCarRacing,14,VE,2018-09-17
com.dts.freefireth,フリーファイア,15,VE,2018-09-17
com.robtopx.geometryjumplite,ジオメトリーダッシュ(GeometryDashLite),16,VE,2018-09-17
air.com.hypah.io.slither,slither.io,17,VE,2018-09-17
com.king.candycrushsodasaga,キャンディークラッシュソーダ,18,VE,2018-09-17
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,19,VE,2018-09-17
com.allpixelgames.dominoes.free,Dominoes,20,VE,2018-09-17
com.playgendary.kickthebuddy,KicktheBuddy,21,VE,2018-09-17
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,22,VE,2018-09-17
com.greenteagames.dogracing3d,DogRun-PetDogSimulator,23,VE,2018-09-17
com.skgames.trafficrider,TrafficRider,24,VE,2018-09-17
com.ffgames.racingincar2,RacinginCar2,25,VE,2018-09-17
com.ea.gp.fifamobile,FIFAサッカー,26,VE,2018-09-17
com.imangi.templerun2,TempleRun2,27,VE,2018-09-17
com.roblox.client,ROBLOX,28,VE,2018-09-17
com.supertapx.lovedots,LoveBalls,29,VE,2018-09-17
de.lotum.whatsinthefoto.es,4Fotos1Palabra,30,VE,2018-09-17
jpark.AOS5,Angerofstick5:zombie,31,VE,2018-09-17
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,32,VE,2018-09-17
com.jetstartgames.chess,チェス,33,VE,2018-09-17
com.crowdstar.covetfashion,CovetFashion-DressUpGame,34,VE,2018-09-17
com.gta.real.gangster.crime,RealGangsterCrime,35,VE,2018-09-17
com.aim.racing,ExtremeCarDrivingSimulator,36,VE,2018-09-17
com.prettysimple.criminalcaseandroid,クリミナルケース,37,VE,2018-09-17
com.firsttouchgames.story,Score!Hero,38,VE,2018-09-17
com.gtarcade.eoa,EraofCelestials,39,VE,2018-09-17
com.fungames.blockcraft,ブロック・クラフト　無料街づくりシミュレーションゲーム,40,VE,2018-09-17
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,41,VE,2018-09-17
com.cmplay.tiles2,ピアノタイル2™,42,VE,2018-09-17
com.king.farmheroessaga,ファームヒーロー,43,VE,2018-09-17
com.sega.sonicdash,SonicDash,44,VE,2018-09-17
com.outfit7.talkingtom,おしゃべり猫のトーキング・トム,45,VE,2018-09-17
com.robtopx.geometrydashworld,GeometryDashWorld,46,VE,2018-09-17
com.ea.gp.nbamobile,NBALIVEMobileBasketball,47,VE,2018-09-17
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,48,VE,2018-09-17
com.gameloft.android.ANMP.GloftDMHM,ミニオンラッシュ:「怪盗グルー」公式ゲーム,49,VE,2018-09-17
com.h8games.helixjump,HelixJump,50,VE,2018-09-17
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),51,VE,2018-09-17
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,52,VE,2018-09-17
com.touchtao.soccerkinggoogle,世界のサッカーリーグ,53,VE,2018-09-17
com.wordsmobile.RealBikeRacing,リアルなバイクレーシング3D,54,VE,2018-09-17
com.dvloper.granny,Granny,55,VE,2018-09-17
com.robtopx.geometrydashsubzero,GeometryDashSubZero,56,VE,2018-09-17
com.edujoy.masha.games,MashaandtheBearの知育ゲーム,57,VE,2018-09-17
com.puzzlegamesclassic.tetris.blockpuzzle,BlockPuzzle,58,VE,2018-09-17
com.fingersoft.hcr2,HillClimbRacing2,59,VE,2018-09-17
com.fungames.flightpilot,フライトパイロットシミュレーター3D無料,60,VE,2018-09-17
air.com.turner.boomerangmakeandrace,BoomerangMakeandRace,61,VE,2018-09-17
com.mobileguru.fruitsbomb.free,FruitsBomb,62,VE,2018-09-17
com.nintendo.zara,SuperMarioRun,63,VE,2018-09-17
com.crazylabs.lady.bug,MiraculousLadybug&CatNoir-TheOfficialGame,64,VE,2018-09-17
game.puzzle.blockpuzzle,BlockPuzzle,65,VE,2018-09-17
com.rovio.angrybirdsrio,AngryBirdsRio,66,VE,2018-09-17
com.huuugetaptapgames.rollercoaster,片手deローラーコースターHuuugeゲーム,67,VE,2018-09-17
com.jdpapps.wordsearch,WordSearch,68,VE,2018-09-17
com.wordmobiles.bikeRacing,バイクレーシング3D-BikeRacing,69,VE,2018-09-17
com.miniclip.bowmasters,Bowmasters,70,VE,2018-09-17
com.ea.games.simsfreeplay_row,TheSimsFreePlay,71,VE,2018-09-17
air.com.peppapig.paintbox,PeppaPig:Paintbox,72,VE,2018-09-17
com.fgol.HungrySharkEvolution,ハングリーシャーク・エボリューション,73,VE,2018-09-17
com.generamobile.zhunter.gp,ZombieHunter:黙示録ゾンビゾンビシューティングゲーム。アンデッドの大群で生き残る!,74,VE,2018-09-17
com.sandboxol.indiegame.skywar,SkyWars,75,VE,2018-09-17
com.miniclip.footballstrike,FootballStrike-MultiplayerSoccer,76,VE,2018-09-17
com.mobirix.zombieking,ZombieHunterKing,77,VE,2018-09-17
com.mario.bros.adventure.free,SuperJabberJump3,78,VE,2018-09-17
com.imangi.templerun,TempleRun,79,VE,2018-09-17
pt.wm.milhes,Quiz,80,VE,2018-09-17
com.oneline.draw.touch.puzzle.game,OneLinePuzzle-ConnectingDots,81,VE,2018-09-17
com.linkdesks.iBubble,パワーバブルシューター,82,VE,2018-09-17
com.edujoy.Word_Search,WordSearchGamesinenglish,83,VE,2018-09-17
com.wb.goog.dc.legends,DCLegends:正義のためのバトル,84,VE,2018-09-17
com.andregal.android.poolbilliard,Billiardfree,85,VE,2018-09-17
com.FDGEntertainment.redball4.gp,RedBall4,86,VE,2018-09-17
com.feelingtouch.zf3d,ZombieFrontier3:SniperFPS,87,VE,2018-09-17
com.futureplay.battleground,BattlelandsRoyale,88,VE,2018-09-17
com.big.summerwheelie,SummerWheelie,89,VE,2018-09-17
com.gameloft.android.ANMP.GloftSIHM,MARVELスパイダーマン・アンリミテッド,90,VE,2018-09-17
es.socialpoint.DragonCity,ドラゴンシティ,91,VE,2018-09-17
us.kr.baseballnine,プロ野球ナイン,92,VE,2018-09-17
com.dimcoms.checkers,チェッカーズ,93,VE,2018-09-17
com.gameloft.android.ANMP.GloftDYHM,ディズニーマジックキングダムズ,94,VE,2018-09-17
com.icogroup.apensar,Wordie:GuesstheWord,95,VE,2018-09-17
com.skgames.trafficracer,TrafficRacer,96,VE,2018-09-17
com.etec.minigame.snakematrix,SnakeMatrix,97,VE,2018-09-17
com.rioo.runnersubway,地下鉄プリンセスランナー,98,VE,2018-09-17
com.tbegames.and.best_moto_race,モトライダーGO！ハイウェイレーシング,99,VE,2018-09-17
com.pnixgames.minigolfking,MiniGolfKing-マルチプレイヤーゲーム,100,VE,2018-09-17
com.gameloft.android.ANMP.GloftM5HM,モダンコンバット5：eスポーツシューティングゲーム,101,VE,2018-09-17
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),102,VE,2018-09-17
com.gameinsight.gobandroid,GunsofBoom,103,VE,2018-09-17
com.hippogame.sword.knife.hit.knifego,KnifeFrenzy,104,VE,2018-09-17
com.outfit7.mytalkinghank,マイ・トーキング・ハンク,105,VE,2018-09-17
com.miniclip.eightballpool,8BallPool,106,VE,2018-09-17
com.mindmill.pipes.loops.plumber.puzzle,パズルゲーム:Linedoku,107,VE,2018-09-17
com.kroaq.rightword,PalabraCorrecta,108,VE,2018-09-17
com.game5mobile.lineandwater,HappyGlass,109,VE,2018-09-17
com.superbox.aos.bunnyblast,バニーブラスト-PuzzleGame,110,VE,2018-09-17
com.cocoplay.sweet.bakery,マイ・ベーカリーの王国-ケーキを焼いて飾って売ろう,111,VE,2018-09-17
com.mobirix.airhockey,エアホッケーチャレンジ,112,VE,2018-09-17
com.vectorunit.purple.googleplay,BeachBuggyRacing,113,VE,2018-09-17
com.wordgame.puzzle.board.es,PalabrasCruz,114,VE,2018-09-17
com.flyairup.matchgame.JewelStarBlaze,ジュエルズスター：OZアドベンチャー,115,VE,2018-09-17
com.gameloft.android.ANMP.GloftAGHM,AsphaltNitro,116,VE,2018-09-17
com.gameloft.android.ANMP.GloftNOHM,N.O.V.A.Legacy,117,VE,2018-09-17
com.firsttouchgames.dls3,DreamLeagueSoccer2018,118,VE,2018-09-17
com.nianticlabs.pokemongo,PokémonGO,119,VE,2018-09-17
com.lemongame.klondike.solitaire,ソリティア,120,VE,2018-09-17
com.outfit7.talkingtomjetski2,トーキング・トムのジェットスキー2,121,VE,2018-09-17
com.swiftappskom.thewolfrpg,TheWolf,122,VE,2018-09-17
air.com.pixelstudio8.venom.angry.crash.rush.io.online,VenomAngryCrashyRushOnline,123,VE,2018-09-17
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,124,VE,2018-09-17
com.masomo.headball2,HeadBall2,125,VE,2018-09-17
com.banana4apps.evolution,人類進化ゲームの人に贈る指輪の人類,126,VE,2018-09-17
com.disney.wheresmywater2_goo,Where'sMyWater?2,127,VE,2018-09-17
com.superbros.adventure.jump.free,SuperJimJump,128,VE,2018-09-17
com.razmobi.monstertrucks2,モンスタートラックの子供のゲーム,129,VE,2018-09-17
com.mobileguru.sweet.candyfever.free,キャンディブーム,130,VE,2018-09-17
com.SelfieGirls.Crafting.Pocket.Edition.mnecratf,MiniCraftExplorationLite,131,VE,2018-09-17
com.ea.game.simpsons4_row,TheSimpsons™:TappedOut,132,VE,2018-09-17
com.alcamasoft.memorymatch,Braingame.PictureMatch.,133,VE,2018-09-17
com.playgendary.partymasters,Partymasters-FunIdleGame,134,VE,2018-09-17
com.EvilChaotic.ModernWarplanes,ModernWarplanes:ThunderAirStrikePvPwarfare,135,VE,2018-09-17
com.spilgames.UphillRush,UphillRushウォータースライダーゲーム,136,VE,2018-09-17
com.zeptolab.ctr.ads,CuttheRopeFULLFREE,137,VE,2018-09-17
com.cooyostudio.marble.blast,JungleMarbleBlast,138,VE,2018-09-17
com.turner.ppgstem,GlitchFixers：パワーパフガールズ,139,VE,2018-09-17
com.arcsys.tictactoe,TicTacToeのグロー,140,VE,2018-09-17
com.blockpuzzle.classicbrickgames,ブロック宝石-古典的なブロックパズルゲーム,141,VE,2018-09-17
com.gameone.candycruiselite.free,CandyCruiseFree,142,VE,2018-09-17
com.spcomes.zombiehive,ゾンビハイブ,143,VE,2018-09-17
com.leodesol.games.classic.maze.labyrinth,Mazes&More,144,VE,2018-09-17
com.king.petrescuesaga,ペットレスキュー,145,VE,2018-09-17
com.lego.bricksmore,レゴ®ジュニアCreate&Cruise,146,VE,2018-09-17
com.billiards.city.pool.nation.club,ビリヤードシティ,147,VE,2018-09-17
com.ea.games.r3_row,RealRacing3,148,VE,2018-09-17
com.pjmasks.moonlightheroes,PJMasks:MoonlightHeroes,149,VE,2018-09-17
us.kr.baseball,野球スター,150,VE,2018-09-17
com.bitmango.rolltheballunrollme,ロールボール：スライドパズル,151,VE,2018-09-17
com.heliosinteractive.ben10,ベン：10エイリアン体験,152,VE,2018-09-17
