app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,VE,2017-10-01
com.hg.devils,Devils&DemonsArenaWarsPE,2,VE,2017-10-01
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,3,VE,2017-10-01
com.robtopx.geometryjump,GeometryDash,4,VE,2017-10-01
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),5,VE,2017-10-01
com.coffeestainstudios.goatsimulator,GoatSimulator,6,VE,2017-10-01
com.ninjakiwi.bloonstd5,BloonsTD5,7,VE,2017-10-01
com.limbic.ac130,ZombieGunship,8,VE,2017-10-01
com.marmalade.cluedogame,Cluedo,9,VE,2017-10-01
com.oddworld.Stranger,Oddworld:Stranger'sWrath,10,VE,2017-10-01
com.giantssoftware.fs18.google,FarmingSimulator18,11,VE,2017-10-01
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),12,VE,2017-10-01
com.coffeestainstudios.goatsimulator.payday,GoatSimulatorPayday,13,VE,2017-10-01
com.and.games505.TerrariaPaid,Terraria.,14,VE,2017-10-01
com.devolver.reigns,Reigns,15,VE,2017-10-01
com.bluebraingames.thehouseofdavinci,TheHouseofDaVinci,16,VE,2017-10-01
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,17,VE,2017-10-01
com.wb.goog.scribbleremix,ScribblenautsRemix,18,VE,2017-10-01
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,19,VE,2017-10-01
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,20,VE,2017-10-01
com.trueaxis.trueskate,TrueSkate,21,VE,2017-10-01
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,22,VE,2017-10-01
com.nekki.shadowfight2.paid,ShadowFight2SpecialEdition,23,VE,2017-10-01
com.FireproofStudios.TheRoom,TheRoom,24,VE,2017-10-01
com.realdrift.sipon,RealDriftCarRacing,25,VE,2017-10-01
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,26,VE,2017-10-01
com.team17.escapists,TheEscapists,27,VE,2017-10-01
com.ustwo.monumentvalley,モニュメントバレー,28,VE,2017-10-01
se.feomedia.quizkampen.de.premium,QuizduellPREMIUM,29,VE,2017-10-01
air.air.TakosJapanese,LearnJapanesewithTako-HiraganaKatakanaKanji,30,VE,2017-10-01
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,31,VE,2017-10-01
com.GameCoaster.ProtectDungeon,ダンジョン守る,32,VE,2017-10-01
com.astragon.cs2014,コンストラクションシミュレーター2014,33,VE,2017-10-01
com.squareenixmontreal.hitmango,HitmanGO,34,VE,2017-10-01
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,35,VE,2017-10-01
com.codemasters.f12016,F12016,36,VE,2017-10-01
com.notdoppler.earntodie,EarntoDie,37,VE,2017-10-01
com.jumpgames.RealSteel,RealSteel,38,VE,2017-10-01
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,39,VE,2017-10-01
com.epsxe.ePSXe,ePSXeforAndroid,40,VE,2017-10-01
com.gm_shaber.dayrpremium,DayRPremium,41,VE,2017-10-01
com.coffeestainstudios.goatsimulator.wasteofspace,GoatSimulatorWasteofSpace,42,VE,2017-10-01
com.marmalade.golmobile,TheGameofLife,43,VE,2017-10-01
me.dreamsky.stickman,LeagueofStickman2017-Ninja,44,VE,2017-10-01
com.playsportgames.mmm2017,MotorsportManagerMobile2,45,VE,2017-10-01
com.eamobile.monopoly_row_wf,MONOPOLYGame,46,VE,2017-10-01
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,47,VE,2017-10-01
com.pockettrend.neomonsters,ネオモンスターズ,48,VE,2017-10-01
com.oddworld.Munch,Oddworld:Munch'sOddysee,49,VE,2017-10-01
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,50,VE,2017-10-01
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,51,VE,2017-10-01
com.lakoo.teonworld,Teon-AllFairHardcoreARPG,52,VE,2017-10-01
com.agaming.survive.tll,Survive:TheLostLands,53,VE,2017-10-01
com.giantssoftware.fs16,FarmingSimulator16,54,VE,2017-10-01
com.coffeestainstudios.goatsimulator.mmo,GoatSimulatorMMOSimulator,55,VE,2017-10-01
com.game.motorsportmanager,MotorsportManagerMobile,56,VE,2017-10-01
com.sega.sonic2,ソニック・ザ・ヘッジホッグ2™,57,VE,2017-10-01
com.scottgames.fnaf2,FiveNightsatFreddy's2,58,VE,2017-10-01
com.sigames.fmm2017,『FootballManagerMobile2017』,59,VE,2017-10-01
