app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,VE,2019-07-22
com.zigzagame.evertale,エバーテイル,2,VE,2019-07-22
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,3,VE,2019-07-22
com.robtopx.geometryjump,GeometryDash,4,VE,2019-07-22
com.ninjakiwi.bloonstd6,BloonsTD6,5,VE,2019-07-22
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),6,VE,2019-07-22
org.prowl.torque,TorquePro(OBD2/Car),7,VE,2019-07-22
com.chucklefish.stardewvalley,StardewValley,8,VE,2019-07-22
ch.threema.app,Threema,9,VE,2019-07-22
nz.co.codepoint.minimetro,ミニメトロ,10,VE,2019-07-22
com.marmalade.golmobile,TheGameofLife,11,VE,2019-07-22
smartwatchstudios.app.gears3navigation,NavigationPro:GoogleMapsNavionSamsungWatch,12,VE,2019-07-22
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,13,VE,2019-07-22
com.and.games505.TerrariaPaid,Terraria.,14,VE,2019-07-22
com.marmalade.cluedogame,Cluedo,15,VE,2019-07-22
com.and.games505.humanfallflat,ヒューマン：フォール・フラット,16,VE,2019-07-22
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,17,VE,2019-07-22
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,18,VE,2019-07-22
com.teslacoilsw.launcher.prime,NovaLauncherPrime,19,VE,2019-07-22
com.printedpropshop.dokkos2,DokkOS2,20,VE,2019-07-22
football.manager.games.fm19.mobile,FootballManager2019Mobile,21,VE,2019-07-22
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,22,VE,2019-07-22
com.okidokico.okgolf,OKGolf-OKゴルフ,23,VE,2019-07-22
uk.co.focusmm.DTSCombo,DrivingTheoryTest4in1Kit+HazardPerception,24,VE,2019-07-22
com.teamspeak.ts3client,TeamSpeak3-VoiceChatSoftware,25,VE,2019-07-22
com.jumpgames.RealSteel,RealSteel,26,VE,2019-07-22
com.prpr.musedash,MuseDash,27,VE,2019-07-22
com.agaming.thesun.origin,TheSun:Origin,28,VE,2019-07-22
com.giantssoftware.fs18.google,FarmingSimulator18,29,VE,2019-07-22
com.notdoppler.earntodie,EarntoDie,30,VE,2019-07-22
com.ninjakiwi.bloonstd5,BloonsTD5,31,VE,2019-07-22
com.FireproofStudios.TheRoom,TheRoom,32,VE,2019-07-22
com.astragon.cs2014,コンストラクションシミュレーター2014,33,VE,2019-07-22
com.GameCoaster.ProtectDungeon,ダンジョン守る,34,VE,2019-07-22
com.trueaxis.trueskate,TrueSkate,35,VE,2019-07-22
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,36,VE,2019-07-22
com.ravensburgerdigital.sanjuan,SanJuan,37,VE,2019-07-22
com.astragon.cs3,ConstructionSimulator3,38,VE,2019-07-22
org.twisevictory.apps,TheWonderWeeks,39,VE,2019-07-22
air.com.amanitadesign.chuchel.gp,CHUCHEL（チュチェル）,40,VE,2019-07-22
com.advasoft.touchretouch,TouchRetouch,41,VE,2019-07-22
com.t11.skyview,SkyView®ExploretheUniverse,42,VE,2019-07-22
com.zitga.ninja.stickman.legends.shadow.wars,StickmanLegends:ShadowWar-シャドウウォーオフライン格闘ゲーム,43,VE,2019-07-22
com.realdrift.sipon,RealDriftCarRacing,44,VE,2019-07-22
com.agaming.zonaprojectx,Z.O.N.AProjectX,45,VE,2019-07-22
com.noadsteam.gameboosterxs,"GameBoosterXS-GameTurbo,GameTunerFPSMeter",46,VE,2019-07-22
com.panda.gamepad,PandaGamepadPro(BETA),47,VE,2019-07-22
com.agaming.zonashadowoflemansk,Z.O.N.AShadowofLemansk,48,VE,2019-07-22
com.wb.goog.scribbleremix,ScribblenautsRemix,49,VE,2019-07-22
net.dinglisch.android.taskerm,Tasker,50,VE,2019-07-22
com.halfbrick.fruitninja,FruitNinjaClassic,51,VE,2019-07-22
uk.co.tso.ctt,OfficialDVSATheoryTestKit,52,VE,2019-07-22
com.marinetraffic.android,MarineTrafficshippositions,53,VE,2019-07-22
com.epsxe.ePSXe,ePSXeforAndroid,54,VE,2019-07-22
com.dotomchi.mysteryOfFortune3,ミステリーオブフォーチュン3,55,VE,2019-07-22
com.easytech.rome.android,大征服者：ローマ,56,VE,2019-07-22
com.t2ksports.nba2k19and,NBA2K19,57,VE,2019-07-22
com.simplemobiletools.gallery.pro,シンプルギャラリーPro,58,VE,2019-07-22
com.headupgames.bridgeconstructorplayground,BridgeConstructorPlayground,59,VE,2019-07-22
com.imageline.FLM,FLStudioMobile,60,VE,2019-07-22
com.imageline.FLM,FLStudioMobile,61,VE,2019-07-22
ch.feinheit.games.firststrike,FirstStrike:FinalHour,62,VE,2019-07-22
com.drycactus.polybridge,PolyBridge,63,VE,2019-07-22
com.panda.gamebooster,PandaGameBooster&GFXToolforBattleground,64,VE,2019-07-22
air.com.shirogames.evoland12,Evoland,65,VE,2019-07-22
com.tdr3.hs.android,HotSchedules,66,VE,2019-07-22
com.tocaboca.tocahairsalon3,TocaHairSalon3,67,VE,2019-07-22
com.atari.mobile.rctclassic,RollerCoasterTycoon®Classic,68,VE,2019-07-22
com.ravensburgerdigital.ScotlandYardHD,ScotlandYard,69,VE,2019-07-22
com.piratesoutlaws.fabledgame,PiratesOutlaws,70,VE,2019-07-22
com.pockettrend.neomonsters,ネオモンスターズ,71,VE,2019-07-22
com.nll.acr.license,ACRライセンス,72,VE,2019-07-22
com.vinwap.parallaxwallpaper,3DParallaxBackground-HDWallpapersin3D,73,VE,2019-07-22
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,74,VE,2019-07-22
org.peakfinder.area.alps,PeakFinderAR,75,VE,2019-07-22
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,76,VE,2019-07-22
com.uplayonline.youtubers,Youtuber'sLife(ユーチューバーのライフ)：ビデオブログのカリスマになろう！,77,VE,2019-07-22
com.scottgames.sisterlocation,FiveNightsatFreddy's:SL,78,VE,2019-07-22
com.greenheartgames.gdt,GameDevTycoon,79,VE,2019-07-22
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,80,VE,2019-07-22
com.pastagames.ro1mobile,レイマンジャングルラン,81,VE,2019-07-22
com.fds.infiniteflight,InfiniteFlight-フライトシミュレーター,82,VE,2019-07-22
org.kustom.widget.pro,KWGTKustomWidgetProKey,83,VE,2019-07-22
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,84,VE,2019-07-22
au.com.shiftyjelly.pocketcasts,PocketCasts-PodcastPlayer,85,VE,2019-07-22
com.rayark.cytus2,CytusII(サイタスⅡ),86,VE,2019-07-22
com.AngryNeighbor,AngryNeighbor,87,VE,2019-07-22
com.ironhidegames.android.kingdomrush4,キングダムラッシュの復讐(KingdomRushVengeance),88,VE,2019-07-22
com.rockstargames.bully,Bully:AnniversaryEdition,89,VE,2019-07-22
com.scottgames.fnaf2,FiveNightsatFreddy's2,90,VE,2019-07-22
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,91,VE,2019-07-22
inc.trilokia.pubgfxtool,PUBGfx+Tool🔧:#1GFXTool(withadvancesettings),92,VE,2019-07-22
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,93,VE,2019-07-22
com.playsportgames.mmm3,MotorsportManagerMobile3,94,VE,2019-07-22
cz.zdenekhorak.mibandtools,Tools&MiBand,95,VE,2019-07-22
net.techet.netanalyzer.an,NetworkAnalyzerPro,96,VE,2019-07-22
com.appstar.callrecorderpro,通話レコーダーPro,97,VE,2019-07-22
com.mxtech.videoplayer.pro,MXPlayerPro,98,VE,2019-07-22
com.tappytaps.android.babymonitor3g,ベビーモニター3G,99,VE,2019-07-22
com.nbeghin.whatsappmigrator,WazzapMigrator,100,VE,2019-07-22
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,101,VE,2019-07-22
com.utorrent.client.pro,µTorrent®Pro-TorrentApp,102,VE,2019-07-22
com.hg.townsmen7,TownsmenPremium,103,VE,2019-07-22
