app_id,app_name,rank,country_code,date
com.facebook.orca,Messenger,1,VN,2016-03-11
com.zing.zalo,Zalo,2,VN,2016-03-11
com.facebook.katana,Facebook,3,VN,2016-03-11
com.zing.mp3,ZingMP3,4,VN,2016-03-11
com.UCMobile.intl,UC　ブラウザ－それを高速にサーフィン,5,VN,2016-03-11
vStudio.Android.Camera360,カメラ360-Camera360美肌,6,VN,2016-03-11
com.garena.game.headvn,ChiếnDịchHuyềnThoại,7,VN,2016-03-11
com.facebook.lite,FacebookLite,8,VN,2016-03-11
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),9,VN,2016-03-11
com.halo.wifikey.wifilocating,WiFiMasterKey-bywifi.com,10,VN,2016-03-11
com.crisisaction.tapkich,TậpKích(CrisisAction),11,VN,2016-03-11
com.cleanmaster.mguard,CleanMaster[タスクキラー/ファイル削除],12,VN,2016-03-11
ht.nct,NhacCuaTui,13,VN,2016-03-11
com.cmplay.tiles2,ピアノタイル2,14,VN,2016-03-11
gsn.game.zingplaynew1,Tiếnlên-tienlen-ZingPlay,15,VN,2016-03-11
com.dianxinos.optimizer.duplay,DUSpeedBooster(Cleaner),16,VN,2016-03-11
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),17,VN,2016-03-11
com.dianxinos.dxbs,DUBatterySaver(バッテリー節電),18,VN,2016-03-11
com.cleanmaster.security,CMSecurity-無料セキュリティ，アプリロック,19,VN,2016-03-11
cn.jingling.motu.photowonder,PhotoWonder,20,VN,2016-03-11
com.vng.ngoisaothoitrang,NgôiSaoThờiTrang360Mobi,21,VN,2016-03-11
com.twincorp.bancaonline,iCá-BanCaOnline(Tết2016),22,VN,2016-03-11
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,23,VN,2016-03-11
net.mobigame.zombietsunami,ZombieTsunami,24,VN,2016-03-11
com.kits.projectp,OnetConnectAnimal,25,VN,2016-03-11
com.imangi.templerun2,TempleRun2,26,VN,2016-03-11
com.vng.inputmethod.labankey,LabanKeyGõtiếngViệt,27,VN,2016-03-11
com.kiloo.subwaysurf,SubwaySurfers,28,VN,2016-03-11
com.qihoo.security,360セキュリティ-アンチウイルス&ブースト,29,VN,2016-03-11
com.hitap.inputmethod,HitapKeyboard-MiniandFree,30,VN,2016-03-11
