app_id,app_name,rank,country_code,date
com.dts.freefireth,フリーファイア,1,VN,2018-10-27
com.garena.game.kgvn,GarenaLiênQuânMobile,2,VN,2018-10-27
com.percent.mybest3,Unniedoll,3,VN,2018-10-27
com.sinyee.babybus.tailor,ベビーパンダのファッションドレスアップゲーム,4,VN,2018-10-27
au2.audition.vtcgame.dancing.aumobile.gamethoitrang,Au2-ChuẩnStyleAudition-VTCGame,5,VN,2018-10-27
com.h8games.helixjump,HelixJump,6,VN,2018-10-27
com.smartida.onetclassic,PikachuConnectAnimal,7,VN,2018-10-27
com.riseup.game,RiseUp,8,VN,2018-10-27
vn.funtap.nhatkiemgiangho,NhấtKiếmGiangHồMobile-NhatKiemGiangHo,9,VN,2018-10-27
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),10,VN,2018-10-27
com.brokenreality.planemerger.android,MergePlane-Click&IdleTycoon,11,VN,2018-10-27
com.tsgame.nhanhnhuchop.dongu,Nhanhnhưchớp-Nhữngcâuhỏinguđốnguhạinão,12,VN,2018-10-27
com.qfun.vnyp,LãoGiaCátTường,13,VN,2018-10-27
com.percent.mybest,Oppadoll,14,VN,2018-10-27
com.mobile.legends,モバイル·レジェンド:BangBang,15,VN,2018-10-27
gsn.game.zingplaynew1,TiếnlênMiềnNam-TiếnLên-tienlen-ZingPlay,16,VN,2018-10-27
com.game5mobile.lineandwater,HappyGlass,17,VN,2018-10-27
com.kiloo.subwaysurf,SubwaySurfers,18,VN,2018-10-27
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,19,VN,2018-10-27
com.physics.sim.game.cat,HelloCats,20,VN,2018-10-27
com.playmini.miniworld,MiniWorldBlockArt,21,VN,2018-10-27
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,22,VN,2018-10-27
com.supercell.hayday,ヘイ・デイ(HayDay),23,VN,2018-10-27
io.hexargame.stringpaperio,String.io,24,VN,2018-10-27
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,25,VN,2018-10-27
com.king.candycrushsaga,キャンディークラッシュ,26,VN,2018-10-27
com.pixel.art.coloring.color.number,HappyColor–数字で塗り絵。数字で色ぬりえ,27,VN,2018-10-27
com.twincorp.bancaonline,iCá-BắnCáBầuCuaVNG,28,VN,2018-10-27
com.gamesofa.android.ongtrumpoker,ÔngtrùmPoker-Gamedanhbai,29,VN,2018-10-27
vn.kvtm.khuvuontrenmay,KhuVườnTrênMây-VNG,30,VN,2018-10-27
com.jetstartgames.chess,チェス,31,VN,2018-10-27
com.candyrufusgames.survivalcrafttrial,SurvivalcraftDemo,32,VN,2018-10-27
vn.vng.lgrvn,360mobiCờTỷPhú,33,VN,2018-10-27
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,34,VN,2018-10-27
com.gs5.cfm,CrossFire:Legends,35,VN,2018-10-27
chemhoaqua.chemtraicay.chemhoaqua3d,ChemHoaQua,36,VN,2018-10-27
com.nekki.shadowfight,シャドウファイト2,37,VN,2018-10-27
com.amanotes.beathopper,TilesHop:EndlessMusicJumpingBall,38,VN,2018-10-27
com.pubgmafia.gtacrime.stickman.crimegangster,GrandStickManVegasMafiaCrimeFightToSurvive,39,VN,2018-10-27
com.foranj.monsterfarm,モンスターファーム:おばけの村でハッピーハロウィン,40,VN,2018-10-27
com.greenteagames.dogracing3d,DogRun-PetDogSimulator,41,VN,2018-10-27
com.gta.real.gangster.crime,RealGangsterCrime,42,VN,2018-10-27
com.imangi.templerun2,TempleRun2,43,VN,2018-10-27
