app_id,app_name,rank,country_code,date
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,1,VN,2017-06-29
com.garena.game.kgvn,GarenaLiênQuânMobile,2,VN,2017-06-29
com.garena.game.fomvn,FIFAOnline3MVietNam,3,VN,2017-06-29
com.twincorp.bancaonline,iCá-BanCaOnline,4,VN,2017-06-29
com.gtarcade.lod,LegacyofDiscord-FuriousWings,5,VN,2017-06-29
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),6,VN,2017-06-29
com.and.riseofthekings,RiseoftheKings,7,VN,2017-06-29
com.gs5.cfm,Crossfire:Legends,8,VN,2017-06-29
com.garena.game.headvn,ChiếnDịchHuyềnThoại,9,VN,2017-06-29
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,10,VN,2017-06-29
com.nexon.dynastywarriors,DynastyWarriors:Unleashed,11,VN,2017-06-29
com.supercell.hayday,ヘイ・デイ(HayDay),12,VN,2017-06-29
com.igg.android.castleclashvn,CastleClash:QuyếtChiến,13,VN,2017-06-29
com.galasports.football,FootballMaster,14,VN,2017-06-29
com.droidhang.ad,IdleHeroes-無料放置育成RPG,15,VN,2017-06-29
com.kaiqigu.sanguo.th_gl,ThreeKingdoms:AgeofMachines,16,VN,2017-06-29
com.vnmc.vn,CứuThếRO,17,VN,2017-06-29
com.mobile.legends,モバイル·レジェンド:Bangbang【国別対抗5V5バトル】,18,VN,2017-06-29
com.funtap.vtqvn,VuaTamQuốc-3QTruyềnKỳ,19,VN,2017-06-29
com.camelgames.superking,WarandOrder,20,VN,2017-06-29
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),21,VN,2017-06-29
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,22,VN,2017-06-29
com.ucool.hero,ヒーローズチャージ(ヒロチャ・HeroesCharge),23,VN,2017-06-29
com.superevilmegacorp.game,Vainglory,24,VN,2017-06-29
com.epicwaronline.ms,モバイルストライク【MobileStrike】,25,VN,2017-06-29
com.vng.ngoisaothoitrang,NgôiSaoThờiTrang360Mobi,26,VN,2017-06-29
