app_id,app_name,rank,country_code,date
com.Medu.Freelancer.Simulator.inc.Game.Dev.Money.Clicker,FreelancerSimulatorInc:GameDevMoneyClicker,1,VN,2018-10-05
jp.co.capcom.mhsspen,MonsterHunterStories,2,VN,2018-10-05
com.THIRTEENDAYS.MarksLife,MARK'SLIFE,3,VN,2018-10-05
com.codengamesinc.cubesurvivor,CubeSurvivor,4,VN,2018-10-05
mycity.home,MyCity:ホーム,5,VN,2018-10-05
com.Level5.LT1REU,Layton:CuriousVillageinHD,6,VN,2018-10-05
com.pishgengames.traffic.road.racer,TrafficRoadRush,7,VN,2018-10-05
com.comomola.whereismyhat,私の帽子はどこ?,8,VN,2018-10-05
com.BigDade.ManguniSquad,ManguniSquad,9,VN,2018-10-05
com.natsume.hmloh,HarvestMoon:LightofHope,10,VN,2018-10-05
com.LoopyMood.AntVentor,AntVentor,11,VN,2018-10-05
com.longyoug.hmby,三國志漢末覇業,12,VN,2018-10-05
com.BloompieGames.MissileDiplomacy,ミサイルディプロマシー,13,VN,2018-10-05
programming.progressive.zeldania,Zelda,14,VN,2018-10-05
com.davdavgames.malti1,Malti-L-ewwelPass,15,VN,2018-10-05
se.hatrabbit.daydream.sh,SlightlyHeroes,16,VN,2018-10-05
com.digidiced.sxprelease,Stockpile,17,VN,2018-10-05
com.atypicalgames.chernobyl,エスケープ・フロム・チェルノブイリ,18,VN,2018-10-05
com.bigbluebubble.chaosreborn,ChaosReborn:Adventures,19,VN,2018-10-05
com.vcfpro,3DCARP2,20,VN,2018-10-05
com.SetEnterprices.SetMania,SETMania,21,VN,2018-10-05
com.NasarGames.ExtremeMountainDriving,ExtremeMountainDriving,22,VN,2018-10-05
sirec.net.viatadecartierdemo,ViataDeCartier,23,VN,2018-10-05
com.startception.meowapp_cat_sounds,MeowApp-CatSounds,24,VN,2018-10-05
com.massivewheel.RS_Hypogeum_A,RelicSeeker:Hypogeum,25,VN,2018-10-05
com.masonmacbeth.farmingworldggl,FarmingWorld2019,26,VN,2018-10-05
com.EylenGames.LightMan,Lightman,27,VN,2018-10-05
com.bbc.heyduggeeexplorer,HeyDuggee:TheExploringApp,28,VN,2018-10-05
org.blackwot.scummap,SCUMMap,29,VN,2018-10-05
com.OritaleGames.JadiPresiden,JadiPresiden,30,VN,2018-10-05
com.frojo.moyPaid,Moy-AVirtualPetGame,31,VN,2018-10-05
com.BrahnGames.HelpMeEscape,HelpMeEscape!ThePuzzleMaker'sOffice,32,VN,2018-10-05
org.godotengine.androidprojectbh,Jellyhell,33,VN,2018-10-05
com.peterbekos.rpsttt,RPSTTT-RockPaperScissorsxTicTacToe,34,VN,2018-10-05
air.com.littlebigplay.games.premium.idiomsgamepro,IdiomsGamePRO,35,VN,2018-10-05
com.ENR_GAMEDAY.Thirteen_PUZZLE_ROOMS,13のパズル室,36,VN,2018-10-05
org.cmdr2.speedsurfer,SpeedSurfer,37,VN,2018-10-05
dk.minitutor.laesekoden,CracktheReadingCode-英語の読みを学びます,38,VN,2018-10-05
com.WhileTrue.farming.simulation.farmer.pro,RealFarmingSimulator2018Pro,39,VN,2018-10-05
com.canopyltd.dox,DOX:APuzzleGame,40,VN,2018-10-05
com.alfaebetosolucoes.ilhasdoalfabeto,IlhasdoAlfabeto,41,VN,2018-10-05
com.dowino.smokitten,Smokitten,42,VN,2018-10-05
com.JRPG.NovelsZombie,超能力でゾンビと戦うRPG,43,VN,2018-10-05
com.foxtox.owlee.paid,Owlee,44,VN,2018-10-05
com.granny.grannyhousewife,GrannyHousewifeScary,45,VN,2018-10-05
com.artifexmundi.pathofsin1.gp.full,罪の道:強欲(Full),46,VN,2018-10-05
air.com.littlebigplay.games.premium.wordsearchfun,WordSearchFun-Premium,47,VN,2018-10-05
appinventor.ai_eddie_rar.FacaNoBolso,FacanoBolso,48,VN,2018-10-05
com.IndiGoGames.ShelterDefense,ShelterDefense,49,VN,2018-10-05
com.TocanaDev.PreventiveStrike,PreventiveStrike,50,VN,2018-10-05
in.firstseed.grandson,QuestofVidhuraa,51,VN,2018-10-05
com.trigger_memory.timestales_full,TimesTales,52,VN,2018-10-05
com.kAPPtan.crazyball,RefleksOyunu-EğlenceliOyunlar,53,VN,2018-10-05
com.brittpoplin.stackAndBomb,StackAndBomb,54,VN,2018-10-05
air.com.littlebigplay.games.premium.guessandfind,Guess&FindPRO,55,VN,2018-10-05
com.cascadiagames.ammopigsad,AmmoPigs:ArmedandDelicious,56,VN,2018-10-05
com.GZstudio.TDZPremium,T.D.Z.2МертваяЗонаFull,57,VN,2018-10-05
air.keystonekaperssimulator,KeystoneKapersSimulator,58,VN,2018-10-05
iddaa.alt.ust,iddaaaltüst,59,VN,2018-10-05
com.fkkcloud.bestluckdroid,BestLuck-切ないアドベンチャーゲーム,60,VN,2018-10-05
com.noxbix.sacredstonesmobile,SacredStonesMobile,61,VN,2018-10-05
com.retrogbc.pro,RetroGBCPro-GBCEmulator,62,VN,2018-10-05
com.ludomo.townslider,FarmSlider,63,VN,2018-10-05
com.BoxIndustries.juegoandroid,BirdHunt,64,VN,2018-10-05
com.touchpress.twistedmanor.paid.android.googleplay,TwistedManor,65,VN,2018-10-05
com.twofoxapps.pegsolitaire,PegSolitaire(SoloNoble)-Aclassicpuzzle,66,VN,2018-10-05
witchesmemory.rogueanvil.com,WitchesMemory,67,VN,2018-10-05
air.de.multiverso.EinZweiDreiTier,EinsZweiDreiTier,68,VN,2018-10-05
com.biospheregame.rainbowenglishvocabulary1,RainbowEnglish2класс.Словарь1часть,69,VN,2018-10-05
com.infinityslay.littlerobbypro,LittleRobbyPro,70,VN,2018-10-05
com.tutotoons.app.pandalufriends.full,PandaLu&FriendsFULL,71,VN,2018-10-05
com.mwojnar.Dribble.android,Dribble,72,VN,2018-10-05
com.zxz.jumpdungeon,BouncingHero,73,VN,2018-10-05
com.venomgames.spoonhead,SpoonHead,74,VN,2018-10-05
tk.touchshriekdev.nationsimulatorpro,NationSimulatorPRO,75,VN,2018-10-05
com.PoshFlamingo.Muksi,Muksi,76,VN,2018-10-05
com.internauts.Kultour,KultourKidsBerlin,77,VN,2018-10-05
com.mentallab.picknplace,PicknPlace,78,VN,2018-10-05
au.elegantmedia.safaribingo,SafariBingo–AfricaEdition,79,VN,2018-10-05
com.mafia.milk.mywokr04,MafiaMCbot,80,VN,2018-10-05
banko.maclar,bankomaçlar,81,VN,2018-10-05
air.com.kcgapps.deafstories,‫اجملالقصصوالألعاب(تدعملغةالاشارةللصم)‬‎,82,VN,2018-10-05
com.shikunovsstudio.gettothegeneralpro,GettotheGeneralPRO-ПолучиГенералакликер,83,VN,2018-10-05
com.youareasunflowergame.org,YouareaSunflower,84,VN,2018-10-05
com.GreenBlue.ShadowPlay,ShadowPlay,85,VN,2018-10-05
air.com.littlebigplay.games.premium.connecthearts,ConnectHeartsPRO,86,VN,2018-10-05
com.fanswerin.nbc3dunk,NewBasketballCoach3PRO,87,VN,2018-10-05
com.BBopAndFriends.BBopAndFriends3DWorld,B'BopandFriends3DWorld,88,VN,2018-10-05
com.mndalex.spacegame,SpaceShooter,89,VN,2018-10-05
com.longamestudio.flyinthesoup,FlyinTheSoup,90,VN,2018-10-05
io.nonostante.games.klac,コラク(KLAC),91,VN,2018-10-05
com.angrychickengames.ambit,AmbitRush,92,VN,2018-10-05
com.Daldi.Tripimg.Learming,BasicsCampingFieldTripinForest,93,VN,2018-10-05
com.knowledgemouse.quizgame,QuizGamefromKnowledgeMouse,94,VN,2018-10-05
com.eclipse.zombie,GrannyisZombieMod,95,VN,2018-10-05
com.loryfavre99.rich,therichest,96,VN,2018-10-05
com.timmyyeol.iqtask,Logicute-logictasks,97,VN,2018-10-05
com.DragonDustGames.labyrinth.adventure.puzzle.riddle.ancient.tomb,AncientTombAdventure-LabyrinthPuzzle&Riddle,98,VN,2018-10-05
com.LolindirLink.NinetyDegreesPro,90Degrees-AMaze,99,VN,2018-10-05
com.dctmedia.shapesdeluxe,SHAPE-thepicturetriviaquiz,100,VN,2018-10-05
com.monirhussen786.AntSmasher,Monirnewapps,101,VN,2018-10-05
com.alimorgan.slippypro,SlippyThief,102,VN,2018-10-05
com.SimpleGames2018.equilibriumautumn,EquilibriumAutumn,103,VN,2018-10-05
com.companyname.KnightOfDaysexe,KnightOfDaysExe,104,VN,2018-10-05
appinventor.ai_jeffoswald68.MuellersWitchHunt,Mueller'sWitchHunt,105,VN,2018-10-05
com.retronds.pro,RetroNDSPro-NDSEmulator,106,VN,2018-10-05
eu.mcfoi.android.tablebay,TableBay,107,VN,2018-10-05
com.sololaunches.www.guessthemoviehollywood,GuesstheHollywoodMoviesoundtrack,108,VN,2018-10-05
betin.viptips,BETINVIPTIPS,109,VN,2018-10-05
com.eblireads.Space,ReadingAdventureswithBooker#2EBLISpace,110,VN,2018-10-05
com.hamazkayin.worldofcolorsarabic,WorldofColors-RanawaRami,111,VN,2018-10-05
games.unusual.searchingunknown,EmBuscadoDesconhecido,112,VN,2018-10-05
com.StormingTech.EscapeLegacyVR,EscapeLegacyVR-VirtualRealityAdventureGame,113,VN,2018-10-05
com.masonmacbeth.recoveryworldggl,RecoveryTruckWorld2019,114,VN,2018-10-05
com.Matinaque.Colors,TapColors,115,VN,2018-10-05
com.letsoftware.piratesroulette,Pirate'sRoulette,116,VN,2018-10-05
com.BTstudios.Deadlytrapsactionplatformer,DeadlyTrapsPremium-AdventureofHell,117,VN,2018-10-05
com.studioez.keepthelinepay,キャッスルを守れ-VIPEdition,118,VN,2018-10-05
co.za.insomniagames.sp33dyhighwayking,SP33D-HighwayKing,119,VN,2018-10-05
com.ExpeCode.UniverseUnderFire,UniverseUnderFire,120,VN,2018-10-05
com.RisingWin.Gunplay,DestructionM,121,VN,2018-10-05
com.TilltheEnd0.android,TilltheEnd,122,VN,2018-10-05
esb.dangerousdilbertfull.com,DangerousDilbert,123,VN,2018-10-05
com.SimpleGames2018.slidingpuzzleautumn,SlidingPuzzleAutumn,124,VN,2018-10-05
com.sote.mittens,MittensKittens,125,VN,2018-10-05
com.PlebNation.NitrousFull,Nitrous(ALPHA),126,VN,2018-10-05
com.fastudio.repartidoraccesible,RepartidordepizzasAccesibleDonación,127,VN,2018-10-05
com.TimeTechSol.BricksBreakerInfinity.pro,BricksBreakerInfinityPro,128,VN,2018-10-05
it.sungate.yurulings,Yu-Rulings:YuGiOhEdition,129,VN,2018-10-05
com.JRPGNovels.Psychic,PsychicVSZombieJRPG,130,VN,2018-10-05
com.BSCLabs.DartsARPro,DartsARPro,131,VN,2018-10-05
org.godotengine.pocketcamping,PocketCamping,132,VN,2018-10-05
com.daygames.kob2.android.full,KingofBooze2Full:DrinkingGame,133,VN,2018-10-05
com.mentallab.mazeswap,MazeSwap-Thinkandrelax,134,VN,2018-10-05
air.com.littlebigplay.games.premium.spellingbook,SpellingBookPRO,135,VN,2018-10-05
com.tokatcc.tokatccgamesinc,TokaGames,136,VN,2018-10-05
com.vedomostni.kviz,Vědomostníkvíz,137,VN,2018-10-05
com.LaFactoria.Maker,TerrificMathsforkids,138,VN,2018-10-05
cn.hundredweek.xiyouqishierbian_pay,西游七十二变增值版,139,VN,2018-10-05
iddaa.oran.sike,iddaaoranşike,140,VN,2018-10-05
com.santaragione.woa,WheelsofAurelia,141,VN,2018-10-05
com.kzsoftware.shmobilefull,SilentHillsMobile,142,VN,2018-10-05
com.bg.cpgbr,Counter-Pixel:GobattleRoyale,143,VN,2018-10-05
com.LlamaCo.YardsaleTip,Yardsale-TipEdition,144,VN,2018-10-05
air.com.littlebigplay.premium.games.wordcage,WordCagePRO,145,VN,2018-10-05
com.masonmacbeth.pocketfarmggl,PocketFarm,146,VN,2018-10-05
com.ian_nasciment19.Pegue_a_Jujubapremium,PegueaJujuba(Pró),147,VN,2018-10-05
com.oneserviceplace.ultimatesurvival,SurvivalCraftingZombies,148,VN,2018-10-05
com.iceblinkengine.ibb.lanternaexile,Lanterna-TheExile(IBbasicRPG),149,VN,2018-10-05
com.RandomiaGaming.DM,Don'tMelt!,150,VN,2018-10-05
hotchpotch.games.jump.jolt,JumpJolt,151,VN,2018-10-05
com.rockadudle.game.defensa,Defensa,152,VN,2018-10-05
net.MouseEclipseGames.DreamCatcher,DreamCatcher3D,153,VN,2018-10-05
com.brightmoon.recklessridechopper,RecklessRideHelicopter,154,VN,2018-10-05
com.masonmacbether.excavatorworldggl,ExcavatorWorld2019,155,VN,2018-10-05
com.app.vowels.spanish.paid,VocalesPro,156,VN,2018-10-05
com.icehawkstudios.tunnelbounce,TunnelBounce,157,VN,2018-10-05
com.whalloweenslinger_7920271,halloweenslinger,158,VN,2018-10-05
com.celio.celio,SprayDinamiteXInsetosRadioativos,159,VN,2018-10-05
com.minzaogames.thelastbattery,TheLastBattery,160,VN,2018-10-05
ruigouveia.opps.appsgames12121967,Opps,161,VN,2018-10-05
appinventor.ai_ames0510.VorsichtbissigerHund,NerdIQTestGame!Rock10IQLevels!GetNerdIQ!,162,VN,2018-10-05
com.jejekids.pipipopo,PipiPopo,163,VN,2018-10-05
com.KaremAmin.Kekoo,kekoo,164,VN,2018-10-05
com.cve.meatpossible,MeatPossible:Chapter1.5,165,VN,2018-10-05
com.shikunovsstudio.gettothepresidentpro,GettothePresidentPRO-ПолучиПрезидентаКлик,166,VN,2018-10-05
com.KnockOutGames.TheRoyalGameOfUrPremium,TheRoyalGameofUr:Premiumversion,167,VN,2018-10-05
com.inarcade.supaplexhard,SupaplexHARD,168,VN,2018-10-05
