app_id,app_name,rank,country_code,date
com.icenta.sudoku,SudokuPremium,1,VN,2017-09-13
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),2,VN,2017-09-13
com.gazillion.dexterslice,DexterSlice,3,VN,2017-09-13
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,4,VN,2017-09-13
me.dreamsky.stickman,LeagueofStickman2017-Ninja,5,VN,2017-09-13
com.ninjakiwi.fortressdestroyer,Fortress:Destroyer,6,VN,2017-09-13
com.agaming.survive.tll,Survive:TheLostLands,7,VN,2017-09-13
com.longtongcom.monsterfantasy,MonsterFantasy:WorldChampion,8,VN,2017-09-13
com.NeatNombat.BehindTheDoor,BehindTheDoor,9,VN,2017-09-13
com.errorsevendev.games.hexasmashPro,HexasmashPro-WreckingBallPhysicsPuzzle,10,VN,2017-09-13
com.forever.iesabel,Iesabel,11,VN,2017-09-13
com.buggames.MS,MontaSayerPRO,12,VN,2017-09-13
com.buggames.CLP,CosmoLands|PremiumEdition,13,VN,2017-09-13
com.nodetrack.angle,AngL,14,VN,2017-09-13
com.inkstories.blackfriday,1979Revolution:BlackFriday,15,VN,2017-09-13
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,16,VN,2017-09-13
com.pockettrend.neomonsters,ネオモンスターズ,17,VN,2017-09-13
com.tronlogics.threetowerspro,ThreeTowers:ThePuzzleGame(Premium),18,VN,2017-09-13
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,19,VN,2017-09-13
com.DayVStudios.TheHauntingOfWillowHill,TheHauntingofWillowHill,20,VN,2017-09-13
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,21,VN,2017-09-13
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:StickmanWarZ-ゾンビ,22,VN,2017-09-13
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,23,VN,2017-09-13
ccdlvc.com.autovltkmobile,AutoVõLâmTruyềnKỳMobile(RootNeeded),24,VN,2017-09-13
com.squareenixmontreal.hitmango,HitmanGO,25,VN,2017-09-13
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン,26,VN,2017-09-13
com.venomizedart.Slaughter,Slaughter,27,VN,2017-09-13
com.precisit.custodiansofspace,CustodiansofSpace,28,VN,2017-09-13
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,29,VN,2017-09-13
com.ustwo.monumentvalley,モニュメントバレー,30,VN,2017-09-13
com.buggames.STFULL,SurvivalTimeFULL,31,VN,2017-09-13
com.hg.townsmen7,TownsmenPremium,32,VN,2017-09-13
com.FireproofStudios.TheRoom,TheRoom,33,VN,2017-09-13
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,34,VN,2017-09-13
com.STRONGANDROID.CrazzzyAqurium,InsaneAquriumDeluxe,35,VN,2017-09-13
com.nerdyyetis.spacefuss,SpaceFuss,36,VN,2017-09-13
com.astragon.cs2014,コンストラクションシミュレーター2014,37,VN,2017-09-13
com.jumpgames.pacificrim,PacificRim,38,VN,2017-09-13
com.candysoft.SlimeFlight,SlimeFlight,39,VN,2017-09-13
com.DioAliasGames.BattleOfPainters,DrawOnline:BattleofPainters,40,VN,2017-09-13
com.turner.cardwars,CardWars-AdventureTime,41,VN,2017-09-13
com.Artists.AliensomeFindItKids,Aliensome:123FindIt!,42,VN,2017-09-13
com.agaming.mentalhospitalV,MentalHospitalV,43,VN,2017-09-13
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,44,VN,2017-09-13
com.robtopx.geometryjump,GeometryDash,45,VN,2017-09-13
com.epsxe.ePSXe,ePSXeforAndroid,46,VN,2017-09-13
com.hamsteroncoke.zenge,Zenge,47,VN,2017-09-13
com.freeholdgames.sproggiwood,Sproggiwood,48,VN,2017-09-13
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,49,VN,2017-09-13
com.rockstar.gta3,GrandTheftAutoIII,50,VN,2017-09-13
com.teachyourmonstertoread.tmapp,TeachYourMonstertoRead-PhonicsandReading,51,VN,2017-09-13
com.squareenixmontreal.lcgo,LaraCroftGO,52,VN,2017-09-13
com.turner.superstarsoccer2,CNSuperstarSoccer:Goal!!!,53,VN,2017-09-13
com.madfingergames.SamuraiIIAll,SamuraiII:Vengeance,54,VN,2017-09-13
kr.co.roigames.whiteday.g,TheSchool:WhiteDay,55,VN,2017-09-13
com.trueaxis.trueskate,TrueSkate,56,VN,2017-09-13
com.nekki.shadowfight2.paid,ShadowFight2SpecialEdition,57,VN,2017-09-13
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,58,VN,2017-09-13
ilmfinity.evocreo.main.android,EvoCreo,59,VN,2017-09-13
com.and.games505.TerrariaPaid,Terraria.,60,VN,2017-09-13
com.cig.homebehind,HomeBehind,61,VN,2017-09-13
com.ninjakiwi.bloonstd5,BloonsTD5,62,VN,2017-09-13
