app_id,app_name,rank,country_code,date
com.igg.android.lordsmobile,ロードモバイル,1,VN,2018-08-13
sg.bigo.live,BIGOLIVE（ビゴライブ)‐SNS系ライブ配信,2,VN,2018-08-13
com.garena.game.kgvn,GarenaLiênQuânMobile,3,VN,2018-08-13
com.dts.freefireth,フリーファイア,4,VN,2018-08-13
com.twincorp.bancaonline,iCá-BắnCáBầuCuaVNG,5,VN,2018-08-13
com.lin2vn,Lineage2RevolutionVietnam,6,VN,2018-08-13
com.tencent.ig,PUBGMOBILE,7,VN,2018-08-13
com.google.android.apps.docs,Googleドライブ,8,VN,2018-08-13
com.and.riseofthekings,RiseoftheKings,9,VN,2018-08-13
com.vgm.vhkn,VĩnhHằngKỷNguyên,10,VN,2018-08-13
com.qfun.vnyp,LãoGiaCátTường,11,VN,2018-08-13
com.gs5.cfm,CrossFire:Legends,12,VN,2018-08-13
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,13,VN,2018-08-13
com.droidhang.ad,IdleHeroes-無料放置育成RPG,14,VN,2018-08-13
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),15,VN,2018-08-13
vn.kvtm.khuvuontrenmay,KhuVườnTrênMây-VNG,16,VN,2018-08-13
gsn.game.zingplaynew1,TiếnlênMiềnNam-TiếnLên-tienlen-ZingPlay,17,VN,2018-08-13
com.rxh.karaokenow,KaraokeNow,18,VN,2018-08-13
com.igg.android.castleclashvn,CastleClash:QuyếtChiến,19,VN,2018-08-13
com.rastargames.ftp,FantasyBlade,20,VN,2018-08-13
gsn.game.zingplaytala,TúLơKhơ-TáLả-Phỏm-TalaZingPlay,21,VN,2018-08-13
com.jedigames.p20.googleplay,我が天下【世界配信2周年】,22,VN,2018-08-13
com.pp.ptm,ĐấuTiênĐàiVNG,23,VN,2018-08-13
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,24,VN,2018-08-13
com.mngo.knights,PocketKnights2,25,VN,2018-08-13
com.netmarble.mherosgb,マーベル・フューチャーファイト,26,VN,2018-08-13
com.highmorale.kingdomcraft,KingdomCraft,27,VN,2018-08-13
com.netease.chiji,RulesofSurvival,28,VN,2018-08-13
com.herogames.gplay.weracevn,CùngĐua:SiêuTốcĐộ3D,29,VN,2018-08-13
com.nexon.da3.global,DarknessRises,30,VN,2018-08-13
com.camelgames.superking,WarandOrder,31,VN,2018-08-13
com.funtap.vtqvn,VuaTamQuốc-3QTruyềnKỳ,32,VN,2018-08-13
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),33,VN,2018-08-13
com.hcg.cok.gp,クラッシュオブキングス:TheKingOfFightersスペシャルバージョン,34,VN,2018-08-13
com.wyd.gunpow,GunPow-BắnGàTeenPK,35,VN,2018-08-13
com.supercell.hayday,ヘイ・デイ(HayDay),36,VN,2018-08-13
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),37,VN,2018-08-13
com.special.warship,戦艦ファイナル-最後の戦い（最後の海戦を舞台にしたSLGの最高傑作）,38,VN,2018-08-13
com.igg.castleclash,CastleClash,39,VN,2018-08-13
com.aniplex.fategrandorder.en,Fate/GrandOrder(English),40,VN,2018-08-13
com.gmt.ngaothien,NgạoThiênMobile,41,VN,2018-08-13
com.dautruong.lienquanpokevn,LiênQuânPoke-LienQuanPoke,42,VN,2018-08-13
com.xsl.td,ĐàoVàngTâyDuKý,43,VN,2018-08-13
com.miHoYo.bh3oversea,HonkaiImpact3,44,VN,2018-08-13
com.nexon.maplem.global,MapleStoryM,45,VN,2018-08-13
com.gs2.omg,OMG3Q–Đấutướngchiếnthuậtcựcmạnh,46,VN,2018-08-13
com.angame.gunnymobi.vn,GunnyMobi-BắnGàTeen&Cute,47,VN,2018-08-13
com.garena.game.yysvn,ÂmDươngSư-Onmyoji,48,VN,2018-08-13
com.game.idle.fantasy,TrialsofHeroes,49,VN,2018-08-13
com.mobile.legends,モバイル·レジェンド:BangBang,50,VN,2018-08-13
com.netease.g78na.gb,決戦！平安京,51,VN,2018-08-13
gsn.game.zingplaynew,CổnggameZingPlay-Gamebài-Gamecờ-Tiếnlên,52,VN,2018-08-13
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),53,VN,2018-08-13
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,54,VN,2018-08-13
com.zing.mp3,ZingMP3,55,VN,2018-08-13
com.lilithgame.roc.gp,RiseofCivilizations,56,VN,2018-08-13
