app_id,app_name,rank,country_code,date
com.rockstargames.bully,Bully:AnniversaryEdition,1,VN,2016-12-21
com.candyrufusgames.survivalcraft2,Survivalcraft2,2,VN,2016-12-21
com.tocaboca.tocahairsalon3,TocaHairSalon3,3,VN,2016-12-21
com.threeminutegames.lifelinehalftoinfinitygoog,Lifeline：無限の途中,4,VN,2016-12-21
amanita_design.samorost3.GP,Samorost3（サモロスト3）,5,VN,2016-12-21
com.ea.gp.nfs14vr,NeedforSpeed™NoLimitsVR,6,VN,2016-12-21
com.tocaboca.tocastable,TocaLife:Stable,7,VN,2016-12-21
com.glutenfreegames.ultimatebirdsimulator,UltimateBirdSimulator,8,VN,2016-12-21
com.choiceofgames.versus2,VERSUS:TheEliteTrials,9,VN,2016-12-21
com.vblank.RCRDX,RetroCityRampageDX,10,VN,2016-12-21
net.kairosoft.android.bokujou_ja,開園ピクセル牧場,11,VN,2016-12-21
com.codemasters.f12016,F12016,12,VN,2016-12-21
com.sonymobile.themes.blackmarble,XPERIA™BlackMarbleTheme,13,VN,2016-12-21
com.pjmasks.superchase,PJMasks:SuperCityRun,14,VN,2016-12-21
com.monpetitgazon.monpetitgazonapp,MonPetitGazon,15,VN,2016-12-21
com.bowengames.farmingusa2,FarmingUSA2,16,VN,2016-12-21
com.ccpgames.gunjack2,Gunjack2:EndofShift,17,VN,2016-12-21
com.atypicalgames.radiationisland,RadiationIsland,18,VN,2016-12-21
jp.co.korg.kaossilator.android,KORGKaossilatorforAndroid,19,VN,2016-12-21
com.asmodeedigital.coltexpress,ColtExpress,20,VN,2016-12-21
com.easytech.ew5.android,欧陸戦争5：帝国,21,VN,2016-12-21
com.spryfox.roadnottaken,RoadNotTaken,22,VN,2016-12-21
com.tomorrowcorporation.humanresourcemachine,HumanResourceMachine,23,VN,2016-12-21
com.sagosago.PuppyPark.googleplay,サゴミニ子犬ようちえん,24,VN,2016-12-21
com.channel4.weregoingonabearhunt,We'reGoingonaBearHunt,25,VN,2016-12-21
com.NuxStudios.Wands,Wands,26,VN,2016-12-21
com.vertumus.praos,Praos-IconPack,27,VN,2016-12-21
com.sixwaves.sherlockvr,SherlockVR,28,VN,2016-12-21
com.kikkos.lone4subs,[Substratum]LoNe4SuBs,29,VN,2016-12-21
com.lonewolfgames.rescueenchanter,魔法使いを救出せよ,30,VN,2016-12-21
com.inkstories.blackfriday,1979Revolution:BlackFriday,31,VN,2016-12-21
com.zoobe.peanuts,PeanutsStoryGIF–Christmas,32,VN,2016-12-21
au.com.cocreations.woodford2016,WoodfordApp2016,33,VN,2016-12-21
com.bigfishgames.pslsgoogfull,パペットショー：稲妻の呪い(Full),34,VN,2016-12-21
com.blooberteam.lofvr,LayersofFear:Solitude,35,VN,2016-12-21
com.va.aeb,ArcherE.Bowman,36,VN,2016-12-21
com.lge.theme.dark.material,DarkMaterialthemeforLGV20,37,VN,2016-12-21
com.motto.demikeyboard,DemiLovatoStickers,38,VN,2016-12-21
uk.co.iscoutfmm.fmm2017scout,iScoutFMM2017,39,VN,2016-12-21
com.artifexmundi.lostgrimoires.gp.full,ロスト･グリモワール(Full),40,VN,2016-12-21
com.foxandsheep.animaldoctor,LittleFoxAnimalDoctor,41,VN,2016-12-21
com.subs.compound,CompoundforSubstratum,42,VN,2016-12-21
jp.co.capcom.gyakusai4en,ApolloJusticeAceAttorney,43,VN,2016-12-21
com.headupgames.retrowintersports,RetroWinterSports1986,44,VN,2016-12-21
se.thegreen.happyholidays,HappyHolidaysforXperia™,45,VN,2016-12-21
com.oceanhouse_media.DAOMArchangelGabriel,ArchangelGabrielGuidance,46,VN,2016-12-21
com.meditationstudio,MeditationStudio,47,VN,2016-12-21
com.elfontheshelf.ElfPets2,ElfPetsPup—ElfontheShelf,48,VN,2016-12-21
com.firerabbit.games.fmc.mad.full,車を修理する:マッドロードメカニック-マックスメイヘム,49,VN,2016-12-21
com.questlab.cleanhorizon,Книга-играСимбионт2,50,VN,2016-12-21
hu.redshift.thequestexp1,TheQuest-IslesofIce&Fire,51,VN,2016-12-21
com.ionicframework.myapp906603,PulpMX,52,VN,2016-12-21
com.imayi.dinodigger2,DinosaurDigger2,53,VN,2016-12-21
de.guj.flow2017,flowKalender2017,54,VN,2016-12-21
se.thegreen.xv,XVforXperia™,55,VN,2016-12-21
intellidesigns.enigma.substratum,[Substratum]Enigma,56,VN,2016-12-21
com.kohlewrrk.reverie.subs,ReverieSubstratumTheme,57,VN,2016-12-21
com.bbc.heyduggeeweloveanimals,HeyDuggee:WeLoveAnimals,58,VN,2016-12-21
com.Knap.mummy,WHO'SYOURMUMMYCRAFTEDITION,59,VN,2016-12-21
ro.lambdastudios.tvromania,TVROMANIA,60,VN,2016-12-21
com.beeartgames.jackshouse_full,開発ゲーム-Jack’sHouse,61,VN,2016-12-21
com.DS.DDSPro,DerbyDemolitionSimulatorPro,62,VN,2016-12-21
com.DeadMage.EOK,EpicofKings,63,VN,2016-12-21
com.lge.theme.red,VectorThemeforLGV20LGG5,64,VN,2016-12-21
com.everbytestudio.metanoia,METANOIA,65,VN,2016-12-21
ru.solandme.washwait,МетеоМойка-можномытьмашину,66,VN,2016-12-21
