app_id,app_name,rank,country_code,date
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,1,VN,2017-11-12
com.mojang.minecraftpe,Minecraft,2,VN,2017-11-12
me.dreamsky.stickman,LeagueofStickman2017-Ninja,3,VN,2017-11-12
com.sigames.fmm2018,FootballManagerMobile2018,4,VN,2017-11-12
com.ustwo.monumentvalley2,MonumentValley2,5,VN,2017-11-12
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,6,VN,2017-11-12
com.gamefirst.chibisurvivorlord,ChibiSurvivor-WeatherLordPRO,7,VN,2017-11-12
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),8,VN,2017-11-12
ccdlvc.com.autovltkmobile,AutoVõLâmTruyềnKỳMobile(RootNeeded),9,VN,2017-11-12
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,10,VN,2017-11-12
com.kunkunsoft.packagedisabler,BKPackageDisabler(Android),11,VN,2017-11-12
com.fotoable.palette.paris,PaletteParis-パレットパリ,12,VN,2017-11-12
net.lgdestek.ghostscreenfix,GhostScreen,13,VN,2017-11-12
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:StickmanWarZ-ゾンビ,14,VN,2017-11-12
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン,15,VN,2017-11-12
com.visiblebody.atlas,ヒューマン･アナトミー･アトラス2017エディション,16,VN,2017-11-12
com.quvideo.xiaoying.pro,VivaVideoPRO:ビデオエディタ＆動画編集アプリ,17,VN,2017-11-12
com.oasisfeng.greenify.pro,Greenify(DonationPackage),18,VN,2017-11-12
com.fantablade.icey,ICEY,19,VN,2017-11-12
com.teslacoilsw.launcher.prime,NovaLauncherPrime,20,VN,2017-11-12
com.luutinhit.sensorsforconverpro,スマートスクリーンオン/オフプロ,21,VN,2017-11-12
eu.thedarken.sdm.unlocker,SDメイドPro-ライセンスキー,22,VN,2017-11-12
com.pockettrend.neomonsters,ネオモンスターズ,23,VN,2017-11-12
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,24,VN,2017-11-12
com.robtopx.geometryjump,GeometryDash,25,VN,2017-11-12
com.estrongs.android.pop.pro,ESFileExplorer/ManagerPRO,26,VN,2017-11-12
com.nll.acr.license,ACRライセンス,27,VN,2017-11-12
com.jpbrothers.android.pictail.sub9,PICTAIL-JungBug,28,VN,2017-11-12
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,29,VN,2017-11-12
com.callrecord.autopro,callrecorderpro,30,VN,2017-11-12
