app_id,app_name,rank,country_code,date
com.whatsapp,WhatsAppMessenger,1,ZA,2018-08-30
com.lenovo.anyshare.gps,SHAREit-Transfer&Share,2,ZA,2018-08-30
com.facebook.orca,Messenger,3,ZA,2018-08-30
com.facebook.lite,FacebookLite,4,ZA,2018-08-30
com.google.android.apps.searchlite,"GoogleGo:Alighter,fasterwaytosearch",5,ZA,2018-08-30
com.opera.mini.native,OperaMiniWebブラウザ,6,ZA,2018-08-30
com.facebook.mlite,MessengerLite:無料通話とメッセージ,7,ZA,2018-08-30
com.instagram.android,Instagram,8,ZA,2018-08-30
capitecbank.remote.prd,CapitecRemoteBanking,9,ZA,2018-08-30
com.alibaba.aliexpresshd,AliExpress-スマートにお買い物して、より良い暮らしを,10,ZA,2018-08-30
com.word.puzzle.game.connect,WordLink,11,ZA,2018-08-30
com.facebook.katana,Facebook,12,ZA,2018-08-30
com.spotify.music,Spotify-世界最大の音楽ストリーミングサービス,13,ZA,2018-08-30
ee.mtakso.client,Taxify,14,ZA,2018-08-30
com.snapchat.android,Snapchat,15,ZA,2018-08-30
za.co.fnb.connect.itt,FNBBankingApp,16,ZA,2018-08-30
com.aiofast.cleaner,PhoneBoosterCacheClean,17,ZA,2018-08-30
com.omni.cleaner,OmniCleaner-PowerfulCacheClean,18,ZA,2018-08-30
com.fortune.sim.game.cash,HelloStars,19,ZA,2018-08-30
com.google.android.apps.youtube.mango,YouTubeGo,20,ZA,2018-08-30
com.dailyselfie.newlook.studio,SweetCamera-美顔自撮り、写真編集、画像加工、カメラアプリ,21,ZA,2018-08-30
com.contextlogic.wish,Wish-電化製品、ファッション、化粧品、靴などが90%OFF,22,ZA,2018-08-30
com.truecaller,Truecaller–発信者ID表示とブロック,23,ZA,2018-08-30
com.ubercab,Uber,24,ZA,2018-08-30
com.twitter.android,Twitter,25,ZA,2018-08-30
com.dstvmobile.android,DStvNow,26,ZA,2018-08-30
la.scandaleuse.africaine,FreeTvS.A,27,ZA,2018-08-30
com.zhiliaoapp.musically,TikTok-includingmusical.ly,28,ZA,2018-08-30
com.mcdonalds.mobileapp,McDonald's,29,ZA,2018-08-30
com.netflix.mediaclient,Netflix,30,ZA,2018-08-30
com.google.android.play.games,GooglePlayゲーム,31,ZA,2018-08-30
com.speedbooster.optimizer,RAMMaster-MemoryOptimizer,32,ZA,2018-08-30
com.southafricawhatsappgroups.links,SAWhatsGroups,33,ZA,2018-08-30
com.iptvclient.android.cellc,GETblack,34,ZA,2018-08-30
com.king.candycrushsaga,キャンディークラッシュ,35,ZA,2018-08-30
com.adobe.reader,AdobeAcrobatReader,36,ZA,2018-08-30
com.shazam.android,Shazam,37,ZA,2018-08-30
com.lazygeniouz.saveit,StatusSaver,38,ZA,2018-08-30
com.adobe.pdfreader.acrobatreader.free,PDFリーダーとPDFエディタ2018,39,ZA,2018-08-30
com.mrd.food,MrDFood-Fast&hotdelivery,40,ZA,2018-08-30
fi.android.takealot,Takealot–SA’s#1OnlineMobileShoppingApp,41,ZA,2018-08-30
com.nextstep.candysmashline,CandySmash,42,ZA,2018-08-30
com.kiloo.subwaysurf,SubwaySurfers,43,ZA,2018-08-30
mobi.debonairspizza.iosapp,DebonairsPizza,44,ZA,2018-08-30
org.videolan.vlc,VLCforAndroid,45,ZA,2018-08-30
com.tencent.ibg.joox,"JOOXMusic-FreeStreaming,LiveandKaraoke",46,ZA,2018-08-30
com.gpsroutefinder.mobile.location.tracker.gps.maps.locator.route.finder,GPS、地図、航行と道順,47,ZA,2018-08-30
com.microsoft.office.word,MicrosoftWord,48,ZA,2018-08-30
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,49,ZA,2018-08-30
com.mtn1app,MyMTN,50,ZA,2018-08-30
com.h8games.helixjump,HelixJump,51,ZA,2018-08-30
com.blast.phone.saver.helper,BlastPhoneOptimizer–SpeedCleaner&GameBooster,52,ZA,2018-08-30
net.peakgames.toonblast,ToonBlast,53,ZA,2018-08-30
com.hqgames.pencil.sketch.photo,PencilPhotoSketch-SketchingDrawingPhotoEditor,54,ZA,2018-08-30
za.co.nedbank,NedbankMoney,55,ZA,2018-08-30
com.rambooster.totalcleaner,TotalCleaner,56,ZA,2018-08-30
com.pinterest,Pinterest（ピンタレスト）,57,ZA,2018-08-30
com.apus.camera.id,"AirCamera-PhotoEditor,Collage,Filter",58,ZA,2018-08-30
com.playgendary.kickthebuddy,KicktheBuddy,59,ZA,2018-08-30
all.video.downloader.allvideodownloader,オールビデオダウンローダー2018,60,ZA,2018-08-30
com.aristoz.espanol.curriculumvitae,CurriculumvitaeAppCVBuilderResumeCVMaker,61,ZA,2018-08-30
com.emoji.keyboard.touchpal,"TouchPalEmojiKeyboard-Emoji,FancyTheme,GIFs",62,ZA,2018-08-30
