app_id,app_name,rank,country_code,date
bubble.shoot.bubbles.game.saga.world,バブルシューター,1,ZA,2016-11-24
com.crowdstar.covetHome,DesignHome,2,ZA,2016-11-24
com.king.candycrushsaga,キャンディークラッシュ,3,ZA,2016-11-24
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),4,ZA,2016-11-24
com.kiloo.subwaysurf,SubwaySurfers,5,ZA,2016-11-24
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,6,ZA,2016-11-24
com.magnat.extreme.trafficcar,RealDriftRacing:RoadRacer,7,ZA,2016-11-24
com.ea.gp.fifamobile,FIFAMobileサッカー,8,ZA,2016-11-24
com.SeaMonster.Stikeez3PnP,PicknPayStikeez2,9,ZA,2016-11-24
com.nianticlabs.pokemongo,PokémonGO,10,ZA,2016-11-24
com.baklabs.taxi.simulator,タクシー,11,ZA,2016-11-24
com.king.candycrushsodasaga,キャンディークラッシュソーダ,12,ZA,2016-11-24
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,13,ZA,2016-11-24
com.wegoi.revolt3global,Re-Volt3,14,ZA,2016-11-24
com.fruitcandy.blast,甘いキャンディの物語,15,ZA,2016-11-24
com.differencetenderwhite.skirt,ブロックパズルジュエル,16,ZA,2016-11-24
com.fortafygames.colorswitch,ColorSwitch,17,ZA,2016-11-24
com.kathleenOswald.solitaireGooglePlay,ソリティア,18,ZA,2016-11-24
com.rafotech.piggyboom,PiggyBoom,19,ZA,2016-11-24
com.mobileguru.candyfever.free,CandyFever,20,ZA,2016-11-24
com.miniclip.eightballpool,8BallPool,21,ZA,2016-11-24
com.cmplay.tiles2,ピアノタイル2™,22,ZA,2016-11-24
com.gamegou.soccer,SoccerShootout,23,ZA,2016-11-24
com.epicwaronline.ms,モバイルストライク【MobileStrike】,24,ZA,2016-11-24
com.gameloft.android.ANMP.GloftR7HM,リアルサッカー,25,ZA,2016-11-24
com.topactiongames.survivor.prision.escape,生存者：刑務所からの脱出,26,ZA,2016-11-24
com.gamecircus.tycoon,TapstoRiches,27,ZA,2016-11-24
com.towerofhanoi.Activities,SwipeTheDisk,28,ZA,2016-11-24
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,29,ZA,2016-11-24
com.bitmango.go.blockhexapuzzle,ブロック！ヘキサパズル,30,ZA,2016-11-24
com.prettysimple.criminalcaseandroid,クリミナルケース,31,ZA,2016-11-24
com.secondarm.taptapdash,TapTapDash,32,ZA,2016-11-24
com.laikaboss.roaddriverslegacy,RoadDrivers:Legacy,33,ZA,2016-11-24
com.wordmobile.waterslide,3Dウォータースライド,34,ZA,2016-11-24
com.fungames.sniper3d,スナイパー3Dアサシン-FreeGames,35,ZA,2016-11-24
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,36,ZA,2016-11-24
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,37,ZA,2016-11-24
com.fungames.battletanksbeta,WarMachines:戦車ゲーム,38,ZA,2016-11-24
com.episodeinteractive.android.catalog,Episodefeat.MeanGirls,39,ZA,2016-11-24
com.king.candycrushjellysaga,キャンディークラッシュゼリー,40,ZA,2016-11-24
com.imangi.templerun2,TempleRun2,41,ZA,2016-11-24
com.spungegames.failybikes,FailyRider,42,ZA,2016-11-24
com.ea.games.simsfreeplay_row,TheSimsFreePlay,43,ZA,2016-11-24
com.thinhchuchipaha.bubbleshooter,BubbleShooter,44,ZA,2016-11-24
com.fastsoft.bubbleshooter,BubbleShooter,45,ZA,2016-11-24
com.outfit7.movingeye.swampattack,スワンプアタック(SwampAttack),46,ZA,2016-11-24
com.crack.screen.prank.bfun,ブロークン画面Prank,47,ZA,2016-11-24
com.firsttouchgames.dls3,DreamLeagueSoccer,48,ZA,2016-11-24
com.namcobandaigames.pacmantournaments,PAC-MAN,49,ZA,2016-11-24
com.skgames.trafficracer,TrafficRacer,50,ZA,2016-11-24
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,51,ZA,2016-11-24
com.miniclip.bowmasters,Bowmasters,52,ZA,2016-11-24
com.pjmasks.moonlightheroes,PJMasks:MoonlightHeroes,53,ZA,2016-11-24
