app_id,app_name,rank,country_code,date
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),1,ZA,2019-05-05
com.king.candycrushsaga,キャンディークラッシュ,2,ZA,2019-05-05
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),3,ZA,2019-05-05
com.playrix.homescapes,ホームスケイプ(Homescapes),4,ZA,2019-05-05
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,5,ZA,2019-05-05
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),6,ZA,2019-05-05
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),7,ZA,2019-05-05
com.playrix.township,タウンシップ(Township),8,ZA,2019-05-05
net.peakgames.toonblast,ToonBlast,9,ZA,2019-05-05
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,10,ZA,2019-05-05
com.lilithgame.roc.gp,RiseofKingdoms:LostCrusade,11,ZA,2019-05-05
com.playdemic.golf.android,ゴルフクラッシュ,12,ZA,2019-05-05
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFun™️ゲーム,13,ZA,2019-05-05
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,14,ZA,2019-05-05
com.crowdstar.covetHome,DesignHome,15,ZA,2019-05-05
com.productmadness.hovmobile,HeartofVegas:オンラインカジノスロットアプリ,16,ZA,2019-05-05
com.huuuge.casino.texas,ビリオネアカジノ™オンラインカジノスロット、世界で1000万人が遊ぶ本格オンラインカジノゲーム,17,ZA,2019-05-05
com.supercell.hayday,ヘイ・デイ(HayDay),18,ZA,2019-05-05
com.king.candycrushsodasaga,キャンディークラッシュソーダ,19,ZA,2019-05-05
air.com.playtika.slotomania,Slotomania™-FreeSlots英語版,20,ZA,2019-05-05
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),21,ZA,2019-05-05
com.tencent.ig,PUBGMOBILE,22,ZA,2019-05-05
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,23,ZA,2019-05-05
com.pixelberrystudios.choices,Choices:StoriesYouPlay,24,ZA,2019-05-05
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),25,ZA,2019-05-05
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,26,ZA,2019-05-05
