app_id,app_name,rank,country_code,date
com.word.game.fun.puzzle.prison.escape.captain,WordsStory-AddictiveWordGame,1,ZA,2018-11-01
games.onebutton.golfbattle,GolfBattle,2,ZA,2018-11-01
com.custom.spillit,SpillIt!,3,ZA,2018-11-01
com.escape.room.door.word.prison.puzzle.adventure,EscapeRoom:MysteryWord,4,ZA,2018-11-01
com.etermax.trivia.preguntados2,トリビアクラック2,5,ZA,2018-11-01
com.foranj.monsterfarm,モンスターファーム:おばけの村でハッピーハロウィン,6,ZA,2018-11-01
com.mobilewaronline.wwr,ワールドウォーライジング,7,ZA,2018-11-01
com.nexon.devcat.marvelbattlelines,MARVELBattleLines,8,ZA,2018-11-01
com.treemengames.pakoforever,PAKOForever,9,ZA,2018-11-01
com.pacybits.fut19draft,PACYBITSFUT19,10,ZA,2018-11-01
com.puzzles.game.halloweeen.one,FindTheDifferences-TheDetective,11,ZA,2018-11-01
com.ftt.gbworld.aos,ゴーストバスターズ-GhostbustersWorld,12,ZA,2018-11-01
com.driftchasing.speedwayracinggames,ドリフトの追跡,13,ZA,2018-11-01
com.rockstargames.rdr2app,RDR2:Companion,14,ZA,2018-11-01
fps.zombie.shooting.fun.to.dead,MADZOMBIES:ゾンビ,15,ZA,2018-11-01
com.mrgraphique.dreamleague,DreamLeague2019,16,ZA,2018-11-01
com.gdcompany.metalmadness,MetalMadness:PvPシューター,17,ZA,2018-11-01
com.sinyee.babybus.tailor,ベビーパンダのファッションドレスアップゲーム,18,ZA,2018-11-01
com.nordcurrent.murderinalps,MurderintheAlps,19,ZA,2018-11-01
bg.xssoftware.ladypopular.fashionarena,LadyPopular:FashionArena,20,ZA,2018-11-01
pl.lukok.chess,Chess,21,ZA,2018-11-01
com.playgendary.sportmasterstwo,Golfmasters-FunGolfGame,22,ZA,2018-11-01
com.turner.readysetmonsters,"Ready,Set,Monsters!",23,ZA,2018-11-01
com.DoodleMobile.GalaxyStrike,ギャラクシーストライク3D-GalaxyStrike,24,ZA,2018-11-01
com.aleson.casefiveanimatronicsfnaf,ケース：アニマトロニクス-ホラーゲーム,25,ZA,2018-11-01
com.logo.brand.guess.match.quiz,LogoGuess,26,ZA,2018-11-01
com.herogame.gplay.theoutlived,TheOutlived,27,ZA,2018-11-01
com.uilmedia.chasecraft,Chaseсraft,28,ZA,2018-11-01
com.abi.balls.blockshooter,BallShooter,29,ZA,2018-11-01
com.heatherglade.zero2hero,FromZerotoHero:シティーマン,30,ZA,2018-11-01
com.cubegame.pickthegold,PickTheGold,31,ZA,2018-11-01
air.com.lunime.gachalife,GachaLife,32,ZA,2018-11-01
com.timuzgames.citybikerace,CityBikeRace,33,ZA,2018-11-01
com.unistar.bc,BonusCasino-LasVegasCasino,34,ZA,2018-11-01
com.gtactiongames.realbikestunts,RealBikeStunts,35,ZA,2018-11-01
com.lilithgame.tgames.gp,爆裂戦車団,36,ZA,2018-11-01
com.turner.wreckersrevenge,GumballWrecker'sRevenge,37,ZA,2018-11-01
com.frogmind.badlandbrawl,BadlandBrawl(乱闘),38,ZA,2018-11-01
com.gtactiongames.bikeracingrider,BikeRacingRider,39,ZA,2018-11-01
com.percent.mybest3,Unniedoll,40,ZA,2018-11-01
com.punch.realfist.boxingfightinggame,KOパンチ,41,ZA,2018-11-01
com.sticksports.sticksprint,StickSprint,42,ZA,2018-11-01
com.lemonchiligames.towerpowers,TowerPower-Flick'EmUpTower-BuildingShooter,43,ZA,2018-11-01
com.tangramgames.wordpopy,WordPopy-CrosswordPuzzle&SearchGames,44,ZA,2018-11-01
de.kamibox.bacon,Bacon–TheGame,45,ZA,2018-11-01
bubble.blade,BladeBubbles,46,ZA,2018-11-01
com.aim.ecds2.racing,RealCarDrivingExperience-Racinggame,47,ZA,2018-11-01
com.bitmango.go.wordsfarmcross,WordFarmCross,48,ZA,2018-11-01
com.timuzgames.huntingchallenge,HuntingChallenge,49,ZA,2018-11-01
com.hyperbeard.axolochi,Axolochiうーぱっち,50,ZA,2018-11-01
time.bubble,BubbleTime!,51,ZA,2018-11-01
com.chi.OpenWordTaxi,OpenWorldDriver:TaxiSimulator,52,ZA,2018-11-01
air.com.spilgames.trollfacequesthorror2.scary.adventure,TrollFaceQuestHorror2:🎃ハロウィーンスペシャル🎃,53,ZA,2018-11-01
com.manor.house.scapes,HaroldFamily,54,ZA,2018-11-01
com.dxm.superCarRumble,ロボットウォーズ,55,ZA,2018-11-01
com.timuzgames.sniperroyale,SniperRoyale,56,ZA,2018-11-01
com.airforcelords.freemobile.gunship.combat,空軍主,57,ZA,2018-11-01
bubble.honey,HoneyBubbles,58,ZA,2018-11-01
com.hyperbeard.monkeynauts,Monkeynautsモンキー融合！,59,ZA,2018-11-01
com.speeddrifting.mobilelegends.cityracing,シティドリフトの伝説,60,ZA,2018-11-01
real.guitar.learn.chords.tuner.play.songs.tiles.pocket.rhythm.game,"RealGuitar-FreeChords,Tabs&SimulatorGames",61,ZA,2018-11-01
com.babilgames.androidstrike,StrikeofNations:EmpireofSteel|WorldWarMMO,62,ZA,2018-11-01
com.naxeex.army.toys.town,ArmyToysTown,63,ZA,2018-11-01
com.milliongamesnew.dinosaurhuntdown,DinosaurHuntDown,64,ZA,2018-11-01
com.army.commando.city.attack.survival.shooting,ArmyCommandoAttack:SurvivalShootingGame,65,ZA,2018-11-01
com.mach.system.bob,RunningBob,66,ZA,2018-11-01
com.elitearcher.targetshooting.freearcherygame,エリートアーチャー,67,ZA,2018-11-01
com.telltalegames.minecraft200,Minecraft:StoryMode-SeasonTwo,68,ZA,2018-11-01
com.sinyee.babybus.custom,リトルパンダの良い習慣,69,ZA,2018-11-01
com.milliongames.darerider,DareRider,70,ZA,2018-11-01
com.timuzgames.devilsride2,Devil'sRide2,71,ZA,2018-11-01
com.timuzgames.rider2018,Rider2018-BikeStunts,72,ZA,2018-11-01
com.logame.jumprelax,RelaxingJump,73,ZA,2018-11-01
com.sinyee.babybus.foodstuff,ベビーパンダの果樹園,74,ZA,2018-11-01
com.ketchapp.timejump,TimeJump,75,ZA,2018-11-01
com.scary.granny.hospital.org,ScaryGrannyHospital,76,ZA,2018-11-01
com.yodo1.builditup,BuilditUp,77,ZA,2018-11-01
usbobble.egyptroad.runesQuest,エジプトルーンクエスト,78,ZA,2018-11-01
com.netease.gloryofempire,Legend:RisingEmpire,79,ZA,2018-11-01
com.tinybytes.massivewarfare2,MassiveWarfare:Aftermath,80,ZA,2018-11-01
match.legends.flower,FlowerLegendsMatch3,81,ZA,2018-11-01
com.soccermanagerltd.soccermanager2019,SoccerManager2019,82,ZA,2018-11-01
com.thegaryo.smash,Smash,83,ZA,2018-11-01
com.lavaflame.IdleSkilling,IdleSkilling-IncrementalRPGAdventure,84,ZA,2018-11-01
com.peoplefun.wordstacks,WordStacks,85,ZA,2018-11-01
bubble.shooter.exxtreme,BubbleShooter!Extreme,86,ZA,2018-11-01
com.pbga.tricks,Tricks™,87,ZA,2018-11-01
com.LoopGames.Sudoku,Sudoku,88,ZA,2018-11-01
com.dignitygames.ballrun,BallRun,89,ZA,2018-11-01
two.pop.power,PowerPopBubbles2,90,ZA,2018-11-01
com.dingogames.tastyplanet4,TastyPlanetForever,91,ZA,2018-11-01
com.zombiehitman.deathplaguesurvivegame,ゾンビヒットマン,92,ZA,2018-11-01
com.ninjaroyale.ultimateimpact1vs1,NinjaRoyale:UltimateHeroesImpact,93,ZA,2018-11-01
com.techno.developer.truthndare,TruthorDare-SpintheBottleGame,94,ZA,2018-11-01
com.kof.adventure.arcade.fight,Arcadekoffighter2002,95,ZA,2018-11-01
jp.shovelgames.sudokucolors,ナンプレカラフル,96,ZA,2018-11-01
com.minigame.tricktest,GeniusChallenges:GeniusOrNot?,97,ZA,2018-11-01
com.r2gamers.legends.superstar.ninja.turtle.shadow.action.warriors,伝説のスーパースターニンジャタートルズ：アクション戦士,98,ZA,2018-11-01
com.gtactiongames.bikestuntracer,BikeStuntRacer,99,ZA,2018-11-01
com.telltalegames.walkingdeadm100,TheWalkingDead:Michonne,100,ZA,2018-11-01
com.loneyqqtunes.dash,LooneyToonsDash,101,ZA,2018-11-01
com.PepiPlay.KingsCastle,PepiTales:King’sCastle,102,ZA,2018-11-01
com.idle.miner.inc.tycoon.prison.clicker.ikame,IdlePrisonTycoon:GoldMinerClickerGame,103,ZA,2018-11-01
com.HomeNetGames.Warplanes,Warplanes:WW2Dogfight,104,ZA,2018-11-01
com.playwithgames.taxi.simulator.city,CarsofNewYork:Simulator,105,ZA,2018-11-01
com.madbox.dashvalley,DashValley,106,ZA,2018-11-01
com.cakebuttonfantasy.bloodpressure,BloodPressureFingerprintScanner,107,ZA,2018-11-01
com.devteam.mergecar,MergeCars-IdleandClickerGame,108,ZA,2018-11-01
com.nextwave.wttcpingpong,WorldTableTennisChamps,109,ZA,2018-11-01
rise.bubbles,BubblesRise,110,ZA,2018-11-01
com.opalastudios.superpadstiles,SUPERPADSTILES–YourmusicGAME!,111,ZA,2018-11-01
com.blankmediagames.townofsalemthecoven,TownofSalem-TheCoven,112,ZA,2018-11-01
com.Love.Story.Games.Amnesia,ラブストーリーゲーム:アムネシア,113,ZA,2018-11-01
com.zombiedeadvshumans.offlineshootinggame,ゾンビデッド対人間,114,ZA,2018-11-01
io.makeroid.duo_oosthuizen.HangMan,HangMan,115,ZA,2018-11-01
com.feed.grow.simulation.fish,feedandgrow:crazyfish,116,ZA,2018-11-01
com.pgstudio.survival,ライブ・オア・ダイ:サバイバル,117,ZA,2018-11-01
com.devteam.mergeplane,MergePlanes-IdleandClickerGame,118,ZA,2018-11-01
com.hipsterwhale.piffle,ぴっふる,119,ZA,2018-11-01
com.advent.dani.banana.rdp.game,FreeMinionAdventure:BananaRush2,120,ZA,2018-11-01
com.airfightwar.thunderbattle,サンダー・ウォーのコール,121,ZA,2018-11-01
com.KidsChildGames.memorymrbeankidsgames,MrBeanBrainMemoryGame,122,ZA,2018-11-01
pastudio.gemsswapgame.dynastyKingJewelryMatch,王朝の王の宝石のマッチ,123,ZA,2018-11-01
com.gamoper.sweetcandyjelly.free,キャンディポップボム,124,ZA,2018-11-01
com.r2gamers.ultimate.superstar.street.fighting.saiyan.superhero.goku.battle,究極のサイヤ人ストリートファイティング：スーパースター悟空3D,125,ZA,2018-11-01
com.mobisoca.btm.bethemanager2019,BetheManager2019-FootballStrategy,126,ZA,2018-11-01
com.lalapp.gloryagessamurais,GloryAges-Samurais,127,ZA,2018-11-01
com.estoty.borntoclimb,RockyClimb,128,ZA,2018-11-01
air.com.inkagames.gravity.saw.game,GravitySawGame,129,ZA,2018-11-01
com.citytrashservice.simulator.garbage.truck,GarbageTruck-CityTrashServiceSimulator,130,ZA,2018-11-01
com.tutotoons.app.secretmagicshop.free,SecretMagicShop-FunFantasyWorldforKids,131,ZA,2018-11-01
com.PowerMinion.JungleRun,PowerMinionJungleRun,132,ZA,2018-11-01
com.FlyingBeagleGames.BattleRoyale,BattleRoyaleinEarlyAccess,133,ZA,2018-11-01
com.summertimef.app.walkthroughe,AstucespourSummertime2019,134,ZA,2018-11-01
com.pickle.SmashCarHitImpossibleStunt,SmashCarHit-ImpossibleStunt,135,ZA,2018-11-01
com.camelgames.aoz,AgeofZ,136,ZA,2018-11-01
com.gmf.ftyx,HeroDash,137,ZA,2018-11-01
com.zymobile.jewel.candy.cookie,JewelCrush2019,138,ZA,2018-11-01
com.aceplay.polyconnection,PolyConnection,139,ZA,2018-11-01
com.fire.shoot.ball.aa,3DTowerShooter-Fire&Destroy,140,ZA,2018-11-01
paStudio.cubeblast.ToysPartyBlast,ペットの子犬の爆風,141,ZA,2018-11-01
com.pool.billiard.master.balls,BilliardMaster,142,ZA,2018-11-01
com.VegasCasinoGames.ZeusFortuneSlots,ZeusFortune-FreeVegasCasinoSlotsMachines,143,ZA,2018-11-01
com.r2gamers.ninja.turtles.ultimate.superstar.wrestling.sword.fight.legends.warriors,NinjaSuperstarTurtlesWarriors:LegendsHero3D,144,ZA,2018-11-01
com.yasapets.halloween,YasaPetsHalloween,145,ZA,2018-11-01
com.divmob.eternitylegends.leagueofgods,EternityLegends:LeagueofGodsDynastyWarriors,146,ZA,2018-11-01
blast.speed,SpeedBlast,147,ZA,2018-11-01
farm.puzzle,FarmPuzzle,148,ZA,2018-11-01
com.ketchapp.policerunner,PoliceRunner,149,ZA,2018-11-01
tap.burst,BurstTap,150,ZA,2018-11-01
com.newblazingdrivingcar.distar,AdventureBlazingRacingCar,151,ZA,2018-11-01
com.blingblinggames.idlespacecompany,IdleTycoon:SpaceCompany,152,ZA,2018-11-01
game.kof97.plus.kg,Arcadekof97plus,153,ZA,2018-11-01
com.savysoda.pixelstarships,ピクセル宇宙戦艦　ハイパースペースPixelStarships:Hyperspace,154,ZA,2018-11-01
com.cardgamefree.bubble,BubbleShooterBlast,155,ZA,2018-11-01
com.wVirtualMatch_8064286,VirtualMatch,156,ZA,2018-11-01
com.nhnent.SKRWBY,RWBY:AmityArena,157,ZA,2018-11-01
com.SaiyanLegend.SuperRace.Universes,SaiyanLegendSuperRaceofUniverses,158,ZA,2018-11-01
com.oscar.top.drag.racing,TopDragRacing,159,ZA,2018-11-01
com.lqldolls.openeggs.game,L.O.L.SurpriseBallPop,160,ZA,2018-11-01
com.kyahwaya.kuchnihwa,colorswitch🦌:3Dswtchjumping,161,ZA,2018-11-01
com.yosgames.doggo,Doggo,162,ZA,2018-11-01
com.cauaplays.carrossocados,CarrosSocadosBrasil,163,ZA,2018-11-01
com.milliongames.desertbikestunts,DesertBikeStunts,164,ZA,2018-11-01
com.arcade.adventure.kof,ArcadeKofFighter96,165,ZA,2018-11-01
com.gismart.piano.games.music.keyboard,PianoCrush-ピアノゲーム,166,ZA,2018-11-01
com.gokids.transportbuilding,子供のためのトラックゲーム-家屋🏡洗車,167,ZA,2018-11-01
com.lory.FairyTaleSleepingBeautyHiddenObjectsGame.SeekAndFindGames,メルヘン:眠れる森の美女,168,ZA,2018-11-01
com.square_enix.android_googleplay.StarOceann,STAROCEAN:ANAMNESIS,169,ZA,2018-11-01
com.OppanaGames.AutoTheftCrimeSimulator,AutoTheftSimulator,170,ZA,2018-11-01
com.bestdressupgames.gymnastics,体操のスーパースター-ドレスアップ,171,ZA,2018-11-01
com.wafadeveloper.bussimulator2018,BusSimulator3D2018,172,ZA,2018-11-01
com.mvpapps.blackwhite,Black&White,173,ZA,2018-11-01
com.waterfullrainbow.distancelasermeter,DistanceLaserMeter,174,ZA,2018-11-01
com.starsharp.simulation.offroadtruck,TruckSimulator:RealOff-Road,175,ZA,2018-11-01
com.kinggame.slamdunk,SlamDunk,176,ZA,2018-11-01
com.wrestling.champ619.wwe.tagteam.wrestling.champions.fight,WWETagTeamWrestlingChampionsFight2018,177,ZA,2018-11-01
com.sega.mega,ShiningForceClassics,178,ZA,2018-11-01
com.fall.game.humanflat,Humanonlineflatgamefall,179,ZA,2018-11-01
com.IoI.eggs0002,LOLSurprisePets💗:BallDollEggConfetti,180,ZA,2018-11-01
com.bit.mahjong2019,Mahjong2019,181,ZA,2018-11-01
com.genify.meow.io,Meow.io-CatFighter,182,ZA,2018-11-01
com.candysmashmania.sweetcrush.free,スマッシュマニア,183,ZA,2018-11-01
com.sunnyflashing.bloodsugar,BloodSugarConvert,184,ZA,2018-11-01
com.wizardgames.dinosbattleroyale,DinosRoyale-SavageMultiplayerBattleRoyale,185,ZA,2018-11-01
com.craft.grand.exploration,GrandCraftExploration,186,ZA,2018-11-01
com.aras.gametruck,EuroTruckTurkeyTırSimulatorOyunu,187,ZA,2018-11-01
com.candy.snake.io.slither.agar.eatme.hole.free,キャンディスネーク,188,ZA,2018-11-01
f2GameStudio.cleopatra.pharaoh,エジプトの伝説：ファラオ,189,ZA,2018-11-01
com.Tennis.Tour,テニス世界選手権,190,ZA,2018-11-01
com.gli.pharaoh,Pharaoh'sSecretCasinoOnlineSlotMachine,191,ZA,2018-11-01
com.appybuilder.mohammedmujeeb638.Bobtherobber5,BobTheRobber5-TempleAdventure,192,ZA,2018-11-01
com.anisagames.sonicadvance,ClassicSonicAdvance,193,ZA,2018-11-01
com.gamestar.jewelquests,JewelQuest,194,ZA,2018-11-01
com.skrapping.mekanik,ЅcrapMechanics-buildingmachine,195,ZA,2018-11-01
pop.free,FreePop,196,ZA,2018-11-01
com.zuha.fifafootball,UltimateSoccer2019,197,ZA,2018-11-01
com.KidsChildGames.memoryspongebobkidsgames,GameSpongebobBrainMemoryKidsGame,198,ZA,2018-11-01
cubes.the.crush,CrushTheCubes,199,ZA,2018-11-01
com.spilgames.UphillRushSantaMonicaBay.skate.board,UphillRushSantaMonicaBay,200,ZA,2018-11-01
com.telltalegames.guardians100,GuardiansoftheGalaxyTTG,201,ZA,2018-11-01
noobs.io.duo,Duo,202,ZA,2018-11-01
com.joannemariam.pawrydersubwayrun,NewPawRyderSubwayRun,203,ZA,2018-11-01
com.gameblue.fishingkingdom,FishingKingdom,204,ZA,2018-11-01
com.libii.libbydessert,PrincessLibbyDessertMaker,205,ZA,2018-11-01
com.mobigrow.thebirdcage,鳥かご（TheBirdcage）,206,ZA,2018-11-01
com.ketchapp.spinnygun,SpinnyGun,207,ZA,2018-11-01
mtch.power.flowerr,FlowerPowerMatch3,208,ZA,2018-11-01
