app_id,app_name,rank,country_code,date
com.chucklefish.stardewvalley,StardewValley,1,ZA,2019-04-03
com.zigzagame.evertale,エバーテイル,2,ZA,2019-04-03
brownmonster.app.game.rushrally3,RushRally3,3,ZA,2019-04-03
com.nevil.mylittlestarvip,マイ·リトル·スターVIP:アイドルきせかえ,4,ZA,2019-04-03
com.atari.mobile.rctclassic,RollerCoasterTycoon®Classic,5,ZA,2019-04-03
mycity.newbornbaby,MyCity:Newbornbaby,6,ZA,2019-04-03
com.playdigious.cultist,CultistSimulator,7,ZA,2019-04-03
com.corrabolinha,CorraBolinhaPRO,8,ZA,2019-04-03
com.elevenbitstudios.twomstoriesmobile,ThisWarofMine:Stories-Father'sPromise,9,ZA,2019-04-03
com.FourFire.InfiniteSoul,INFINITYSOULS-无尽之魂-超硬核独立手游,10,ZA,2019-04-03
com.piratesoutlaws.fabledgame,PiratesOutlaws,11,ZA,2019-04-03
com.Gunergames.Soloparkour,SoloParkour3D,12,ZA,2019-04-03
com.mlb.RBIBaseball2019,R.B.I.Baseball19,13,ZA,2019-04-03
com.oddzekaoyunlari,ODD-ZekaOyunları,14,ZA,2019-04-03
com.Gamehob.fastcalc,FastCalc-kahnmath,15,ZA,2019-04-03
ninja.netox.jackquest,JackQuest:TheTaleoftheSword,16,ZA,2019-04-03
space.blam.bb23,BallsvsSpikes,17,ZA,2019-04-03
ru.buka.dville01,DarkestvilleCastle,18,ZA,2019-04-03
com.MarsusProject,Marsus:SurvivalonMars,19,ZA,2019-04-03
icon.games.crossroads,Crossroads:RoguelikeRPGDungeonCrawler,20,ZA,2019-04-03
com.Afterburn.GolfPeaks,ゴルフ・ピークス/GolfPeaks,21,ZA,2019-04-03
com.OtherTales.TickTock,TickTock:ATaleforTwo,22,ZA,2019-04-03
com.kylebarrett.Immortal,ImmortalRogue,23,ZA,2019-04-03
com.codengamesinc.mistsurvivor,MISTSurvivor,24,ZA,2019-04-03
com.dashgamers.looney,Looney:BugsDash!Toons,25,ZA,2019-04-03
com.PXLink.IamReed,IamReed,26,ZA,2019-04-03
com.NewMeta.GambleDefence,도박디펜스,27,ZA,2019-04-03
com.FourGoatGames.FourGoatsForever,4GoatsForever,28,ZA,2019-04-03
com.prunella.hivn.slotsmachine,SlotsmachineBAR777,29,ZA,2019-04-03
com.Gemstar.RobotKati2,人工少女カティInvitational,30,ZA,2019-04-03
com.teamgravegame.dyingdream,DyingDream,31,ZA,2019-04-03
com.rn.Human_is_hopeless,人が落ちた,32,ZA,2019-04-03
game.pixelotkyle,Pixelot,33,ZA,2019-04-03
com.greatapps.a4inrowmaterial,Connect4inarowgame,34,ZA,2019-04-03
com.scaryhouse,crazyneighbordoctor,35,ZA,2019-04-03
com.libertyfield.fmfgame,"ForgiveMe,Father...",36,ZA,2019-04-03
com.classicds.pro,ClassicDSPro(NDSEmulator),37,ZA,2019-04-03
com.amazingfrog,AmazingFrogSimulatorCity,38,ZA,2019-04-03
com.fergdlapps.bosqueembrujado,BosqueEmbrujadoñacañaca,39,ZA,2019-04-03
com.HuaYiGame.DeliveryFromThePain.GooglePlay,DeliveryFromthePain(FULL),40,ZA,2019-04-03
com.kodexglobal.kitt,KnightRiders:Game,41,ZA,2019-04-03
com.artifexmundi.thesecretorder7.gp.full,シークレット・オーダー7:シャドウ・ブリーチ(Full),42,ZA,2019-04-03
pl.portalgames.tidesoftime,TidesofTime,43,ZA,2019-04-03
com.raultruji3d.ferris.wheel,観覧車-遊園地遊園地,44,ZA,2019-04-03
com.super8bit.pro,Super8Pro(NESEmulator),45,ZA,2019-04-03
com.FantasticYes.returner02,ReturnerZhero-FinalCut,46,ZA,2019-04-03
com.fivebn.ll6.full,ロスト・ランド6(Full),47,ZA,2019-04-03
com.picat.starbattles.scifistrategy,ProjectIO:StarBattleships[Sci-fiGame],48,ZA,2019-04-03
com.unimob.frontier.wars2.kingdom.premium,DefenderBattle:HeroKingdomWars-StrategyGame,49,ZA,2019-04-03
com.abdielmtzapps.islatinieblas,EscapedelaIslaTinieblas!,50,ZA,2019-04-03
com.gamezandappz.marcianitospace,MarcianitoSpace!,51,ZA,2019-04-03
com.vgames.idledunkmaster.premium,IdleDunkMaster-VIPEdition,52,ZA,2019-04-03
com.ffs.frontier.war.premium,FrontierWars:DefenseHeroes-TacticalTDGame,53,ZA,2019-04-03
com.ubimob.heroes.defender.premium,DefenderHeroes:CastleDefense-EpicTDGame,54,ZA,2019-04-03
com.gameandapps.advenhhhunter,AdventureHunter!,55,ZA,2019-04-03
com.eightfloor.lostartifactstm.premium.googleplay,LostArtifacts:TimeMachine,56,ZA,2019-04-03
com.eightfloor.lostartifactssoulstone.premium.googleplay,LostArtifacts:Soulstone,57,ZA,2019-04-03
cli.udr.blizpar,CowLevelImmobile,58,ZA,2019-04-03
com.eightfloor.katyandbobcakecafe.premium.googleplay,Katy&Bob:CakeCafé,59,ZA,2019-04-03
com.abdielmtz2019.ninjasenlaciudad,Ninjasenlaciudad!,60,ZA,2019-04-03
com.deysigames.zorritodesierto,Zorritodeldesierto,61,ZA,2019-04-03
com.classicmd.pro,ClassicMDPro(GENEmulator),62,ZA,2019-04-03
com.eightfloor.lostartifactsgoldenisland.premium.googleplay,LostArtifacts:GoldenIsland,63,ZA,2019-04-03
com.LFSGaming.TopSecretTheGame,TopSecretTheGame,64,ZA,2019-04-03
com.talihGames.SpaceDodgem,SpaceDodgem,65,ZA,2019-04-03
com.evo42games.Umbelt,Umwelt,66,ZA,2019-04-03
com.eightfloor.gnomesgardenlostking.premium.googleplay,GnomesGarden:TheLostKing,67,ZA,2019-04-03
air.com.webkinz.cashcowapp,Webkinz™:CashCow,68,ZA,2019-04-03
com.GGHF.Nemo_DO,Nemo_D.O,69,ZA,2019-04-03
air.WordGames,WordGames-TestandimproveyourVocabulary,70,ZA,2019-04-03
com.lololand.berlinscooter,BerlinScooter,71,ZA,2019-04-03
com.SKEYCH.ODYSSEY,ODYSSEYNEWDAWN,72,ZA,2019-04-03
com.eightfloor.daydthroughtime.premium.googleplay,DayD:Throughtime,73,ZA,2019-04-03
com.EndlessCode.CONVOLUTION,CONVOLUTION,74,ZA,2019-04-03
com.littlebitstudio.BugsAndNumbers,BugsandNumbers,75,ZA,2019-04-03
com.crescentmoongames.linnpremium,Linn:PathofOrchardsPremium,76,ZA,2019-04-03
com.quadunison.golfscore.premium,ScoreX(스코어엑스-내기골프/Scratch/스크래치)-Premium,77,ZA,2019-04-03
air.Asylum2019,Asylum2019,78,ZA,2019-04-03
com.drinkandreveal.drinkandreveal,DrinkandReveal,79,ZA,2019-04-03
com.PixelFade.KaoriAfterStory,KaoriAfterStory,80,ZA,2019-04-03
com.honeydew1853.stealerd,ソードナイツ:ドラゴンハンター,81,ZA,2019-04-03
com.littlehuntergames.OpenWorldRealisticCarSimilator2019,OpenWorldRealisticCarSimilator2019,82,ZA,2019-04-03
com.SOUS.Race,2DRacer,83,ZA,2019-04-03
com.coach.special,VIPBETTINGTIPSSPECIAL,84,ZA,2019-04-03
com.CatacombGames.BlacksmithFromNow,今日から鍛冶屋,85,ZA,2019-04-03
com.eightfloor.cookingtrip.premium.googleplay,CookingTrip,86,ZA,2019-04-03
no.hypergames.alfiestore,"Smoothie,AlfieAtkins",87,ZA,2019-04-03
com.smallbigsquare.blask,BLASK,88,ZA,2019-04-03
id.application.woith,WorldofIslands-TreasureHunt,89,ZA,2019-04-03
us.duckfam.fisheater,FishEater,90,ZA,2019-04-03
com.VenusGames.LastSouls,LastSouls,91,ZA,2019-04-03
com.farmgames.farmingmanager2019,FarmingManager2019,92,ZA,2019-04-03
com.zeptolab.whereisomnom,Where'sOmNom?,93,ZA,2019-04-03
