app_id,app_name,rank,country_code,date
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,1,ZA,2016-11-27
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,2,ZA,2016-11-27
com.squareenixmontreal.hitmansniperandroid,Hitman:Sniper,3,ZA,2016-11-27
com.playdead.limbo.full,LIMBO,4,ZA,2016-11-27
com.ustwo.monumentvalley,モニュメントバレー,5,ZA,2016-11-27
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,6,ZA,2016-11-27
com.and.games505.TerrariaPaid,Terraria.,7,ZA,2016-11-27
com.giantssoftware.fs16,FarmingSimulator16,8,ZA,2016-11-27
com.FireproofStudios.TheRoom3,TheRoomThree,9,ZA,2016-11-27
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,10,ZA,2016-11-27
com.trueaxis.trueskate,TrueSkate,11,ZA,2016-11-27
pl.idreams.pottery,Let'sCreate!Pottery,12,ZA,2016-11-27
com.pockettrend.neomonsters,ネオモンスターズ,13,ZA,2016-11-27
com.squareenixmontreal.deusexgo,DeusExGO-パズルチャレンジ,14,ZA,2016-11-27
co.za.smartgecko.KlankeLegkaart,FonetieseAlfabetKlanke,15,ZA,2016-11-27
com.sigames.fmm2017,『FootballManagerMobile2017』,16,ZA,2016-11-27
com.coffeestainstudios.goatsimulator,GoatSimulator,17,ZA,2016-11-27
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,18,ZA,2016-11-27
com.square_enix.android_googleplay.FFT_en2,FINALFANTASYTACTICS:WotL,19,ZA,2016-11-27
com.robtopx.geometryjump,GeometryDash,20,ZA,2016-11-27
com.ninjakiwi.bloonstd5,BloonsTD5,21,ZA,2016-11-27
com.squareenixmontreal.hitmango,HitmanGO,22,ZA,2016-11-27
com.eamobile.monopoly_row_wf,MONOPOLYGame,23,ZA,2016-11-27
com.squareenixmontreal.lcgo,LaraCroftGO,24,ZA,2016-11-27
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,25,ZA,2016-11-27
com.astragon.cs2014,コンストラクションシミュレーター2014,26,ZA,2016-11-27
com.gm_shaber.dayrpremium,DayRPremium,27,ZA,2016-11-27
com.vectorunit.silver.googleplay,RiptideGP:Renegade,28,ZA,2016-11-27
com.tangram3D.Athletics2,陸上競技2:SummerSports,29,ZA,2016-11-27
com.wb.goog.legohp2,LEGOHarryPotter:Years5-7,30,ZA,2016-11-27
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,31,ZA,2016-11-27
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,32,ZA,2016-11-27
com.seven2.pawapp2,PAWPatrolPupstotheRescue,33,ZA,2016-11-27
com.worms2armageddon.app,Worms2:Armageddon,34,ZA,2016-11-27
com.eamobile.sims3_row_qwf,TheSims™3,35,ZA,2016-11-27
com.fds.infiniteflight,InfiniteFlightSimulator,36,ZA,2016-11-27
air.com.RustyLake.RustyLakeRoots,RustyLake:Roots,37,ZA,2016-11-27
com.eline.neveralonemobile,NeverAlone:KiEdition,38,ZA,2016-11-27
se.feomedia.quizkampen.uk.premium,QuizClash™PREMIUM,39,ZA,2016-11-27
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,40,ZA,2016-11-27
com.candyrufusgames.survivalcraft,Survivalcraft,41,ZA,2016-11-27
com.nagy.farmingsimulator,FarmingPROSimulator2017,42,ZA,2016-11-27
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,43,ZA,2016-11-27
com.DDI.CarpFishingSimulator,CarpFishingSimulator,44,ZA,2016-11-27
com.artifexmundi.demonhunter.gp.full,デーモンハンター(Full),45,ZA,2016-11-27
com.gamehivecorp.kicktheboss2r,BeattheBoss2(17+),46,ZA,2016-11-27
com.ninjakiwi.supermonkey,BloonsSupermonkey2,47,ZA,2016-11-27
com.logicmiracle.offroaddrivedesert.pro,オフロードドライブ砂漠,48,ZA,2016-11-27
com.artifexmundi.tso3.gp.full,シークレット・オーダー3(Full),49,ZA,2016-11-27
co.za.smartgecko.SpelPret,SpelPret,50,ZA,2016-11-27
mindware.mindgamespro,マインドゲームプロ,51,ZA,2016-11-27
com.anahoret.android.numbers,KidsNumbersandMath,52,ZA,2016-11-27
com.worms3.app,Worms3,53,ZA,2016-11-27
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,54,ZA,2016-11-27
com.oddworld.Stranger,Oddworld:Stranger'sWrath,55,ZA,2016-11-27
com.wb.goog.scribbleremix,ScribblenautsRemix,56,ZA,2016-11-27
com.FireproofStudios.TheRoom2,TheRoomTwo,57,ZA,2016-11-27
com.realdrift.sipon,RealDriftCarRacing,58,ZA,2016-11-27
com.gamesoulstudio.backflipmadness,BackflipMadness,59,ZA,2016-11-27
com.coffeestainstudios.goatsimulator.mmo,GoatSimulatorMMOSimulator,60,ZA,2016-11-27
com.codemasters.cmrally,ColinMcRaeRally,61,ZA,2016-11-27
me.dreamsky.stickman,LeagueofStickman2016,62,ZA,2016-11-27
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,63,ZA,2016-11-27
com.pamuk.farmingsimulator,PROFarmingSimulator2017,64,ZA,2016-11-27
com.khg.doorkickers,DoorKickers,65,ZA,2016-11-27
com.FireproofStudios.TheRoom,TheRoom,66,ZA,2016-11-27
uk.co.aifactory.chess,Chess-チェス,67,ZA,2016-11-27
co.za.smartgecko.PiggyBank,Spaarvarkie,68,ZA,2016-11-27
com.twodboy.worldofgoofull,ワールド･オブ･グー,69,ZA,2016-11-27
com.artifexmundi.emeraldmaiden.gp.full,エメラルドの乙女(Full),70,ZA,2016-11-27
com.senri.da,Devil'sAttorney,71,ZA,2016-11-27
com.threeminutegames.lifeline.google,Lifeline,72,ZA,2016-11-27
com.threeminutegames.lifelinecrisislinegoog,Lifeline：クライシス・ライン,73,ZA,2016-11-27
com.and.games505.brothers,ブラザーズ：2人の息子の物語,74,ZA,2016-11-27
com.klarens.crazycraft,CrazyCraftMod:Ultimate,75,ZA,2016-11-27
com.scottgames.fnaf4,FiveNightsatFreddy's4,76,ZA,2016-11-27
com.onemanband.thesequence,theSequence,77,ZA,2016-11-27
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,78,ZA,2016-11-27
com.snkplaymore.android007,THEKINGOFFIGHTERS'98,79,ZA,2016-11-27
com.refugio3d.flightvr,FlightVR,80,ZA,2016-11-27
com.etermax.preguntados.pro,トリビア・クラック(広告なし),81,ZA,2016-11-27
com.subatomicstudios.fieldrunners2,Fieldrunners2,82,ZA,2016-11-27
com.jdroid.gta3cheater,JCheater:GTAIIIEdition,83,ZA,2016-11-27
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,84,ZA,2016-11-27
com.gambitious.ohsirex,Oh...Sir!TheInsultSimulator,85,ZA,2016-11-27
com.glutenfreegames.dinosaursimulatortwo,UltimateDinosaurSimulator,86,ZA,2016-11-27
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,87,ZA,2016-11-27
air.FleeingtheComplex,FleeingtheComplex,88,ZA,2016-11-27
com.bigfishgames.gttdgoogfull,グリムテイル：運命の糸(Full),89,ZA,2016-11-27
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:Stickman,90,ZA,2016-11-27
com.namcobandaigames.tamagotchiclassic.apk,TamagotchiClassic,91,ZA,2016-11-27
com.crescentmoongames.skyfish,LegendoftheSkyfish,92,ZA,2016-11-27
com.aspyr.swkotor,StarWars™:KOTOR,93,ZA,2016-11-27
com.bowengames.farmingusa,FarmingUSA,94,ZA,2016-11-27
com.dotemu.ddtrilogy,DoubleDragonTrilogy,95,ZA,2016-11-27
com.hg.townsmen7,TownsmenPremium,96,ZA,2016-11-27
net.pluginmedia.pawpatrolflyer,PAWPatrolPupsTakeFlight,97,ZA,2016-11-27
com.nekki.vector.paid,VectorFull,98,ZA,2016-11-27
co.uk.kavcom.cricketcaptain2016,CricketCaptain2016,99,ZA,2016-11-27
air.com.oranginalplan.weaphones,Weaphones™FirearmsSimVol1,100,ZA,2016-11-27
age.of.civilizations.jakowski,エイジ・オブ・シヴィライゼーション,101,ZA,2016-11-27
com.turner.cardwars,CardWars-AdventureTime,102,ZA,2016-11-27
com.inxile.BardTale,TheBard'sTale,103,ZA,2016-11-27
com.game.motorsportmanager,MotorsportManager,104,ZA,2016-11-27
com.pereira.analysis.paid,Chess-AnalyzeThis(Pro),105,ZA,2016-11-27
com.Knap.Pixel,Pixel-UnturnedSurviveHD,106,ZA,2016-11-27
com.bossastudios.ss13touch,SurgeonSimulator,107,ZA,2016-11-27
com.mediocre.sprinkle2,SprinkleIslands（スプリンクル・アイランド）,108,ZA,2016-11-27
com.astragon.trucksim,TruckSimulation16,109,ZA,2016-11-27
com.wb.lego.tcs,LEGO®StarWars™:TCS,110,ZA,2016-11-27
com.disney.WMP,あれ、ペリーどこだ？,111,ZA,2016-11-27
com.senspark.darkland,Darkland,112,ZA,2016-11-27
com.rovio.angrybirdsstarwarsii.premium,AngryBirdsStarWarsII,113,ZA,2016-11-27
com.cricketplayermanager.apk,CricketPlayerManager,114,ZA,2016-11-27
com.hes.JLPremium,JonahLomuRugby:GoldEdition,115,ZA,2016-11-27
com.KillmondayGames.FranBowCh2,FranBowChapter2,116,ZA,2016-11-27
com.p2games.firemansam2,FiremanSam-FireandRescue,117,ZA,2016-11-27
com.anahoret.android.shapes,KidsPreschoolPuzzles,118,ZA,2016-11-27
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,119,ZA,2016-11-27
com.turner.atskisafari,SkiSafari:AdventureTime,120,ZA,2016-11-27
com.mtvn.puzzlefighter,TMNT:BattleMatch,121,ZA,2016-11-27
fi.bugbyte.harbinger,Battlevoid:Harbinger,122,ZA,2016-11-27
air.air.SugarSugar,"sugar,sugar",123,ZA,2016-11-27
com.ea.game.realracing2_OTD_row,RealRacing2,124,ZA,2016-11-27
net.nalbam.laundrydash,LaundryTycoon,125,ZA,2016-11-27
com.exozet.android.catan,Catan-カタン,126,ZA,2016-11-27
com.icenta.sudoku,SudokuPremium,127,ZA,2016-11-27
com.activision.boz,CallofDutyBlackOpsZombies,128,ZA,2016-11-27
